week_start,pnl_usd,pnl_pct,win_rate,trades,profit_factor
2024-04-04,236.4,19.63,45.0,20,1.75
2024-04-11,-48.54,-4.03,26.7,15,0.83
2024-04-18,191.1,15.87,66.7,6,4.37
2024-04-25,-189.31,-15.72,20.8,24,0.47
2024-05-02,134.59,11.18,50.0,8,2.19
2024-05-09,-187.47,-15.57,7.7,13,0.12
2024-05-16,-55.68,-4.62,27.8,18,0.84
2024-05-23,30.44,2.53,50.0,2,2.2
2024-05-30,61.5,5.11,37.5,8,1.44
2024-06-06,74.77,6.21,33.3,9,1.47
2024-06-13,154.76,12.85,45.5,22,1.46
2024-06-20,347.34,28.85,45.8,24,1.77
2024-06-27,32.73,2.72,38.5,13,1.16
2024-07-04,-82.99,-6.89,26.7,15,0.7
2024-07-11,1166.45,96.88,54.8,42,2.52
2024-07-18,-117.94,-9.8,28.6,21,0.6
2024-07-25,-1.77,-0.15,32.4,34,1.0
2024-08-01,1175.25,97.61,63.0,27,4.1
2024-08-08,-153.76,-12.77,0.0,7,0.0
2024-08-15,-132.11,-10.97,12.5,8,0.16
2024-08-22,388.79,32.29,48.1,27,1.87
2024-08-29,-11.63,-0.97,36.0,50,0.99
2024-09-05,-205.79,-17.09,15.0,20,0.33
2024-09-12,-230.41,-19.14,9.5,21,0.17
2024-09-19,58.94,4.9,100.0,1,58936761054.91
2024-09-26,315.14,26.17,58.3,12,3.16
2024-10-03,32.72,2.72,35.7,14,1.13
