week_start,pnl_usd,pnl_pct,win_rate,trades,profit_factor
2024-03-01,73.58,6.11,36.4,11,1.33
2024-03-08,-147.8,-12.28,16.7,12,0.4
2024-03-15,56.24,4.67,44.4,9,1.42
2024-03-22,168.39,13.99,45.5,11,1.83
2024-03-29,-140.02,-11.63,25.0,12,0.38
2024-04-05,-23.47,-1.95,30.4,23,0.95
2024-04-12,-76.39,-6.34,16.7,6,0.37
2024-04-19,77.05,6.4,50.0,4,2.17
2024-04-26,-254.64,-21.15,17.6,34,0.39
2024-05-03,-21.7,-1.8,29.4,17,0.93
2024-05-10,-100.44,-8.34,15.4,13,0.66
2024-05-17,-160.8,-13.36,0.0,7,0.0
2024-05-24,-161.5,-13.41,0.0,7,0.0
2024-05-31,-61.47,-5.11,0.0,2,0.0
2024-06-07,-61.47,-5.11,30.0,10,0.69
2024-06-14,-173.53,-14.41,15.4,13,0.3
2024-06-21,403.02,33.47,52.9,17,2.53
2024-06-28,292.88,24.33,55.6,18,2.11
2024-07-05,-201.17,-16.71,17.4,23,0.42
2024-07-12,649.79,53.97,64.3,14,4.07
2024-07-19,-13.39,-1.11,25.0,4,0.84
2024-07-26,-133.56,-11.09,26.1,23,0.68
2024-08-02,538.53,44.73,55.6,18,3.07
2024-08-09,-155.46,-12.91,16.7,12,0.29
2024-08-16,-211.87,-17.6,15.0,20,0.29
2024-08-23,138.25,11.48,54.5,11,1.92
