timestamp,open,high,low,close,volume
1647993600000,20.22,20.36,20.04,20.17,360398.79
1647997200000,20.17,20.18,19.8,20.07,447287.22
1648000800000,20.08,20.73,20.06,20.55,674515.84
1648004400000,20.55,20.63,20.23,20.26,346970.34
1648008000000,20.26,20.39,20.07,20.16,396621.62
1648011600000,20.16,20.41,20.09,20.39,307808.95
1648015200000,20.39,20.5,20.32,20.42,231412.81
1648018800000,20.43,20.47,20.27,20.29,154651.16
1648022400000,20.29,20.43,19.96,20.29,510706.97
1648026000000,20.29,20.35,20.13,20.21,242293.47
1648029600000,20.21,20.35,20.16,20.25,130896.4
1648033200000,20.25,20.26,20.1,20.23,210200.24
1648036800000,20.24,20.5,20.19,20.49,337058.42
1648040400000,20.49,20.68,20.32,20.61,479019.48
1648044000000,20.6,20.8,20.52,20.74,476464.75
1648047600000,20.73,20.98,20.62,20.86,496539.83
1648051200000,20.86,20.96,20.71,20.87,396879.05
1648054800000,20.87,20.87,20.38,20.48,427134.66
1648058400000,20.48,20.69,20.41,20.58,287468.73
1648062000000,20.58,20.8,20.56,20.67,186711.79
1648065600000,20.67,21.13,20.65,20.97,443633.91
1648069200000,20.96,21.09,20.85,20.95,199774.69
1648072800000,20.95,20.95,20.71,20.8,197437.86
1648076400000,20.8,21.05,20.69,21.02,277003.16
1648080000000,21.02,21.24,20.79,21.0,688094.98
1648083600000,20.99,21.11,20.81,20.89,383630.67
1648087200000,20.89,21.05,20.71,21.02,145508.6
1648090800000,21.03,21.07,20.78,20.81,125660.56
1648094400000,20.82,21.0,20.79,20.92,156509.99
1648098000000,20.92,21.04,20.82,21.01,141501.35
1648101600000,21.02,21.17,20.93,21.03,266052.95
1648105200000,21.02,21.04,20.89,20.96,184904.41
1648108800000,20.97,20.98,20.73,20.83,283890.63
1648112400000,20.83,20.91,20.66,20.67,352677.14
1648116000000,20.67,20.81,20.5,20.78,360931.75
1648119600000,20.78,20.84,20.63,20.7,168801.76
1648123200000,20.7,20.78,20.35,20.48,334775.0
1648126800000,20.48,20.6,20.25,20.57,446220.88
1648130400000,20.57,20.88,20.49,20.85,413411.48
1648134000000,20.86,21.17,20.75,21.15,869566.23
1648137600000,21.14,21.5,21.07,21.32,605863.24
1648141200000,21.32,21.4,21.0,21.01,293269.38
1648144800000,21.01,21.13,20.96,21.12,179912.65
1648148400000,21.11,21.26,21.07,21.19,181060.13
1648152000000,21.18,21.26,21.07,21.22,144081.61
1648155600000,21.22,21.24,21.08,21.22,115726.53
1648159200000,21.22,21.38,21.16,21.25,170867.5
1648162800000,21.25,21.32,21.13,21.26,144748.44
1648166400000,21.26,21.27,20.97,21.14,207388.57
1648170000000,21.13,21.38,21.07,21.33,221819.39
1648173600000,21.33,21.33,20.96,21.01,345759.25
1648177200000,21.0,21.1,20.98,21.06,182577.9
1648180800000,21.06,21.21,21.0,21.2,171757.3
1648184400000,21.2,21.21,21.08,21.11,93505.17
1648188000000,21.12,21.21,21.06,21.08,120034.91
1648191600000,21.07,21.08,20.77,20.8,344191.58
1648195200000,20.8,20.88,20.54,20.85,522224.47
1648198800000,20.86,20.96,20.73,20.91,195640.59
1648202400000,20.92,20.98,20.84,20.95,157065.72
1648206000000,20.95,21.17,20.92,21.12,272600.23
1648209600000,21.12,21.17,21.0,21.14,337340.59
1648213200000,21.14,21.17,21.01,21.12,244595.8
1648216800000,21.12,21.14,20.88,21.01,241942.64
1648220400000,21.02,21.03,20.56,20.68,548393.27
1648224000000,20.68,20.79,20.38,20.39,423737.66
1648227600000,20.4,20.51,20.18,20.46,449963.99
1648231200000,20.47,20.71,20.44,20.67,238478.82
1648234800000,20.67,20.68,20.42,20.62,143480.92
1648238400000,20.61,20.77,20.56,20.74,117928.44
1648242000000,20.73,20.79,20.69,20.76,54735.48
1648245600000,20.77,20.77,20.5,20.53,103877.49
1648249200000,20.52,20.6,20.45,20.53,121223.28
1648252800000,20.54,20.64,20.31,20.32,242950.32
1648256400000,20.31,20.46,20.26,20.41,111724.89
1648260000000,20.42,20.46,20.24,20.31,118922.43
1648263600000,20.31,20.48,20.27,20.47,112158.41
1648267200000,20.47,20.62,20.44,20.59,104595.48
1648270800000,20.59,20.76,20.52,20.73,137998.78
1648274400000,20.73,20.76,20.63,20.66,121032.54
1648278000000,20.66,20.92,20.66,20.85,224770.69
1648281600000,20.84,20.93,20.79,20.86,139306.96
1648285200000,20.86,20.88,20.74,20.8,97351.33
1648288800000,20.8,20.83,20.68,20.81,125841.04
1648292400000,20.82,20.98,20.75,20.89,190442.08
1648296000000,20.89,20.96,20.76,20.86,164817.23
1648299600000,20.86,20.89,20.72,20.77,129316.53
1648303200000,20.76,20.87,20.73,20.86,121305.24
1648306800000,20.86,20.92,20.8,20.85,127915.63
1648310400000,20.85,20.97,20.81,20.94,149378.3
1648314000000,20.94,20.98,20.88,20.89,77035.03
1648317600000,20.89,20.94,20.84,20.88,78704.22
1648321200000,20.88,20.91,20.83,20.85,68518.06
1648324800000,20.86,21.04,20.84,20.93,160711.24
1648328400000,20.92,20.94,20.71,20.89,152790.43
1648332000000,20.89,20.89,20.78,20.82,62058.8
1648335600000,20.81,20.92,20.74,20.91,132787.55
1648339200000,20.92,20.97,20.87,20.95,107693.37
1648342800000,20.95,21.02,20.87,20.97,91550.18
1648346400000,20.98,21.15,20.95,21.03,190470.52
1648350000000,21.03,21.1,20.93,21.01,87169.34
1648353600000,21.01,21.13,20.91,21.12,196353.95
1648357200000,21.11,21.21,21.09,21.17,166661.48
1648360800000,21.18,21.21,21.12,21.14,85920.72
1648364400000,21.14,21.18,21.08,21.16,87771.45
1648368000000,21.16,21.17,21.0,21.01,94054.14
1648371600000,21.02,21.15,20.99,20.99,115462.37
1648375200000,21.0,21.07,20.95,20.96,165614.89
1648378800000,20.96,21.04,20.94,20.98,87911.02
1648382400000,20.98,21.01,20.75,20.76,224867.12
1648386000000,20.77,20.95,20.71,20.94,169810.55
1648389600000,20.93,21.04,20.93,21.01,116123.72
1648393200000,21.01,21.15,20.94,21.11,240289.03
1648396800000,21.12,21.26,21.04,21.25,362643.58
1648400400000,21.26,21.3,21.11,21.28,186151.51
1648404000000,21.29,21.37,21.22,21.32,143536.52
1648407600000,21.32,21.5,21.29,21.46,227793.75
1648411200000,21.45,21.75,21.3,21.66,696850.71
1648414800000,21.66,22.0,21.57,21.93,378472.05
1648418400000,21.92,22.22,21.84,22.06,557404.98
1648422000000,22.06,22.48,22.06,22.46,434445.39
1648425600000,22.47,22.76,22.24,22.51,772614.58
1648429200000,22.51,22.56,22.34,22.45,342781.11
1648432800000,22.45,22.62,22.41,22.58,170619.4
1648436400000,22.59,22.99,22.58,22.93,537423.09
1648440000000,22.93,22.97,22.76,22.84,365621.98
1648443600000,22.84,22.98,22.83,22.95,270819.83
