timestamp,open,high,low,close,volume
1648598400000,49.28,50.22,48.91,49.75,369931.65
1648602000000,49.75,51.78,48.96,50.78,725003.65
1648605600000,50.79,51.2,49.83,50.21,368880.78
1648609200000,50.18,51.07,50.02,50.9,249547.16
1648612800000,50.9,51.09,50.19,50.4,137561.74
1648616400000,50.4,50.88,50.25,50.49,218691.62
1648620000000,50.5,51.39,50.31,50.72,210985.6
1648623600000,50.71,51.59,50.45,50.74,308412.05
1648627200000,50.74,51.34,50.49,50.79,224932.19
1648630800000,50.78,51.05,49.83,50.04,165327.52
1648634400000,50.03,50.62,49.9,50.12,182648.39
1648638000000,50.11,50.24,49.26,49.87,233832.09
1648641600000,49.88,49.96,49.33,49.78,144548.65
1648645200000,49.78,50.03,49.08,49.34,177244.5
1648648800000,49.34,49.8,48.91,49.37,168640.43
1648652400000,49.36,49.45,48.5,49.19,202231.1
1648656000000,49.18,49.91,48.3,49.34,262782.45
1648659600000,49.34,50.29,48.92,50.24,228473.73
1648663200000,50.22,50.46,49.42,49.47,136639.45
1648666800000,49.46,49.64,48.95,49.49,104884.89
1648670400000,49.51,49.58,49.04,49.5,54432.9
1648674000000,49.5,49.69,49.27,49.49,48987.96
1648677600000,49.49,49.97,49.26,49.65,85533.93
1648681200000,49.66,50.18,49.54,49.66,69973.32
1648684800000,49.66,50.08,49.25,49.81,105002.1
1648688400000,49.8,50.04,49.4,49.98,170057.76
1648692000000,50.0,50.22,49.51,49.62,104557.32
1648695600000,49.62,49.83,49.28,49.78,126835.24
1648699200000,49.79,50.12,49.24,49.29,118209.27
1648702800000,49.29,49.5,48.95,49.32,182963.46
1648706400000,49.31,49.6,49.19,49.4,74759.81
1648710000000,49.4,49.52,49.2,49.45,47794.48
1648713600000,49.44,50.11,49.35,49.88,195226.04
1648717200000,49.88,50.27,49.71,49.99,114644.18
1648720800000,49.99,50.14,49.73,49.83,61266.48
1648724400000,49.82,49.9,49.25,49.44,85845.88
1648728000000,49.44,50.95,49.36,50.08,364482.5
1648731600000,50.09,50.29,48.75,48.98,258403.35
1648735200000,48.99,48.99,45.88,47.76,1307036.74
1648738800000,47.78,48.04,46.84,47.02,285237.73
1648742400000,47.0,48.56,46.23,46.96,546921.98
1648746000000,46.98,47.59,46.64,47.35,182912.29
1648749600000,47.35,47.45,46.73,47.44,83000.27
1648753200000,47.45,47.48,46.81,47.16,76652.69
1648756800000,47.17,47.65,46.98,47.46,61419.45
1648760400000,47.47,47.69,47.25,47.37,44988.23
1648764000000,47.37,47.73,47.11,47.61,95450.57
1648767600000,47.59,47.6,46.62,47.45,135958.03
1648771200000,47.45,47.79,47.0,47.33,134010.64
1648774800000,47.32,47.32,45.11,45.52,421232.03
1648778400000,45.53,46.27,42.8,44.11,830457.45
1648782000000,44.12,44.9,43.92,44.8,302246.03
1648785600000,44.8,45.17,44.0,44.7,240124.7
1648789200000,44.7,45.17,44.57,44.93,156888.58
1648792800000,44.93,45.41,44.75,45.2,86026.31
1648796400000,45.21,46.03,45.2,45.92,120426.55
1648800000000,45.92,46.73,45.87,46.04,224364.19
1648803600000,46.04,46.08,45.37,45.5,137525.39
1648807200000,45.5,45.69,45.23,45.68,84174.73
1648810800000,45.67,45.73,45.07,45.22,122362.15
1648814400000,45.23,45.67,44.36,45.59,237298.6
1648818000000,45.59,46.46,45.53,45.79,134384.39
1648821600000,45.8,46.89,45.78,46.83,137503.77
1648825200000,46.84,47.55,46.77,46.98,266869.88
1648828800000,46.98,47.07,46.23,46.34,115388.57
1648832400000,46.34,46.95,46.21,46.85,59732.03
1648836000000,46.85,47.38,46.82,47.11,56777.51
1648839600000,47.11,47.19,46.76,47.16,37592.05
1648843200000,47.16,47.16,46.45,46.75,35555.34
1648846800000,46.75,48.16,46.75,47.51,113308.21
