timestamp,open,high,low,close,volume
1661299200000,23.52,23.63,23.06,23.24,117947.92
1661302800000,23.24,23.27,22.81,22.95,118080.49
1661306400000,22.95,23.16,22.87,22.91,74355.56
1661310000000,22.92,23.07,22.83,23.03,57466.6
1661313600000,23.03,23.24,22.97,23.19,36358.76
1661317200000,23.19,23.38,23.18,23.19,68353.17
1661320800000,23.2,23.28,23.05,23.25,48153.13
1661324400000,23.25,23.34,22.85,23.03,87398.79
1661328000000,23.03,23.28,23.03,23.12,88450.77
1661331600000,23.12,23.2,23.01,23.02,53223.47
1661335200000,23.03,23.21,22.95,22.99,55087.99
1661338800000,22.99,23.26,22.97,23.22,54939.52
1661342400000,23.22,23.31,23.09,23.22,58536.32
1661346000000,23.22,23.27,22.98,23.02,68415.7
1661349600000,23.02,23.24,22.92,23.04,70823.16
1661353200000,23.04,23.52,23.02,23.46,128520.74
1661356800000,23.47,23.64,23.32,23.36,126362.41
1661360400000,23.36,23.4,23.17,23.28,85637.9
1661364000000,23.28,23.36,23.21,23.27,43702.6
1661367600000,23.27,23.59,23.26,23.48,136972.87
1661371200000,23.48,23.54,23.4,23.43,42401.55
1661374800000,23.44,23.45,23.2,23.22,49061.96
1661378400000,23.22,23.29,23.05,23.08,104587.93
1661382000000,23.08,23.17,22.96,23.01,79692.89
1661385600000,23.02,23.2,22.98,23.14,75123.41
1661389200000,23.14,23.31,23.08,23.19,59313.73
1661392800000,23.2,23.24,23.05,23.14,26180.86
1661396400000,23.13,23.28,23.0,23.02,61790.46
1661400000000,23.02,23.2,23.01,23.2,29430.71
1661403600000,23.2,23.26,23.12,23.25,48592.15
1661407200000,23.24,23.64,23.23,23.59,125505.76
1661410800000,23.59,23.61,23.5,23.53,109016.14
1661414400000,23.52,23.65,23.52,23.52,75300.12
1661418000000,23.52,23.55,23.38,23.45,78483.11
1661421600000,23.45,23.51,23.29,23.29,55371.6
1661425200000,23.3,23.46,23.27,23.43,37035.72
1661428800000,23.43,23.5,23.1,23.18,91243.99
1661432400000,23.18,23.28,23.06,23.25,97966.79
1661436000000,23.25,23.39,23.14,23.15,86696.95
1661439600000,23.15,23.18,22.67,22.89,209948.94
1661443200000,22.89,22.94,22.76,22.81,101876.3
1661446800000,22.82,23.05,22.8,22.96,62496.64
1661450400000,22.95,22.98,22.83,22.9,34950.25
1661454000000,22.91,23.07,22.86,23.04,41031.76
1661457600000,23.05,23.24,22.96,23.17,46974.04
1661461200000,23.17,23.18,22.99,23.02,30359.06
1661464800000,23.03,23.14,22.94,22.98,28155.93
