Symbol,Strategy,PnL (%),WinRate (%),Trades,Avg/Trade (%)
ADA/USDT,MOMENTUM,-7.77,30.21,480,-0.02
ADA/USDT,RSI,1.71,47.81,297,0.01
ADA/USDT,VCE,0.73,33.03,445,0.0
ADA/USDT,MDT,61.27,31.4,688,0.09
ADA/USDT,PEE,-62.85,29.94,698,-0.09
ADA/USDT,OMEGA_ENSEMBLE,28.55,32.7,578,0.05
AVAX/USDT,MOMENTUM,76.82,31.12,466,0.16
AVAX/USDT,RSI,78.95,48.85,305,0.26
AVAX/USDT,VCE,41.16,33.26,487,0.08
AVAX/USDT,MDT,101.07,32.38,698,0.14
AVAX/USDT,PEE,33.29,31.47,699,0.05
AVAX/USDT,OMEGA_ENSEMBLE,-59.3,29.86,633,-0.09
BTC/USDT,MOMENTUM,8.13,30.22,407,0.02
BTC/USDT,RSI,10.92,60.1,208,0.05
BTC/USDT,VCE,0.66,30.77,234,0.0
BTC/USDT,MDT,34.53,32.95,258,0.13
BTC/USDT,PEE,-51.45,28.63,241,-0.21
BTC/USDT,OMEGA_ENSEMBLE,-4.91,30.58,242,-0.02
DOGE/USDT,MOMENTUM,67.65,32.03,459,0.15
DOGE/USDT,RSI,-70.01,43.55,310,-0.23
DOGE/USDT,VCE,16.76,33.84,458,0.04
DOGE/USDT,MDT,227.56,33.93,722,0.32
DOGE/USDT,PEE,215.93,34.29,700,0.31
DOGE/USDT,OMEGA_ENSEMBLE,115.15,33.11,607,0.19
ETH/USDT,MOMENTUM,-11.38,28.09,445,-0.03
ETH/USDT,RSI,-14.39,52.14,257,-0.06
ETH/USDT,VCE,0.16,32.95,352,0.0
ETH/USDT,MDT,69.35,32.39,460,0.15
ETH/USDT,PEE,-22.95,30.47,443,-0.05
ETH/USDT,OMEGA_ENSEMBLE,-21.72,30.94,417,-0.05
LINK/USDT,MOMENTUM,-12.32,28.51,470,-0.03
LINK/USDT,RSI,-14.15,44.33,291,-0.05
LINK/USDT,VCE,-58.73,30.38,474,-0.12
LINK/USDT,MDT,-118.52,29.88,686,-0.17
LINK/USDT,PEE,-146.39,29.63,712,-0.21
LINK/USDT,OMEGA_ENSEMBLE,-80.33,30.29,624,-0.13
SHIB/USDT,MOMENTUM,-5.33,30.3,462,-0.01
SHIB/USDT,RSI,-28.61,48.16,272,-0.11
SHIB/USDT,VCE,-74.78,30.84,428,-0.17
SHIB/USDT,MDT,81.23,31.47,661,0.12
SHIB/USDT,PEE,19.89,30.79,630,0.03
SHIB/USDT,OMEGA_ENSEMBLE,11.84,31.07,544,0.02
SOL/USDT,MOMENTUM,42.39,32.66,447,0.09
SOL/USDT,RSI,-5.27,47.96,269,-0.02
SOL/USDT,VCE,-12.18,33.11,456,-0.03
SOL/USDT,MDT,123.51,33.07,626,0.2
SOL/USDT,PEE,16.4,31.01,603,0.03
SOL/USDT,OMEGA_ENSEMBLE,-27.25,31.19,545,-0.05
XRP/USDT,MOMENTUM,14.36,28.85,454,0.03
XRP/USDT,RSI,-18.2,50.6,251,-0.07
XRP/USDT,VCE,-23.45,32.41,361,-0.06
XRP/USDT,MDT,-17.16,30.18,560,-0.03
XRP/USDT,PEE,37.11,31.6,595,0.06
XRP/USDT,OMEGA_ENSEMBLE,-0.1,30.5,482,-0.0
