timestamp,open,high,low,close,volume
1774526400000,1.029,1.036,1.025,1.033,163803.61
1774530000000,1.033,1.058,1.033,1.053,458320.63
1774533600000,1.054,1.058,1.038,1.045,348567.68
1774537200000,1.045,1.045,1.029,1.035,261114.34
1774540800000,1.036,1.039,1.03,1.034,176854.43
1774544400000,1.034,1.039,1.028,1.031,167209.8
1774548000000,1.032,1.033,1.028,1.029,158856.55
1774551600000,1.03,1.033,1.028,1.03,90775.26
1774555200000,1.03,1.042,1.016,1.031,571654.07
1774558800000,1.031,1.044,1.03,1.038,183815.71
1774562400000,1.038,1.04,1.033,1.038,151432.23
1774566000000,1.039,1.039,1.033,1.034,93591.8
1774569600000,1.034,1.039,1.027,1.029,158763.45
1774573200000,1.029,1.034,1.026,1.031,80163.01
1774576800000,1.031,1.034,1.028,1.028,59327.96
1774580400000,1.028,1.028,1.017,1.022,212144.67
1774584000000,1.022,1.024,1.014,1.016,205341.64
1774587600000,1.015,1.021,1.009,1.021,260877.14
1774591200000,1.021,1.023,1.017,1.018,170779.14
1774594800000,1.018,1.024,1.015,1.023,180285.49
1774598400000,1.024,1.025,1.007,1.017,231341.53
1774602000000,1.016,1.016,1.003,1.004,165841.27
1774605600000,1.005,1.007,0.984,0.985,652441.1
1774609200000,0.986,0.99,0.981,0.989,236890.43
1774612800000,0.988,0.989,0.978,0.984,220036.89
1774616400000,0.985,0.992,0.981,0.99,262698.76
1774620000000,0.99,0.999,0.987,0.994,309511.17
1774623600000,0.994,1.004,0.989,0.994,287849.82
1774627200000,0.994,0.994,0.989,0.99,115946.25
1774630800000,0.989,0.994,0.982,0.983,170530.31
1774634400000,0.982,0.984,0.973,0.975,178161.74
1774638000000,0.975,0.979,0.971,0.976,142153.98
1774641600000,0.976,0.981,0.973,0.981,200742.25
1774645200000,0.981,0.986,0.98,0.982,171194.55
1774648800000,0.982,0.984,0.979,0.982,134941.96
1774652400000,0.981,0.982,0.975,0.976,159226.25
1774656000000,0.976,0.979,0.971,0.972,163571.04
1774659600000,0.972,0.972,0.956,0.962,158680.53
1774663200000,0.962,0.965,0.95,0.953,284215.42
1774666800000,0.952,0.954,0.944,0.947,153656.09
1774670400000,0.947,0.951,0.946,0.949,130112.28
1774674000000,0.95,0.953,0.947,0.95,100456.55
1774677600000,0.95,0.955,0.947,0.947,107157.0
1774681200000,0.947,0.954,0.945,0.954,115460.65
1774684800000,0.954,0.956,0.949,0.951,298079.51
1774688400000,0.951,0.951,0.946,0.949,95074.54
1774692000000,0.949,0.956,0.948,0.952,210322.07
1774695600000,0.951,0.954,0.949,0.951,143627.1
1774699200000,0.952,0.952,0.946,0.95,125232.87
1774702800000,0.949,0.967,0.948,0.954,309091.58
1774706400000,0.954,0.959,0.95,0.953,320537.93
1774710000000,0.953,0.964,0.95,0.953,254543.93
1774713600000,0.954,0.956,0.95,0.955,155774.26
1774717200000,0.955,0.956,0.94,0.944,238574.52
1774720800000,0.945,0.947,0.942,0.945,109826.11
1774724400000,0.945,0.945,0.939,0.944,134784.27
1774728000000,0.943,0.948,0.942,0.945,97471.54
1774731600000,0.944,0.946,0.933,0.936,129016.39
1774735200000,0.935,0.937,0.93,0.936,112248.63
1774738800000,0.936,0.936,0.924,0.931,216738.38
1774742400000,0.931,0.931,0.925,0.928,178620.61
1774746000000,0.929,0.938,0.929,0.936,179324.12
1774749600000,0.936,0.939,0.934,0.937,70563.93
1774753200000,0.937,0.944,0.936,0.94,152282.31
1774756800000,0.94,0.94,0.932,0.934,75355.04
1774760400000,0.934,0.936,0.931,0.934,103885.57
1774764000000,0.934,0.934,0.929,0.933,89422.43
1774767600000,0.932,0.933,0.928,0.931,84620.76
1774771200000,0.93,0.932,0.927,0.93,107897.97
1774774800000,0.931,0.932,0.928,0.93,69418.56
1774778400000,0.929,0.929,0.922,0.924,91268.36
1774782000000,0.924,0.93,0.924,0.927,76534.25
1774785600000,0.927,0.928,0.919,0.924,154738.99
1774789200000,0.923,0.924,0.916,0.92,173608.36
1774792800000,0.92,0.925,0.918,0.92,159183.79
1774796400000,0.92,0.922,0.916,0.92,84327.68
1774800000000,0.919,0.922,0.915,0.917,76931.39
1774803600000,0.916,0.917,0.911,0.915,96249.26
1774807200000,0.915,0.918,0.912,0.916,84395.98
1774810800000,0.916,0.918,0.913,0.916,54341.16
1774814400000,0.916,0.926,0.916,0.926,129405.58
1774818000000,0.926,0.929,0.924,0.928,75658.33
1774821600000,0.927,0.927,0.893,0.912,737318.64
1774825200000,0.912,0.922,0.911,0.922,260550.38
1774828800000,0.922,0.94,0.916,0.926,363541.13
1774832400000,0.926,0.933,0.926,0.932,173425.46
1774836000000,0.932,0.947,0.932,0.942,277330.24
1774839600000,0.942,0.949,0.94,0.944,191306.87
1774843200000,0.945,0.95,0.943,0.949,224074.02
1774846800000,0.948,0.95,0.932,0.935,202381.82
1774850400000,0.935,0.942,0.932,0.94,163642.47
1774854000000,0.939,0.948,0.936,0.945,197658.89
1774857600000,0.945,0.951,0.942,0.942,226203.54
1774861200000,0.942,0.943,0.936,0.937,156957.47
1774864800000,0.937,0.939,0.934,0.936,114300.95
1774868400000,0.936,0.944,0.933,0.936,407069.17
1774872000000,0.936,0.937,0.933,0.935,206373.49
1774875600000,0.935,0.937,0.929,0.93,433971.18
1774879200000,0.931,0.934,0.92,0.928,259348.41
1774882800000,0.929,0.93,0.913,0.915,201805.24
1774886400000,0.914,0.917,0.91,0.912,181862.23
1774890000000,0.912,0.914,0.898,0.908,597658.03
1774893600000,0.908,0.91,0.893,0.898,1530796.07
1774897200000,0.897,0.897,0.889,0.895,372697.89
1774900800000,0.895,0.897,0.892,0.895,117591.35
1774904400000,0.895,0.905,0.893,0.899,283096.0
1774908000000,0.899,0.899,0.892,0.894,204288.72
1774911600000,0.894,0.894,0.884,0.891,336981.89
1774915200000,0.892,0.896,0.886,0.89,330782.0
1774918800000,0.891,0.909,0.89,0.903,287101.92
1774922400000,0.904,0.906,0.9,0.903,159802.1
1774926000000,0.902,0.902,0.896,0.902,145804.89
1774929600000,0.902,0.91,0.901,0.904,226369.92
1774933200000,0.904,0.909,0.9,0.908,157791.21
1774936800000,0.907,0.912,0.904,0.911,210361.11
1774940400000,0.911,0.913,0.904,0.907,185804.09
1774944000000,0.907,0.916,0.903,0.904,345429.96
1774947600000,0.904,0.906,0.893,0.897,346242.38
1774951200000,0.898,0.9,0.893,0.894,236153.42
1774954800000,0.893,0.9,0.89,0.9,276338.84
1774958400000,0.901,0.906,0.896,0.898,129733.24
1774962000000,0.898,0.902,0.895,0.9,354754.99
1774965600000,0.9,0.905,0.88,0.886,471371.37
1774969200000,0.886,0.896,0.872,0.883,744041.52
1774972800000,0.883,0.898,0.882,0.896,434433.85
1774976400000,0.896,0.906,0.889,0.892,504234.78
