timestamp,open,high,low,close,volume
1774526400000,0.094,0.0944,0.0937,0.0942,1793359.4
1774530000000,0.0942,0.0954,0.0941,0.095,1971381.8
1774533600000,0.095,0.0953,0.0945,0.0949,1357225.4
1774537200000,0.0949,0.0949,0.094,0.0941,1954705.7
1774540800000,0.0942,0.0944,0.0938,0.0938,1441580.2
1774544400000,0.0938,0.0946,0.0935,0.0938,1052426.1
1774548000000,0.0939,0.094,0.093,0.0933,1342928.5
1774551600000,0.0933,0.0933,0.0927,0.0928,1455217.9
1774555200000,0.0929,0.0947,0.0925,0.0938,4633958.0
1774558800000,0.0938,0.0948,0.0936,0.0944,1702573.9
1774562400000,0.0945,0.0946,0.0939,0.0943,888559.7
1774566000000,0.0943,0.0945,0.0937,0.0938,748552.3
1774569600000,0.0939,0.0944,0.0938,0.0943,1046081.2
1774573200000,0.0944,0.095,0.0941,0.0949,547176.9
1774576800000,0.0949,0.0951,0.0947,0.0949,527398.2
1774580400000,0.0949,0.0949,0.0944,0.0946,830755.0
1774584000000,0.0945,0.0945,0.0937,0.094,1117197.4
1774587600000,0.094,0.0943,0.0937,0.094,960799.5
1774591200000,0.0939,0.0941,0.0937,0.0941,521128.0
1774594800000,0.0941,0.0946,0.094,0.0946,979903.9
1774598400000,0.0945,0.0947,0.0932,0.0938,1230286.1
1774602000000,0.0938,0.0938,0.0925,0.0929,1871244.2
1774605600000,0.0928,0.0929,0.0905,0.0906,5519675.7
1774609200000,0.0908,0.0913,0.0904,0.091,2331336.5
1774612800000,0.091,0.091,0.0904,0.0908,1928256.7
1774616400000,0.0908,0.0911,0.0901,0.0904,2294434.8
1774620000000,0.0903,0.0911,0.09,0.0906,2560079.8
1774623600000,0.0906,0.0914,0.0902,0.0904,2965728.2
1774627200000,0.0904,0.0907,0.0899,0.0903,1947191.1
1774630800000,0.0904,0.0911,0.09,0.0901,1959294.8
1774634400000,0.0901,0.0902,0.0896,0.09,1853313.4
1774638000000,0.09,0.0905,0.0894,0.0904,1588178.8
1774641600000,0.0904,0.0906,0.0898,0.0904,1489843.1
1774645200000,0.0904,0.0906,0.0901,0.0902,770647.4
1774648800000,0.0903,0.0903,0.0899,0.0899,1018713.3
1774652400000,0.09,0.0902,0.0896,0.09,1167426.7
1774656000000,0.0901,0.0902,0.0895,0.0896,1848858.3
1774659600000,0.0896,0.0897,0.0887,0.0893,1759576.9
1774663200000,0.0894,0.0897,0.0891,0.0894,915521.0
1774666800000,0.0894,0.0895,0.0892,0.0894,557851.2
1774670400000,0.0894,0.0895,0.0891,0.0893,536412.5
1774674000000,0.0892,0.0894,0.0889,0.0893,880726.5
1774677600000,0.0893,0.0897,0.0892,0.0893,1139335.0
1774681200000,0.0893,0.0898,0.0893,0.0898,1017263.0
1774684800000,0.0897,0.0904,0.0897,0.0901,1672712.2
1774688400000,0.0901,0.0903,0.0896,0.0899,828813.0
1774692000000,0.0898,0.0905,0.0897,0.0902,2249158.0
1774695600000,0.0902,0.0905,0.09,0.0904,1006918.5
1774699200000,0.0904,0.0908,0.0901,0.0904,974805.6
1774702800000,0.0903,0.0921,0.0902,0.0916,3573907.4
1774706400000,0.0917,0.092,0.0912,0.0913,2631593.8
1774710000000,0.0913,0.0923,0.0912,0.0914,2505604.0
1774713600000,0.0915,0.0924,0.0915,0.0923,2581209.3
1774717200000,0.0923,0.0924,0.0916,0.0919,1928925.5
1774720800000,0.0919,0.0921,0.0916,0.0921,542987.9
1774724400000,0.092,0.0922,0.0916,0.0917,594714.8
1774728000000,0.0918,0.0921,0.0916,0.0917,659326.7
1774731600000,0.0916,0.0918,0.0907,0.0909,1396243.1
1774735200000,0.0908,0.091,0.0906,0.0909,1284863.3
1774738800000,0.0909,0.0909,0.0895,0.0899,2139631.6
1774742400000,0.0898,0.0901,0.0894,0.0896,1632012.6
1774746000000,0.0897,0.0903,0.0897,0.09,1146602.9
1774749600000,0.09,0.0903,0.0899,0.0901,521218.0
1774753200000,0.09,0.0908,0.09,0.0904,1565519.5
1774756800000,0.0904,0.0904,0.09,0.0902,631977.1
1774760400000,0.0901,0.0902,0.0897,0.09,656057.7
1774764000000,0.09,0.0902,0.0897,0.0899,506713.1
1774767600000,0.0899,0.0899,0.0896,0.0897,1065943.1
1774771200000,0.0897,0.0898,0.0894,0.0896,580714.2
1774774800000,0.0897,0.0898,0.0894,0.0894,1015846.2
1774778400000,0.0894,0.0894,0.0888,0.089,1773546.8
1774782000000,0.089,0.0897,0.0889,0.0892,1282003.6
1774785600000,0.0892,0.0893,0.0882,0.0886,1584644.1
1774789200000,0.0886,0.0888,0.0879,0.0885,2714916.3
1774792800000,0.0884,0.089,0.0882,0.0888,2310271.1
1774796400000,0.0888,0.089,0.0883,0.0887,1499195.0
1774800000000,0.0887,0.0891,0.0885,0.0886,776037.3
1774803600000,0.0887,0.089,0.0883,0.089,1379237.9
1774807200000,0.089,0.0892,0.0885,0.089,941331.6
1774810800000,0.089,0.089,0.0886,0.0887,841281.7
1774814400000,0.0887,0.0895,0.0887,0.0893,1082572.7
1774818000000,0.0894,0.0897,0.0892,0.0897,1096421.4
1774821600000,0.0897,0.0897,0.0858,0.0879,9186478.9
1774825200000,0.0879,0.0886,0.0878,0.0884,1899337.0
1774828800000,0.0884,0.0904,0.0882,0.0894,3789438.0
1774832400000,0.0894,0.0905,0.0894,0.0903,1264366.3
1774836000000,0.0904,0.0918,0.0903,0.091,2306881.7
1774839600000,0.0911,0.0914,0.0907,0.0912,716202.9
1774843200000,0.0913,0.0923,0.0913,0.0919,1772979.2
1774846800000,0.0919,0.0921,0.0912,0.0913,1967714.5
1774850400000,0.0913,0.0917,0.091,0.0916,963411.4
1774854000000,0.0916,0.0928,0.0915,0.0927,2013196.8
1774857600000,0.0927,0.0933,0.0926,0.093,4053804.6
