timestamp,open,high,low,close,volume
1774526400000,1.313,1.328,1.313,1.319,411698.29
1774530000000,1.319,1.337,1.319,1.332,552464.72
1774533600000,1.333,1.337,1.326,1.33,403000.72
1774537200000,1.33,1.331,1.316,1.323,369726.91
1774540800000,1.324,1.333,1.318,1.319,428697.75
1774544400000,1.32,1.331,1.317,1.321,308680.47
1774548000000,1.322,1.324,1.315,1.315,305489.93
1774551600000,1.315,1.317,1.301,1.306,417082.67
1774555200000,1.306,1.329,1.301,1.307,703128.36
1774558800000,1.308,1.328,1.306,1.32,288395.41
1774562400000,1.32,1.325,1.317,1.32,169224.49
1774566000000,1.321,1.326,1.315,1.321,245123.51
1774569600000,1.321,1.325,1.317,1.324,140423.26
1774573200000,1.324,1.34,1.322,1.335,180300.37
1774576800000,1.336,1.337,1.326,1.327,140597.77
1774580400000,1.328,1.329,1.316,1.321,160485.06
1774584000000,1.321,1.325,1.313,1.321,214411.17
1774587600000,1.321,1.325,1.316,1.321,244817.49
1774591200000,1.322,1.325,1.317,1.322,126126.29
1774594800000,1.323,1.327,1.317,1.324,202602.0
1774598400000,1.325,1.327,1.306,1.315,307074.89
1774602000000,1.315,1.315,1.295,1.301,541264.58
1774605600000,1.3,1.3,1.272,1.276,890020.04
1774609200000,1.277,1.284,1.273,1.281,416270.52
1774612800000,1.282,1.284,1.273,1.283,422783.95
1774616400000,1.283,1.295,1.282,1.287,336314.44
1774620000000,1.287,1.289,1.274,1.284,314678.46
1774623600000,1.284,1.29,1.276,1.279,405434.38
1774627200000,1.278,1.286,1.275,1.281,128921.54
1774630800000,1.281,1.289,1.281,1.283,134623.32
1774634400000,1.283,1.283,1.272,1.277,144336.37
1774638000000,1.277,1.283,1.27,1.282,175742.14
1774641600000,1.281,1.285,1.273,1.283,111586.02
1774645200000,1.283,1.293,1.283,1.284,130340.29
1774648800000,1.284,1.289,1.283,1.285,100867.11
1774652400000,1.285,1.295,1.28,1.292,150314.19
1774656000000,1.291,1.294,1.282,1.283,172732.63
1774659600000,1.282,1.282,1.271,1.279,161332.48
1774663200000,1.28,1.287,1.275,1.278,178188.19
1774666800000,1.278,1.285,1.275,1.284,237760.74
1774670400000,1.284,1.288,1.28,1.284,117778.14
1774674000000,1.285,1.292,1.283,1.291,107081.77
1774677600000,1.291,1.299,1.288,1.295,138233.7
1774681200000,1.295,1.301,1.294,1.301,86424.99
1774684800000,1.301,1.306,1.3,1.302,164255.52
1774688400000,1.301,1.303,1.289,1.293,125423.87
1774692000000,1.292,1.298,1.292,1.296,77532.18
1774695600000,1.296,1.299,1.285,1.288,231395.71
1774699200000,1.288,1.288,1.275,1.28,423931.8
1774702800000,1.281,1.306,1.281,1.296,350977.28
1774706400000,1.296,1.297,1.285,1.29,287026.98
1774710000000,1.289,1.296,1.284,1.286,374980.07
1774713600000,1.287,1.291,1.285,1.289,144659.13
1774717200000,1.289,1.291,1.275,1.281,202984.74
1774720800000,1.281,1.286,1.278,1.282,72229.93
1774724400000,1.282,1.285,1.278,1.283,89895.99
1774728000000,1.282,1.287,1.282,1.283,74944.93
1774731600000,1.283,1.283,1.261,1.269,485245.8
1774735200000,1.269,1.274,1.262,1.266,383116.34
1774738800000,1.267,1.267,1.253,1.259,446021.69
1774742400000,1.259,1.263,1.247,1.259,272491.6
1774746000000,1.259,1.267,1.259,1.264,120274.79
1774749600000,1.265,1.267,1.262,1.266,101677.18
1774753200000,1.266,1.272,1.265,1.27,84092.18
1774756800000,1.271,1.271,1.266,1.268,102866.73
1774760400000,1.268,1.273,1.265,1.271,98531.03
1774764000000,1.271,1.274,1.267,1.271,71088.32
1774767600000,1.27,1.271,1.265,1.268,58188.85
1774771200000,1.268,1.273,1.268,1.273,40974.53
1774774800000,1.272,1.274,1.269,1.271,98192.17
1774778400000,1.27,1.27,1.263,1.267,87337.98
1774782000000,1.267,1.276,1.266,1.266,85208.58
1774785600000,1.266,1.267,1.257,1.262,136528.92
1774789200000,1.263,1.267,1.254,1.263,198054.79
1774792800000,1.263,1.27,1.261,1.264,183654.31
1774796400000,1.265,1.267,1.254,1.257,121759.26
1774800000000,1.256,1.261,1.255,1.256,78725.61
1774803600000,1.256,1.258,1.249,1.254,108079.5
1774807200000,1.254,1.258,1.251,1.255,73833.46
1774810800000,1.255,1.256,1.25,1.253,65751.61
1774814400000,1.253,1.264,1.253,1.26,88896.55
1774818000000,1.261,1.268,1.259,1.268,86785.07
1774821600000,1.267,1.267,1.221,1.251,525096.1
1774825200000,1.251,1.262,1.249,1.261,326036.59
1774828800000,1.261,1.287,1.26,1.27,422330.12
1774832400000,1.27,1.276,1.265,1.275,195905.79
1774836000000,1.276,1.286,1.27,1.274,250354.95
1774839600000,1.274,1.277,1.271,1.272,183736.0
1774843200000,1.273,1.277,1.269,1.272,280378.29
1774846800000,1.272,1.275,1.26,1.263,288979.06
1774850400000,1.263,1.271,1.261,1.268,173777.12
1774854000000,1.268,1.279,1.267,1.277,305166.95
1774857600000,1.278,1.286,1.274,1.279,424850.6
1774861200000,1.279,1.28,1.267,1.27,195384.5
1774864800000,1.269,1.272,1.266,1.272,219926.07
1774868400000,1.272,1.288,1.271,1.281,326665.97
1774872000000,1.281,1.286,1.274,1.276,215113.11
1774875600000,1.277,1.281,1.264,1.265,258307.64
1774879200000,1.266,1.273,1.259,1.271,271968.01
1774882800000,1.272,1.272,1.259,1.264,284100.02
1774886400000,1.264,1.269,1.26,1.263,248562.29
1774890000000,1.263,1.266,1.246,1.25,392760.02
1774893600000,1.25,1.251,1.244,1.247,220758.81
1774897200000,1.246,1.247,1.233,1.241,372503.02
1774900800000,1.24,1.244,1.233,1.236,193157.05
1774904400000,1.236,1.252,1.235,1.248,205679.96
1774908000000,1.248,1.25,1.244,1.247,117725.81
1774911600000,1.246,1.246,1.237,1.243,175584.67
1774915200000,1.244,1.247,1.236,1.244,189547.13
1774918800000,1.244,1.264,1.241,1.258,317561.22
1774922400000,1.257,1.264,1.254,1.258,120764.59
1774926000000,1.258,1.261,1.252,1.254,143655.16
1774929600000,1.254,1.256,1.245,1.247,189456.87
1774933200000,1.246,1.251,1.242,1.247,115553.5
1774936800000,1.247,1.251,1.239,1.25,151315.97
1774940400000,1.25,1.257,1.247,1.256,181724.22
1774944000000,1.256,1.258,1.238,1.241,283147.51
1774947600000,1.241,1.244,1.226,1.232,335336.32
1774951200000,1.233,1.238,1.227,1.229,257728.8
1774954800000,1.228,1.244,1.226,1.237,584873.93
1774958400000,1.238,1.246,1.233,1.242,766526.67
1774962000000,1.243,1.27,1.242,1.267,431794.69
1774965600000,1.268,1.278,1.253,1.257,391359.22
1774969200000,1.257,1.267,1.252,1.253,244576.64
1774972800000,1.253,1.276,1.253,1.265,282088.13
1774976400000,1.265,1.274,1.255,1.26,429740.99
1774980000000,1.26,1.268,1.26,1.265,164106.89
1774983600000,1.266,1.27,1.263,1.269,181704.06
1774987200000,1.27,1.271,1.255,1.265,663500.64
1774990800000,1.265,1.267,1.258,1.262,132761.79
1774994400000,1.262,1.262,1.251,1.254,140740.12
1774998000000,1.254,1.256,1.25,1.253,137002.38
1775001600000,1.253,1.257,1.25,1.256,148312.92
1775005200000,1.257,1.26,1.251,1.251,143225.54
1775008800000,1.25,1.255,1.247,1.253,142699.13
1775012400000,1.254,1.265,1.253,1.261,102277.02
1775016000000,1.262,1.268,1.261,1.266,154517.58
1775019600000,1.266,1.283,1.262,1.28,295513.61
1775023200000,1.281,1.303,1.279,1.3,841018.49
1775026800000,1.3,1.301,1.284,1.287,283719.39
1775030400000,1.288,1.292,1.276,1.28,245020.59
1775034000000,1.28,1.286,1.273,1.283,116547.31
1775037600000,1.283,1.284,1.276,1.28,136956.91
1775041200000,1.281,1.281,1.27,1.277,170132.88
1775044800000,1.277,1.295,1.272,1.279,732997.25
1775048400000,1.28,1.284,1.264,1.271,476753.52
1775052000000,1.271,1.275,1.266,1.272,215491.92
1775055600000,1.272,1.276,1.264,1.276,302556.47
1775059200000,1.276,1.281,1.269,1.277,228221.04
1775062800000,1.277,1.284,1.27,1.271,258898.26
1775066400000,1.272,1.273,1.258,1.26,303910.83
1775070000000,1.26,1.268,1.256,1.265,174725.54
1775073600000,1.265,1.265,1.256,1.261,116688.79
1775077200000,1.261,1.27,1.261,1.266,183777.87
1775080800000,1.265,1.266,1.251,1.255,150462.96
1775084400000,1.255,1.258,1.253,1.255,130428.2
1775088000000,1.256,1.269,1.255,1.265,179995.0
1775091600000,1.266,1.266,1.231,1.239,457907.65
1775095200000,1.238,1.238,1.216,1.229,595782.18
1775098800000,1.229,1.23,1.211,1.219,295663.73
1775102400000,1.218,1.224,1.215,1.218,236334.59
1775106000000,1.22,1.221,1.213,1.219,216325.32
1775109600000,1.219,1.225,1.218,1.222,182471.96
1775113200000,1.222,1.227,1.218,1.225,98017.79
1775116800000,1.226,1.226,1.216,1.216,133964.08
1775120400000,1.217,1.22,1.212,1.217,259465.26
1775124000000,1.218,1.22,1.211,1.216,130218.06
1775127600000,1.215,1.219,1.207,1.216,217295.23
1775131200000,1.216,1.216,1.206,1.209,266219.54
1775134800000,1.209,1.211,1.204,1.211,260791.36
1775138400000,1.211,1.233,1.208,1.231,461067.21
1775142000000,1.23,1.23,1.216,1.222,600144.66
1775145600000,1.222,1.231,1.217,1.224,211814.44
1775149200000,1.223,1.232,1.218,1.221,310002.61
1775152800000,1.22,1.229,1.219,1.227,134344.57
1775156400000,1.227,1.229,1.22,1.226,63871.91
1775160000000,1.227,1.232,1.225,1.228,71807.17
1775163600000,1.228,1.233,1.224,1.229,96437.55
1775167200000,1.23,1.233,1.228,1.23,88050.06
1775170800000,1.229,1.238,1.229,1.237,109102.68
1775174400000,1.237,1.242,1.236,1.24,84767.7
1775178000000,1.241,1.244,1.233,1.235,89428.64
1775181600000,1.235,1.239,1.23,1.235,134354.79
1775185200000,1.235,1.239,1.232,1.237,119426.21
1775188800000,1.236,1.241,1.234,1.239,65529.7
1775192400000,1.24,1.251,1.238,1.248,127889.4
1775196000000,1.249,1.26,1.248,1.254,166347.01
1775199600000,1.254,1.257,1.249,1.252,166418.81
1775203200000,1.251,1.258,1.25,1.255,119959.8
1775206800000,1.255,1.255,1.246,1.248,203639.98
1775210400000,1.248,1.251,1.244,1.25,119857.26
1775214000000,1.25,1.252,1.25,1.252,9832.86
