timestamp,open,high,low,close,volume
1774526400000,0.886,0.9,0.884,0.896,751305.63
1774530000000,0.895,0.903,0.892,0.897,334091.96
1774533600000,0.898,0.899,0.887,0.889,621457.52
1774537200000,0.889,0.89,0.879,0.883,534885.6
1774540800000,0.884,0.887,0.881,0.883,294573.69
1774544400000,0.882,0.885,0.879,0.88,272158.87
1774548000000,0.881,0.882,0.866,0.87,593047.75
1774551600000,0.87,0.87,0.863,0.864,253224.5
1774555200000,0.865,0.881,0.862,0.87,1364154.35
1774558800000,0.87,0.875,0.868,0.869,287075.53
1774562400000,0.869,0.872,0.865,0.869,342344.82
1774566000000,0.869,0.87,0.865,0.869,338343.79
1774569600000,0.869,0.873,0.867,0.872,362583.74
1774573200000,0.872,0.878,0.872,0.876,345453.87
1774576800000,0.877,0.878,0.872,0.872,244160.19
1774580400000,0.872,0.874,0.867,0.87,200089.64
1774584000000,0.87,0.877,0.864,0.871,425618.68
1774587600000,0.871,0.872,0.867,0.868,240132.07
1774591200000,0.868,0.874,0.866,0.872,200286.7
1774594800000,0.873,0.878,0.872,0.878,269462.44
1774598400000,0.877,0.88,0.862,0.867,419896.35
1774602000000,0.867,0.867,0.855,0.861,566334.73
1774605600000,0.861,0.862,0.832,0.837,2387627.76
1774609200000,0.838,0.844,0.831,0.842,629069.79
1774612800000,0.841,0.843,0.837,0.843,219504.08
1774616400000,0.843,0.843,0.832,0.836,599528.28
1774620000000,0.836,0.84,0.831,0.837,660102.11
1774623600000,0.837,0.84,0.832,0.833,657777.15
1774627200000,0.833,0.841,0.831,0.839,248722.44
1774630800000,0.839,0.844,0.832,0.837,410517.99
1774634400000,0.838,0.839,0.834,0.836,170568.54
1774638000000,0.835,0.839,0.831,0.839,146253.98
1774641600000,0.839,0.84,0.832,0.836,208703.59
1774645200000,0.836,0.839,0.833,0.834,113684.16
1774648800000,0.834,0.837,0.832,0.835,120274.24
1774652400000,0.835,0.841,0.833,0.839,281463.18
1774656000000,0.839,0.842,0.838,0.838,131646.83
1774659600000,0.838,0.838,0.82,0.829,472265.62
1774663200000,0.829,0.832,0.823,0.825,193583.83
1774666800000,0.826,0.827,0.824,0.825,214927.35
1774670400000,0.825,0.827,0.819,0.822,221664.19
1774674000000,0.822,0.825,0.82,0.821,186830.74
1774677600000,0.821,0.825,0.817,0.823,446303.72
1774681200000,0.823,0.83,0.822,0.83,239138.08
1774684800000,0.83,0.831,0.826,0.827,133995.52
1774688400000,0.827,0.827,0.818,0.821,235234.92
1774692000000,0.821,0.824,0.818,0.821,266238.26
1774695600000,0.822,0.825,0.819,0.824,160152.47
1774699200000,0.823,0.825,0.82,0.823,299925.61
1774702800000,0.823,0.842,0.821,0.833,701611.55
1774706400000,0.833,0.833,0.824,0.827,404681.53
1774710000000,0.826,0.831,0.819,0.82,508509.89
1774713600000,0.82,0.828,0.818,0.828,375912.6
1774717200000,0.829,0.829,0.82,0.824,164694.32
1774720800000,0.825,0.829,0.823,0.826,160624.93
1774724400000,0.826,0.827,0.821,0.824,166966.89
1774728000000,0.824,0.828,0.823,0.826,211863.6
1774731600000,0.826,0.826,0.794,0.803,1275997.07
1774735200000,0.803,0.812,0.803,0.809,792185.96
1774738800000,0.809,0.809,0.793,0.801,1190992.46
1774742400000,0.8,0.805,0.797,0.8,504555.06
1774746000000,0.8,0.809,0.8,0.806,424616.3
1774749600000,0.806,0.811,0.804,0.809,342012.07
1774753200000,0.81,0.818,0.81,0.814,372543.32
1774756800000,0.814,0.814,0.809,0.811,206053.8
1774760400000,0.811,0.813,0.807,0.812,171763.72
1774764000000,0.811,0.813,0.81,0.812,91666.16
1774767600000,0.811,0.811,0.808,0.809,74567.03
1774771200000,0.809,0.814,0.808,0.813,82650.09
1774774800000,0.813,0.815,0.812,0.813,159965.28
1774778400000,0.812,0.812,0.805,0.809,206723.11
1774782000000,0.809,0.814,0.809,0.812,93698.46
1774785600000,0.811,0.811,0.802,0.804,263512.35
1774789200000,0.805,0.806,0.799,0.801,346758.17
1774792800000,0.801,0.807,0.8,0.804,299409.68
1774796400000,0.805,0.806,0.8,0.803,306362.17
1774800000000,0.803,0.807,0.801,0.803,117780.93
1774803600000,0.804,0.805,0.797,0.803,140612.43
1774807200000,0.803,0.806,0.8,0.805,158965.0
1774810800000,0.805,0.807,0.804,0.806,85755.71
1774814400000,0.806,0.812,0.806,0.812,106019.45
1774818000000,0.812,0.814,0.811,0.813,93204.27
1774821600000,0.813,0.813,0.775,0.798,1628048.61
1774825200000,0.798,0.803,0.795,0.802,876361.08
1774828800000,0.801,0.819,0.8,0.806,497501.11
1774832400000,0.807,0.814,0.807,0.814,240480.36
1774836000000,0.814,0.825,0.813,0.819,550804.68
1774839600000,0.819,0.825,0.817,0.823,193466.94
1774843200000,0.824,0.836,0.824,0.832,468973.2
1774846800000,0.832,0.844,0.832,0.84,535705.34
1774850400000,0.84,0.849,0.835,0.843,711931.89
1774854000000,0.843,0.86,0.841,0.856,733294.27
1774857600000,0.856,0.863,0.851,0.857,551905.99
1774861200000,0.857,0.857,0.844,0.846,315588.9
1774864800000,0.845,0.847,0.84,0.846,384108.15
1774868400000,0.846,0.855,0.842,0.846,464865.08
1774872000000,0.845,0.849,0.841,0.843,147095.87
1774875600000,0.843,0.846,0.837,0.838,272530.57
1774879200000,0.838,0.841,0.825,0.835,846551.28
1774882800000,0.836,0.837,0.827,0.831,191529.6
1774886400000,0.831,0.832,0.827,0.83,195102.43
1774890000000,0.831,0.832,0.82,0.823,251493.4
1774893600000,0.823,0.824,0.815,0.816,171081.31
1774897200000,0.817,0.817,0.811,0.816,165273.0
1774900800000,0.815,0.816,0.812,0.815,141178.77
1774904400000,0.814,0.824,0.814,0.821,200455.9
1774908000000,0.821,0.822,0.818,0.818,99337.5
1774911600000,0.818,0.818,0.81,0.816,240821.91
1774915200000,0.816,0.82,0.812,0.818,286876.16
1774918800000,0.819,0.836,0.817,0.829,391742.28
1774922400000,0.829,0.832,0.827,0.831,193277.41
1774926000000,0.831,0.831,0.825,0.829,240448.96
1774929600000,0.829,0.832,0.827,0.827,296149.82
1774933200000,0.827,0.832,0.826,0.831,163320.59
1774936800000,0.831,0.84,0.828,0.838,228289.53
1774940400000,0.839,0.843,0.834,0.842,307044.59
1774944000000,0.842,0.844,0.826,0.827,320026.84
1774947600000,0.827,0.83,0.818,0.821,421597.84
1774951200000,0.821,0.825,0.817,0.819,231242.18
1774954800000,0.818,0.83,0.816,0.828,598644.07
1774958400000,0.829,0.832,0.823,0.825,270305.93
1774962000000,0.825,0.835,0.824,0.83,344174.69
1774965600000,0.831,0.837,0.82,0.825,370524.19
1774969200000,0.824,0.833,0.819,0.819,194903.86
1774972800000,0.819,0.835,0.819,0.833,314010.27
1774976400000,0.834,0.842,0.828,0.829,315213.9
1774980000000,0.83,0.837,0.83,0.832,125999.19
1774983600000,0.833,0.835,0.832,0.834,75722.6
1774987200000,0.834,0.838,0.833,0.835,120520.32
1774990800000,0.836,0.836,0.83,0.832,121157.99
1774994400000,0.833,0.833,0.827,0.83,154125.35
1774998000000,0.829,0.832,0.827,0.832,240327.06
1775001600000,0.832,0.835,0.828,0.833,93478.31
1775005200000,0.833,0.833,0.822,0.825,226134.13
1775008800000,0.825,0.828,0.823,0.826,129392.12
1775012400000,0.826,0.836,0.826,0.833,132841.36
1775016000000,0.832,0.835,0.83,0.834,250489.24
1775019600000,0.834,0.841,0.831,0.839,300922.7
1775023200000,0.839,0.848,0.838,0.847,427327.37
1775026800000,0.847,0.851,0.844,0.847,470847.3
1775030400000,0.847,0.852,0.845,0.846,368431.13
1775034000000,0.846,0.848,0.84,0.843,320446.49
1775037600000,0.843,0.844,0.837,0.841,229439.5
1775041200000,0.84,0.844,0.837,0.843,139758.73
1775044800000,0.842,0.858,0.841,0.847,532083.2
1775048400000,0.846,0.849,0.837,0.843,216296.63
1775052000000,0.843,0.851,0.843,0.849,212605.66
1775055600000,0.849,0.851,0.844,0.849,265266.45
1775059200000,0.848,0.852,0.846,0.848,201780.36
1775062800000,0.848,0.854,0.844,0.845,147329.14
1775066400000,0.846,0.848,0.841,0.842,81611.3
1775070000000,0.842,0.843,0.839,0.841,72578.17
1775073600000,0.841,0.842,0.838,0.84,149224.89
1775077200000,0.84,0.847,0.84,0.847,235365.54
1775080800000,0.846,0.846,0.837,0.837,119961.26
1775084400000,0.837,0.838,0.835,0.837,191393.56
1775088000000,0.838,0.845,0.837,0.842,176514.5
1775091600000,0.842,0.843,0.815,0.823,783190.33
1775095200000,0.822,0.822,0.809,0.816,412866.46
1775098800000,0.815,0.82,0.806,0.813,426631.63
1775102400000,0.812,0.815,0.809,0.81,299541.33
1775106000000,0.81,0.812,0.805,0.81,339182.42
1775109600000,0.809,0.816,0.809,0.815,253893.84
1775113200000,0.815,0.82,0.814,0.82,337997.18
1775116800000,0.82,0.821,0.809,0.81,265684.23
1775120400000,0.81,0.816,0.808,0.811,383264.49
1775124000000,0.811,0.813,0.808,0.813,124346.98
1775127600000,0.813,0.814,0.807,0.812,227749.4
1775131200000,0.812,0.812,0.805,0.808,209419.69
1775134800000,0.808,0.809,0.799,0.807,631267.16
1775138400000,0.806,0.822,0.804,0.822,455400.02
1775142000000,0.821,0.821,0.811,0.812,266450.29
1775145600000,0.812,0.819,0.809,0.814,286316.16
1775149200000,0.813,0.821,0.809,0.81,180189.56
1775152800000,0.811,0.825,0.81,0.821,214388.81
1775156400000,0.821,0.821,0.813,0.819,144723.86
1775160000000,0.819,0.826,0.817,0.821,121922.86
1775163600000,0.822,0.823,0.816,0.819,236149.66
1775167200000,0.818,0.82,0.814,0.815,199700.13
1775170800000,0.814,0.818,0.813,0.817,138251.41
1775174400000,0.817,0.82,0.817,0.82,172530.5
1775178000000,0.82,0.824,0.817,0.82,322978.58
1775181600000,0.82,0.825,0.818,0.824,403813.24
1775185200000,0.825,0.838,0.823,0.832,434728.2
1775188800000,0.832,0.838,0.829,0.836,349097.4
1775192400000,0.836,0.845,0.833,0.84,433901.99
1775196000000,0.84,0.848,0.837,0.843,371698.48
1775199600000,0.842,0.844,0.837,0.84,344084.93
1775203200000,0.84,0.845,0.84,0.843,216577.12
1775206800000,0.843,0.847,0.842,0.843,216379.56
1775210400000,0.844,0.847,0.839,0.843,242225.5
1775214000000,0.843,0.846,0.843,0.845,22823.77
