timestamp,open,high,low,close,volume
1774523220000,54.74,54.76,54.71,54.72,216.201
1774523280000,54.72,54.75,54.71,54.74,191.569
1774523340000,54.74,54.77,54.74,54.76,94.463
1774523400000,54.76,54.77,54.76,54.77,76.895
1774523460000,54.77,54.77,54.62,54.71,1326.567
1774523520000,54.7,54.7,54.67,54.68,127.107
1774523580000,54.67,54.7,54.67,54.7,139.533
1774523640000,54.69,54.71,54.69,54.71,152.025
1774523700000,54.7,54.73,54.69,54.72,226.07
1774523760000,54.72,54.72,54.67,54.67,193.174
1774523820000,54.68,54.68,54.64,54.66,833.897
1774523880000,54.66,54.68,54.65,54.67,156.016
1774523940000,54.67,54.68,54.66,54.68,119.408
1774524000000,54.68,54.68,54.64,54.64,620.401
1774524060000,54.63,54.64,54.62,54.62,287.86
1774524120000,54.63,54.64,54.62,54.62,175.883
1774524180000,54.61,54.63,54.61,54.62,189.674
1774524240000,54.61,54.61,54.57,54.57,378.662
1774524300000,54.58,54.6,54.55,54.57,674.697
1774524360000,54.57,54.58,54.54,54.55,519.751
1774524420000,54.55,54.55,54.51,54.55,192.076
1774524480000,54.56,54.58,54.55,54.57,169.665
1774524540000,54.57,54.58,54.54,54.55,244.996
1774524600000,54.54,54.59,54.54,54.59,124.632
1774524660000,54.59,54.59,54.55,54.58,305.272
1774524720000,54.58,54.58,54.55,54.55,227.665
1774524780000,54.55,54.55,54.53,54.54,76.303
1774524840000,54.55,54.58,54.54,54.55,446.902
1774524900000,54.54,54.55,54.53,54.53,94.056
1774524960000,54.54,54.56,54.54,54.55,300.147
1774525020000,54.54,54.57,54.54,54.56,113.191
1774525080000,54.57,54.6,54.56,54.59,329.714
1774525140000,54.59,54.62,54.58,54.61,1906.095
1774525200000,54.61,54.64,54.6,54.63,113.27
1774525260000,54.63,54.65,54.63,54.64,119.387
1774525320000,54.65,54.65,54.62,54.63,87.012
1774525380000,54.63,54.63,54.61,54.62,109.496
1774525440000,54.61,54.62,54.6,54.61,116.002
1774525500000,54.6,54.63,54.6,54.63,211.472
1774525560000,54.63,54.64,54.62,54.62,50.978
1774525620000,54.62,54.64,54.61,54.64,87.649
1774525680000,54.63,54.65,54.63,54.65,109.934
1774525740000,54.64,54.64,54.6,54.61,242.905
1774525800000,54.62,54.62,54.61,54.62,96.428
1774525860000,54.62,54.63,54.61,54.63,240.553
1774525920000,54.63,54.63,54.62,54.63,94.326
1774525980000,54.63,54.65,54.62,54.64,171.813
1774526040000,54.64,54.65,54.63,54.64,75.783
1774526100000,54.63,54.63,54.61,54.63,88.923
1774526160000,54.63,54.64,54.61,54.63,98.762
1774526220000,54.63,54.63,54.61,54.62,610.816
1774526280000,54.62,54.63,54.61,54.63,338.6
1774526340000,54.63,54.63,54.6,54.61,455.08
1774526400000,54.61,54.61,54.55,54.56,119.423
1774526460000,54.55,54.57,54.54,54.55,167.499
1774526520000,54.54,54.58,54.53,54.57,371.064
1774526580000,54.56,54.59,54.55,54.59,114.44
1774526640000,54.6,54.6,54.57,54.57,106.282
1774526700000,54.58,54.58,54.52,54.52,153.186
1774526760000,54.52,54.58,54.51,54.57,397.007
1774526820000,54.58,54.58,54.56,54.58,109.586
1774526880000,54.57,54.6,54.57,54.59,183.116
1774526940000,54.58,54.59,54.55,54.57,160.438
1774527000000,54.56,54.59,54.56,54.59,64.903
1774527060000,54.59,54.61,54.59,54.6,132.804
1774527120000,54.61,54.61,54.59,54.59,152.097
1774527180000,54.59,54.6,54.58,54.59,158.754
1774527240000,54.58,54.59,54.58,54.59,212.657
1774527300000,54.58,54.61,54.58,54.61,99.123
1774527360000,54.6,54.61,54.6,54.61,100.59
1774527420000,54.61,54.61,54.6,54.61,52.061
1774527480000,54.61,54.61,54.59,54.6,140.316
1774527540000,54.6,54.61,54.56,54.59,580.854
1774527600000,54.59,54.62,54.58,54.62,216.74
1774527660000,54.62,54.62,54.61,54.62,60.85
1774527720000,54.62,54.63,54.61,54.63,79.284
1774527780000,54.62,54.63,54.62,54.63,63.877
1774527840000,54.63,54.64,54.62,54.63,211.528
1774527900000,54.63,54.64,54.61,54.64,117.679
1774527960000,54.64,54.65,54.63,54.64,143.495
1774528020000,54.64,54.65,54.63,54.64,50.753
1774528080000,54.65,54.66,54.64,54.66,70.386
1774528140000,54.66,54.66,54.65,54.65,51.706
1774528200000,54.64,54.66,54.64,54.66,123.334
1774528260000,54.65,54.7,54.64,54.7,259.21
1774528320000,54.7,54.73,54.69,54.73,497.773
1774528380000,54.72,54.73,54.69,54.7,121.267
1774528440000,54.7,54.7,54.68,54.68,107.267
1774528500000,54.68,54.68,54.64,54.64,98.5
1774528560000,54.63,54.64,54.63,54.64,260.119
1774528620000,54.64,54.68,54.63,54.68,61.943
1774528680000,54.68,54.69,54.66,54.69,135.093
1774528740000,54.69,54.74,54.68,54.69,668.161
1774528800000,54.7,54.7,54.67,54.68,127.071
1774528860000,54.67,54.68,54.65,54.66,390.102
1774528920000,54.65,54.68,54.65,54.67,120.973
1774528980000,54.68,54.69,54.67,54.69,54.554
1774529040000,54.69,54.69,54.66,54.67,119.236
1774529100000,54.67,54.69,54.67,54.68,61.816
1774529160000,54.69,54.71,54.68,54.68,94.517
1774529220000,54.68,54.69,54.67,54.69,125.807
1774529280000,54.69,54.69,54.66,54.67,77.054
1774529340000,54.66,54.7,54.66,54.7,36.812
1774529400000,54.69,54.72,54.69,54.72,334.362
1774529460000,54.71,54.74,54.69,54.69,1365.591
1774529520000,54.69,54.73,54.68,54.7,1112.822
1774529580000,54.7,54.71,54.67,54.68,129.36
1774529640000,54.68,54.71,54.67,54.71,137.286
1774529700000,54.71,54.72,54.71,54.72,430.538
1774529760000,54.71,54.71,54.69,54.69,275.604
1774529820000,54.68,54.71,54.68,54.71,164.156
1774529880000,54.71,54.72,54.69,54.71,187.39
1774529940000,54.7,54.71,54.68,54.7,442.794
1774530000000,54.69,54.69,54.67,54.69,108.704
1774530060000,54.69,54.71,54.68,54.69,109.358
1774530120000,54.69,54.7,54.68,54.69,55.492
1774530180000,54.7,54.7,54.68,54.7,52.696
1774530240000,54.7,54.71,54.69,54.71,63.28
1774530300000,54.72,54.8,54.72,54.8,294.328
1774530360000,54.79,54.79,54.76,54.78,186.205
1774530420000,54.78,54.79,54.77,54.79,81.285
1774530480000,54.79,54.83,54.78,54.8,763.339
1774530540000,54.8,54.8,54.77,54.78,141.562
1774530600000,54.78,54.78,54.74,54.75,64.073
1774530660000,54.75,54.77,54.74,54.77,67.204
1774530720000,54.77,54.77,54.76,54.76,14.774
1774530780000,54.76,54.79,54.76,54.76,308.929
1774530840000,54.77,54.78,54.76,54.78,18.472
1774530900000,54.78,54.78,54.76,54.78,54.833
1774530960000,54.79,54.83,54.79,54.81,239.921
1774531020000,54.82,54.83,54.81,54.83,40.146
1774531080000,54.83,54.84,54.81,54.84,128.736
1774531140000,54.83,54.84,54.82,54.82,275.229
1774531200000,54.82,54.82,54.79,54.79,86.506
1774531260000,54.8,54.81,54.79,54.81,99.457
1774531320000,54.81,54.81,54.79,54.8,82.031
1774531380000,54.79,54.8,54.77,54.78,114.384
1774531440000,54.78,54.78,54.77,54.78,31.436
1774531500000,54.78,54.78,54.76,54.77,138.289
1774531560000,54.76,54.78,54.75,54.76,167.684
1774531620000,54.75,54.77,54.75,54.77,58.353
1774531680000,54.77,54.77,54.75,54.75,100.655
1774531740000,54.76,54.78,54.75,54.78,37.19
1774531800000,54.78,54.79,54.74,54.78,115.099
1774531860000,54.78,54.8,54.76,54.78,68.227
1774531920000,54.78,54.81,54.76,54.8,85.491
1774531980000,54.79,54.79,54.74,54.74,43.225
1774532040000,54.74,54.75,54.71,54.72,60.182
1774532100000,54.72,54.73,54.68,54.71,161.692
1774532160000,54.72,54.76,54.68,54.76,209.123
1774532220000,54.77,54.84,54.76,54.78,723.178
1774532280000,54.77,54.77,54.75,54.75,162.612
1774532340000,54.75,54.77,54.71,54.72,85.046
1774532400000,54.71,54.75,54.71,54.72,82.907
1774532460000,54.72,54.73,54.7,54.72,141.917
1774532520000,54.71,54.77,54.7,54.77,33.277
1774532580000,54.77,54.8,54.75,54.79,100.465
1774532640000,54.79,54.89,54.77,54.89,120.279
1774532700000,54.9,55.09,54.9,55.06,1332.309
1774532760000,55.05,55.1,54.98,54.98,1281.042
1774532820000,54.98,55.04,54.96,55.03,129.023
1774532880000,55.02,55.03,54.99,55.03,88.819
1774532940000,55.02,55.03,54.97,54.99,179.674
1774533000000,54.99,55.01,54.97,55.0,37.224
1774533060000,55.0,55.07,54.99,55.05,177.564
1774533120000,55.05,55.17,55.04,55.15,863.875
1774533180000,55.14,55.15,55.1,55.14,116.007
1774533240000,55.14,55.14,55.08,55.09,144.101
1774533300000,55.1,55.1,55.04,55.04,180.933
1774533360000,55.04,55.04,54.97,54.98,477.61
1774533420000,54.97,54.99,54.96,54.98,366.873
1774533480000,54.98,55.01,54.95,54.99,697.168
1774533540000,54.99,55.07,54.97,55.06,288.609
1774533600000,55.07,55.1,55.06,55.09,670.615
1774533660000,55.1,55.11,55.1,55.11,464.53
1774533720000,55.11,55.11,55.06,55.09,235.055
1774533780000,55.09,55.1,55.05,55.1,131.964
1774533840000,55.1,55.12,55.08,55.12,79.859
1774533900000,55.11,55.12,55.09,55.12,189.236
1774533960000,55.13,55.2,55.12,55.2,1527.074
1774534020000,55.21,55.23,55.16,55.16,133.166
1774534080000,55.16,55.16,55.1,55.11,258.158
1774534140000,55.11,55.12,55.08,55.11,158.674
1774534200000,55.11,55.12,55.08,55.09,377.67
1774534260000,55.09,55.09,55.03,55.04,151.336
1774534320000,55.04,55.1,55.04,55.1,1313.418
1774534380000,55.09,55.09,55.03,55.05,133.475
1774534440000,55.06,55.09,55.05,55.09,97.602
1774534500000,55.09,55.13,55.07,55.12,82.108
1774534560000,55.13,55.13,55.1,55.11,151.653
1774534620000,55.1,55.11,55.08,55.09,159.663
1774534680000,55.09,55.09,55.05,55.07,502.127
1774534740000,55.06,55.08,55.04,55.04,391.712
1774534800000,55.03,55.03,54.98,55.0,1143.761
1774534860000,54.99,55.03,54.99,55.0,224.213
1774534920000,55.0,55.04,54.99,55.03,110.429
1774534980000,55.03,55.05,55.01,55.05,223.035
1774535040000,55.05,55.05,55.01,55.03,686.8
1774535100000,55.03,55.04,55.01,55.03,542.851
1774535160000,55.03,55.06,55.02,55.04,196.935
1774535220000,55.05,55.11,55.03,55.07,1445.117
1774535280000,55.06,55.08,55.05,55.06,66.204
1774535340000,55.05,55.06,54.98,55.01,390.314
1774535400000,55.01,55.04,55.01,55.04,59.111
1774535460000,55.03,55.08,55.03,55.06,35.059
1774535520000,55.07,55.08,55.06,55.07,21.302
1774535580000,55.07,55.07,55.06,55.06,40.008
1774535640000,55.06,55.14,55.04,55.13,394.028
1774535700000,55.13,55.13,55.08,55.09,170.61
1774535760000,55.09,55.1,55.06,55.07,128.785
1774535820000,55.06,55.06,55.03,55.05,58.089
1774535880000,55.05,55.05,55.04,55.04,34.094
1774535940000,55.05,55.08,55.04,55.06,84.301
1774536000000,55.06,55.15,55.05,55.06,126.231
1774536060000,55.07,55.07,55.01,55.05,227.308
1774536120000,55.05,55.06,55.02,55.04,223.413
1774536180000,55.04,55.05,54.99,55.01,124.033
1774536240000,55.01,55.02,54.98,55.0,70.567
1774536300000,55.0,55.0,54.97,54.98,133.822
1774536360000,54.99,54.99,54.94,54.94,127.122
1774536420000,54.94,55.02,54.94,54.99,86.745
1774536480000,54.99,55.03,54.98,54.99,56.327
1774536540000,54.99,55.01,54.96,55.0,846.939
1774536600000,55.01,55.02,54.99,55.01,184.891
1774536660000,55.02,55.02,54.99,55.0,74.843
1774536720000,55.01,55.01,54.96,54.96,115.462
1774536780000,54.97,54.99,54.9,54.91,570.951
1774536840000,54.92,54.93,54.85,54.91,400.731
1774536900000,54.91,54.97,54.85,54.96,561.578
1774536960000,54.96,55.03,54.94,54.99,314.701
1774537020000,54.99,54.99,54.96,54.98,352.175
1774537080000,54.99,55.06,54.98,55.06,426.01
1774537140000,55.05,55.05,54.99,55.0,97.334
1774537200000,55.0,55.0,54.96,54.96,139.957
1774537260000,54.96,54.96,54.92,54.94,98.257
1774537320000,54.94,54.94,54.9,54.93,480.594
1774537380000,54.93,54.93,54.88,54.89,1402.045
1774537440000,54.89,54.89,54.82,54.85,914.41
1774537500000,54.84,54.91,54.83,54.9,118.952
1774537560000,54.9,54.91,54.87,54.89,458.676
1774537620000,54.89,54.89,54.8,54.82,69.961
1774537680000,54.81,54.81,54.79,54.79,120.542
1774537740000,54.79,54.8,54.69,54.76,315.479
1774537800000,54.76,54.77,54.75,54.77,49.622
1774537860000,54.76,54.78,54.72,54.74,110.551
1774537920000,54.73,54.75,54.61,54.67,2841.502
1774537980000,54.68,54.69,54.65,54.67,1402.308
1774538040000,54.67,54.67,54.55,54.58,361.119
1774538100000,54.58,54.62,54.43,54.62,2196.196
1774538160000,54.63,54.67,54.61,54.63,433.102
1774538220000,54.63,54.65,54.62,54.62,149.097
1774538280000,54.63,54.66,54.62,54.65,845.659
1774538340000,54.65,54.71,54.65,54.69,1975.073
1774538400000,54.68,54.73,54.67,54.73,328.308
1774538460000,54.74,54.75,54.7,54.73,791.761
1774538520000,54.72,54.75,54.72,54.72,559.693
1774538580000,54.72,54.76,54.71,54.76,70.328
1774538640000,54.77,54.77,54.74,54.75,40.226
1774538700000,54.76,54.78,54.74,54.74,53.097
1774538760000,54.75,54.76,54.73,54.74,113.021
1774538820000,54.73,54.74,54.72,54.74,138.501
1774538880000,54.74,54.77,54.74,54.75,401.599
1774538940000,54.75,54.76,54.73,54.73,59.951
1774539000000,54.72,54.72,54.68,54.7,83.395
1774539060000,54.7,54.71,54.67,54.68,29.947
1774539120000,54.68,54.71,54.68,54.71,39.877
1774539180000,54.71,54.72,54.66,54.66,101.185
1774539240000,54.67,54.68,54.66,54.67,42.766
1774539300000,54.67,54.69,54.66,54.69,156.275
1774539360000,54.69,54.69,54.66,54.67,75.069
1774539420000,54.67,54.67,54.64,54.65,93.921
1774539480000,54.65,54.66,54.63,54.65,73.212
1774539540000,54.65,54.7,54.64,54.7,342.948
1774539600000,54.7,54.75,54.69,54.73,206.204
1774539660000,54.72,54.73,54.69,54.69,129.109
1774539720000,54.69,54.69,54.67,54.69,63.799
1774539780000,54.69,54.72,54.69,54.69,49.956
1774539840000,54.69,54.7,54.68,54.7,26.708
1774539900000,54.7,54.72,54.69,54.69,237.962
1774539960000,54.69,54.77,54.67,54.77,514.509
1774540020000,54.76,54.79,54.71,54.74,175.822
1774540080000,54.74,54.75,54.73,54.73,349.389
1774540140000,54.73,54.74,54.72,54.74,72.5
1774540200000,54.73,54.74,54.72,54.72,44.555
1774540260000,54.72,54.73,54.71,54.73,224.608
1774540320000,54.73,54.81,54.73,54.8,246.746
1774540380000,54.8,54.8,54.75,54.77,417.694
1774540440000,54.76,54.76,54.74,54.76,270.615
1774540500000,54.75,54.75,54.7,54.74,1118.493
1774540560000,54.74,54.74,54.71,54.74,143.5
1774540620000,54.74,54.74,54.72,54.72,156.675
1774540680000,54.72,54.72,54.68,54.68,967.965
1774540740000,54.68,54.72,54.68,54.72,46.57
1774540800000,54.71,54.71,54.69,54.7,142.252
1774540860000,54.7,54.71,54.66,54.67,287.812
1774540920000,54.67,54.69,54.65,54.66,135.072
1774540980000,54.66,54.68,54.64,54.66,413.936
1774541040000,54.66,54.71,54.66,54.7,97.882
1774541100000,54.7,54.72,54.69,54.72,49.322
1774541160000,54.72,54.76,54.72,54.74,321.172
1774541220000,54.75,54.77,54.74,54.74,387.155
1774541280000,54.75,54.79,54.75,54.76,547.648
1774541340000,54.76,54.77,54.74,54.75,316.933
