timestamp,open,high,low,close,volume
1774526400000,1.745,1.773,1.738,1.772,164920.95
1774530000000,1.771,1.792,1.758,1.779,439902.98
1774533600000,1.779,1.792,1.768,1.775,206859.29
1774537200000,1.775,1.775,1.752,1.756,135014.36
1774540800000,1.756,1.764,1.748,1.758,96647.78
1774544400000,1.758,1.766,1.741,1.743,137942.0
1774548000000,1.744,1.76,1.736,1.759,195674.77
1774551600000,1.759,1.764,1.748,1.757,215615.92
1774555200000,1.758,1.788,1.741,1.764,318930.56
1774558800000,1.764,1.79,1.76,1.779,149832.26
1774562400000,1.778,1.778,1.762,1.771,81712.74
1774566000000,1.772,1.776,1.763,1.766,47973.78
1774569600000,1.766,1.786,1.754,1.784,270321.56
1774573200000,1.786,1.824,1.785,1.81,194404.35
1774576800000,1.811,1.828,1.799,1.811,77998.61
1774580400000,1.812,1.812,1.79,1.799,92972.22
1774584000000,1.799,1.801,1.774,1.774,107215.13
1774587600000,1.774,1.793,1.772,1.776,90505.38
1774591200000,1.777,1.791,1.766,1.77,73141.21
1774594800000,1.77,1.787,1.768,1.782,111196.29
1774598400000,1.783,1.789,1.751,1.765,260709.19
1774602000000,1.765,1.765,1.719,1.735,291800.97
1774605600000,1.735,1.739,1.689,1.698,421090.61
1774609200000,1.699,1.712,1.688,1.702,192478.7
1774612800000,1.702,1.703,1.679,1.692,264262.91
1774616400000,1.691,1.695,1.664,1.67,157351.59
1774620000000,1.67,1.682,1.659,1.681,238587.19
1774623600000,1.681,1.707,1.672,1.683,284761.95
1774627200000,1.683,1.684,1.665,1.675,134898.94
1774630800000,1.675,1.688,1.664,1.672,94107.15
1774634400000,1.671,1.676,1.655,1.663,71123.0
1774638000000,1.663,1.667,1.654,1.664,58917.31
1774641600000,1.665,1.668,1.644,1.658,97176.68
1774645200000,1.658,1.665,1.65,1.651,62779.23
1774648800000,1.652,1.655,1.641,1.643,121528.81
1774652400000,1.642,1.665,1.638,1.66,171751.91
1774656000000,1.66,1.661,1.637,1.645,161111.73
1774659600000,1.645,1.645,1.631,1.637,206777.24
1774663200000,1.638,1.648,1.63,1.634,56849.95
1774666800000,1.634,1.644,1.631,1.632,63047.7
1774670400000,1.632,1.646,1.615,1.642,377361.16
1774674000000,1.643,1.653,1.639,1.652,165184.94
1774677600000,1.651,1.677,1.651,1.66,126100.18
1774681200000,1.661,1.696,1.661,1.695,142147.25
1774684800000,1.695,1.723,1.694,1.705,340277.79
1774688400000,1.706,1.706,1.689,1.701,80792.96
1774692000000,1.701,1.719,1.676,1.684,107212.47
1774695600000,1.685,1.688,1.679,1.687,75390.17
1774699200000,1.687,1.703,1.682,1.683,93656.02
1774702800000,1.683,1.74,1.677,1.729,313381.6
1774706400000,1.728,1.729,1.706,1.713,304168.4
1774710000000,1.713,1.741,1.71,1.721,233939.63
1774713600000,1.722,1.728,1.708,1.712,78553.82
1774717200000,1.711,1.715,1.696,1.701,56343.91
1774720800000,1.701,1.709,1.698,1.701,62143.35
1774724400000,1.7,1.702,1.69,1.693,50606.3
1774728000000,1.693,1.701,1.693,1.697,32976.07
1774731600000,1.698,1.699,1.668,1.674,112269.2
1774735200000,1.673,1.68,1.67,1.675,36216.02
1774738800000,1.674,1.674,1.642,1.655,137109.38
1774742400000,1.655,1.657,1.642,1.655,94590.51
1774746000000,1.656,1.669,1.654,1.66,74252.05
1774749600000,1.659,1.676,1.657,1.669,35005.71
1774753200000,1.668,1.686,1.667,1.678,44538.89
1774756800000,1.679,1.689,1.676,1.683,34462.71
1774760400000,1.683,1.688,1.678,1.681,109919.3
1774764000000,1.681,1.69,1.674,1.682,67566.33
1774767600000,1.681,1.681,1.669,1.672,42367.75
1774771200000,1.672,1.674,1.667,1.669,35669.11
1774774800000,1.67,1.678,1.667,1.676,56109.0
1774778400000,1.675,1.675,1.66,1.663,38752.05
1774782000000,1.665,1.692,1.665,1.682,110774.58
1774785600000,1.682,1.689,1.674,1.677,47740.89
1774789200000,1.676,1.676,1.654,1.661,134107.12
1774792800000,1.662,1.674,1.657,1.667,73887.49
1774796400000,1.668,1.673,1.653,1.668,60713.22
1774800000000,1.667,1.677,1.655,1.657,55611.66
1774803600000,1.657,1.664,1.652,1.661,42716.5
1774807200000,1.661,1.67,1.653,1.663,40788.61
1774810800000,1.664,1.665,1.65,1.654,63440.84
1774814400000,1.655,1.672,1.655,1.663,41360.54
1774818000000,1.664,1.674,1.663,1.674,38671.68
1774821600000,1.674,1.674,1.604,1.643,415456.6
1774825200000,1.642,1.661,1.642,1.653,136491.93
1774828800000,1.653,1.691,1.648,1.668,154627.37
1774832400000,1.668,1.689,1.668,1.684,111707.89
1774836000000,1.686,1.732,1.686,1.716,207970.62
1774839600000,1.717,1.722,1.705,1.714,83181.73
1774843200000,1.715,1.746,1.715,1.727,164038.83
1774846800000,1.728,1.733,1.714,1.716,78271.59
1774850400000,1.716,1.725,1.716,1.72,97566.77
1774854000000,1.72,1.75,1.718,1.748,153500.61
1774857600000,1.747,1.766,1.741,1.748,557082.59
1774861200000,1.749,1.751,1.732,1.739,170225.81
1774864800000,1.738,1.755,1.733,1.746,95865.86
1774868400000,1.747,1.771,1.739,1.746,194066.49
1774872000000,1.747,1.76,1.742,1.748,130354.35
1774875600000,1.749,1.749,1.714,1.718,206856.38
1774879200000,1.718,1.733,1.699,1.728,323336.83
1774882800000,1.727,1.737,1.71,1.727,187113.22
1774886400000,1.728,1.736,1.713,1.724,275121.6
1774890000000,1.724,1.734,1.7,1.709,188798.97
1774893600000,1.709,1.71,1.685,1.687,161062.49
1774897200000,1.688,1.696,1.676,1.696,173595.76
1774900800000,1.695,1.702,1.686,1.692,63973.69
1774904400000,1.692,1.718,1.691,1.703,71210.93
1774908000000,1.703,1.706,1.691,1.692,66170.85
1774911600000,1.692,1.692,1.674,1.683,115086.22
1774915200000,1.683,1.714,1.683,1.703,384179.31
1774918800000,1.704,1.729,1.696,1.718,143073.57
1774922400000,1.718,1.722,1.707,1.72,112582.41
1774926000000,1.719,1.726,1.711,1.712,105571.34
1774929600000,1.714,1.716,1.701,1.703,144435.65
1774933200000,1.704,1.716,1.701,1.714,85987.12
1774936800000,1.714,1.715,1.702,1.708,55244.66
1774940400000,1.708,1.709,1.689,1.704,104016.3
1774944000000,1.705,1.718,1.686,1.69,182750.05
1774947600000,1.689,1.694,1.66,1.668,205432.22
1774951200000,1.666,1.685,1.666,1.667,156407.59
1774954800000,1.667,1.693,1.662,1.681,172087.53
1774958400000,1.682,1.697,1.68,1.682,137833.95
1774962000000,1.683,1.715,1.682,1.711,149300.19
1774965600000,1.711,1.722,1.679,1.689,220459.94
1774969200000,1.689,1.714,1.688,1.689,118329.24
1774972800000,1.689,1.734,1.689,1.724,247352.2
1774976400000,1.725,1.743,1.701,1.706,227538.07
1774980000000,1.707,1.723,1.705,1.722,50344.88
1774983600000,1.722,1.747,1.722,1.738,193947.4
1774987200000,1.737,1.748,1.733,1.745,103938.32
1774990800000,1.745,1.745,1.721,1.724,49506.79
1774994400000,1.723,1.73,1.716,1.726,104423.71
1774998000000,1.726,1.743,1.724,1.742,114030.59
1775001600000,1.741,1.792,1.738,1.783,607141.88
1775005200000,1.783,1.801,1.767,1.773,352387.46
1775008800000,1.774,1.782,1.744,1.754,230374.8
1775012400000,1.754,1.782,1.754,1.78,134874.55
1775016000000,1.78,1.785,1.767,1.778,103504.27
1775019600000,1.779,1.792,1.768,1.783,124344.47
1775023200000,1.784,1.811,1.784,1.807,199544.5
1775026800000,1.807,1.827,1.802,1.816,316889.11
1775030400000,1.816,1.838,1.804,1.828,231263.74
1775034000000,1.827,1.836,1.794,1.799,206410.94
1775037600000,1.799,1.802,1.779,1.788,243473.8
1775041200000,1.787,1.794,1.779,1.787,113806.43
1775044800000,1.787,1.818,1.781,1.795,262974.43
1775048400000,1.794,1.813,1.784,1.795,157568.21
1775052000000,1.795,1.816,1.792,1.815,229552.3
1775055600000,1.815,1.831,1.804,1.814,281104.12
1775059200000,1.814,1.834,1.797,1.823,173758.92
1775062800000,1.823,1.835,1.793,1.793,152951.92
1775066400000,1.794,1.795,1.775,1.778,100457.23
1775070000000,1.778,1.786,1.768,1.781,120008.1
1775073600000,1.78,1.789,1.769,1.773,74392.55
1775077200000,1.774,1.788,1.769,1.774,60725.21
1775080800000,1.774,1.777,1.757,1.765,95535.77
1775084400000,1.765,1.769,1.758,1.763,36400.58
1775088000000,1.763,1.801,1.76,1.796,105243.08
1775091600000,1.795,1.807,1.725,1.742,342152.95
1775095200000,1.74,1.74,1.709,1.722,204006.34
1775098800000,1.722,1.726,1.697,1.711,189494.36
1775102400000,1.71,1.726,1.71,1.715,211147.12
1775106000000,1.716,1.722,1.704,1.721,150667.16
1775109600000,1.721,1.741,1.717,1.735,63916.38
1775113200000,1.735,1.761,1.732,1.759,130589.42
1775116800000,1.759,1.76,1.728,1.729,80086.83
1775120400000,1.729,1.748,1.705,1.721,303802.84
1775124000000,1.72,1.721,1.708,1.717,141951.23
1775127600000,1.718,1.729,1.706,1.722,140857.68
1775131200000,1.721,1.737,1.711,1.713,151292.15
1775134800000,1.712,1.724,1.698,1.722,201219.07
1775138400000,1.722,1.783,1.72,1.764,431193.6
1775142000000,1.765,1.79,1.747,1.775,248265.14
1775145600000,1.775,1.797,1.757,1.793,228004.43
1775149200000,1.793,1.825,1.781,1.783,541261.23
1775152800000,1.784,1.816,1.774,1.812,230503.79
1775156400000,1.812,1.85,1.799,1.848,491014.49
1775160000000,1.848,1.893,1.836,1.848,933597.42
1775163600000,1.848,1.875,1.839,1.855,368780.08
1775167200000,1.855,1.882,1.853,1.866,267996.59
1775170800000,1.866,1.872,1.843,1.871,130838.55
1775174400000,1.872,1.883,1.843,1.853,237450.0
1775178000000,1.852,1.863,1.844,1.849,120978.57
1775181600000,1.85,1.874,1.842,1.868,125944.63
1775185200000,1.868,1.91,1.866,1.899,327430.58
1775188800000,1.9,1.923,1.886,1.902,417162.81
1775192400000,1.902,1.913,1.885,1.886,294059.09
1775196000000,1.887,1.929,1.885,1.923,204932.71
1775199600000,1.923,1.945,1.913,1.927,314834.04
1775203200000,1.928,1.938,1.883,1.884,459017.07
1775206800000,1.885,1.92,1.883,1.897,510525.82
1775210400000,1.897,1.912,1.892,1.907,143482.12
1775214000000,1.907,1.908,1.902,1.908,11079.96
