timestamp,open,high,low,close,volume
1774523280000,1.748,1.751,1.748,1.75,719.91
1774523340000,1.751,1.753,1.751,1.753,357.37
1774523400000,1.753,1.753,1.752,1.752,1789.59
1774523460000,1.751,1.751,1.745,1.75,19661.19
1774523520000,1.75,1.751,1.75,1.75,857.48
1774523580000,1.751,1.753,1.751,1.753,1776.37
1774523640000,1.752,1.76,1.752,1.759,26597.32
1774523700000,1.759,1.759,1.756,1.756,11077.46
1774523760000,1.757,1.757,1.753,1.753,1381.51
1774523820000,1.754,1.756,1.754,1.756,1149.64
1774523880000,1.755,1.757,1.755,1.756,344.46
1774523940000,1.755,1.755,1.755,1.755,304.14
1774524000000,1.755,1.755,1.753,1.753,280.7
1774524060000,1.752,1.752,1.751,1.752,3592.11
1774524120000,1.752,1.753,1.751,1.751,904.83
1774524180000,1.751,1.751,1.75,1.751,2266.66
1774524240000,1.751,1.751,1.749,1.749,721.02
1774524300000,1.749,1.75,1.749,1.75,12325.44
1774524360000,1.75,1.75,1.75,1.75,4068.36
1774524420000,1.75,1.75,1.747,1.748,2910.67
1774524480000,1.749,1.75,1.748,1.75,4353.6
1774524540000,1.751,1.752,1.75,1.752,599.57
1774524600000,1.752,1.756,1.752,1.755,1533.75
1774524660000,1.754,1.755,1.749,1.749,4237.0
1774524720000,1.75,1.751,1.748,1.749,3272.56
1774524780000,1.749,1.749,1.748,1.749,77.18
1774524840000,1.749,1.749,1.749,1.749,21.01
1774524900000,1.749,1.749,1.748,1.748,258.89
1774524960000,1.747,1.747,1.747,1.747,154.5
1774525020000,1.748,1.748,1.747,1.747,687.62
1774525080000,1.748,1.748,1.747,1.747,378.47
1774525140000,1.747,1.748,1.747,1.748,80.46
1774525200000,1.748,1.748,1.748,1.748,122.45
1774525260000,1.748,1.748,1.748,1.748,0.0
1774525320000,1.748,1.748,1.748,1.748,41.35
1774525380000,1.747,1.749,1.747,1.749,86.34
1774525440000,1.749,1.749,1.749,1.749,0.0
1774525500000,1.749,1.749,1.749,1.749,13.94
1774525560000,1.749,1.75,1.749,1.75,438.04
1774525620000,1.749,1.749,1.747,1.747,677.51
1774525680000,1.747,1.747,1.747,1.747,2837.78
1774525740000,1.747,1.747,1.745,1.745,1738.21
1774525800000,1.746,1.746,1.745,1.745,2329.32
1774525860000,1.745,1.748,1.745,1.747,8480.25
1774525920000,1.747,1.748,1.747,1.747,1237.68
1774525980000,1.747,1.747,1.747,1.747,136.28
1774526040000,1.747,1.748,1.747,1.748,1092.19
1774526100000,1.747,1.747,1.746,1.746,1974.63
1774526160000,1.746,1.746,1.746,1.746,95.98
1774526220000,1.745,1.746,1.745,1.746,541.27
1774526280000,1.746,1.746,1.745,1.746,140.0
1774526340000,1.746,1.746,1.746,1.746,112.01
1774526400000,1.745,1.746,1.743,1.744,1831.91
1774526460000,1.742,1.743,1.74,1.741,4984.06
1774526520000,1.741,1.742,1.74,1.74,4206.38
1774526580000,1.74,1.74,1.738,1.739,4712.7
1774526640000,1.739,1.741,1.739,1.739,657.79
1774526700000,1.74,1.741,1.738,1.738,2966.73
1774526760000,1.738,1.741,1.738,1.741,203.38
1774526820000,1.742,1.742,1.741,1.741,463.17
1774526880000,1.741,1.743,1.741,1.743,816.84
1774526940000,1.743,1.743,1.741,1.741,3270.75
1774527000000,1.742,1.743,1.742,1.743,1638.48
1774527060000,1.744,1.745,1.744,1.745,41.35
1774527120000,1.745,1.745,1.744,1.744,390.26
1774527180000,1.744,1.744,1.744,1.744,1212.87
1774527240000,1.743,1.744,1.743,1.744,903.37
1774527300000,1.744,1.745,1.744,1.745,354.07
1774527360000,1.746,1.746,1.746,1.746,3221.83
1774527420000,1.746,1.748,1.745,1.747,9330.31
1774527480000,1.746,1.746,1.744,1.745,3673.61
1774527540000,1.746,1.747,1.746,1.746,1434.36
1774527600000,1.747,1.749,1.746,1.749,1280.91
1774527660000,1.749,1.75,1.749,1.75,2211.27
1774527720000,1.75,1.751,1.75,1.751,84.26
1774527780000,1.75,1.751,1.75,1.751,1144.65
1774527840000,1.75,1.752,1.75,1.751,1249.46
1774527900000,1.752,1.756,1.752,1.755,45047.76
1774527960000,1.755,1.758,1.755,1.756,1326.85
1774528020000,1.755,1.755,1.755,1.755,110.66
1774528080000,1.756,1.757,1.756,1.757,34.0
1774528140000,1.757,1.759,1.757,1.757,284.47
1774528200000,1.758,1.758,1.757,1.757,1506.84
1774528260000,1.758,1.761,1.758,1.761,2115.63
1774528320000,1.762,1.762,1.76,1.76,990.33
1774528380000,1.76,1.762,1.76,1.761,2801.05
1774528440000,1.761,1.761,1.76,1.76,873.4
1774528500000,1.759,1.759,1.757,1.757,1112.98
1774528560000,1.757,1.759,1.757,1.759,178.55
1774528620000,1.76,1.761,1.76,1.761,241.8
1774528680000,1.76,1.76,1.758,1.76,3871.09
1774528740000,1.76,1.761,1.76,1.761,960.27
1774528800000,1.76,1.76,1.758,1.758,4985.2
1774528860000,1.76,1.76,1.757,1.757,324.78
1774528920000,1.758,1.758,1.757,1.757,1120.95
1774528980000,1.757,1.757,1.757,1.757,5.0
1774529040000,1.757,1.757,1.757,1.757,193.92
1774529100000,1.757,1.758,1.756,1.758,3310.32
1774529160000,1.758,1.761,1.758,1.759,13494.41
1774529220000,1.759,1.761,1.759,1.76,1032.38
1774529280000,1.761,1.761,1.76,1.761,512.06
1774529340000,1.761,1.763,1.761,1.763,932.1
1774529400000,1.763,1.763,1.762,1.763,594.53
1774529460000,1.763,1.763,1.762,1.762,78.96
1774529520000,1.762,1.763,1.762,1.763,852.94
1774529580000,1.763,1.765,1.763,1.765,2148.47
1774529640000,1.765,1.767,1.765,1.767,533.78
