timestamp,open,high,low,close,volume
1774523220000,87.95,87.98,87.85,87.85,2797.627
1774523280000,87.86,87.95,87.86,87.94,632.364
1774523340000,87.94,87.98,87.94,87.98,525.306
1774523400000,87.98,87.98,87.92,87.93,943.952
1774523460000,87.93,87.93,87.6,87.89,9608.501
1774523520000,87.89,87.91,87.84,87.85,1013.315
1774523580000,87.86,87.94,87.85,87.94,712.405
1774523640000,87.93,87.94,87.88,87.91,1713.815
1774523700000,87.91,87.94,87.87,87.92,1142.557
1774523760000,87.92,87.92,87.81,87.82,1218.652
1774523820000,87.82,87.84,87.81,87.82,344.653
1774523880000,87.81,87.87,87.81,87.84,914.37
1774523940000,87.84,87.9,87.83,87.87,2750.057
1774524000000,87.87,87.9,87.8,87.81,985.33
1774524060000,87.81,87.85,87.77,87.81,1753.818
1774524120000,87.8,87.81,87.65,87.69,6378.715
1774524180000,87.7,87.74,87.69,87.71,1912.148
1774524240000,87.71,87.72,87.53,87.54,8501.385
1774524300000,87.55,87.62,87.5,87.54,4348.719
1774524360000,87.54,87.6,87.51,87.51,3001.484
1774524420000,87.52,87.57,87.45,87.57,4683.86
1774524480000,87.57,87.62,87.57,87.62,1053.841
1774524540000,87.61,87.65,87.61,87.62,906.035
1774524600000,87.62,87.74,87.6,87.74,3140.643
1774524660000,87.74,87.74,87.61,87.67,2207.106
1774524720000,87.67,87.68,87.64,87.64,1232.67
1774524780000,87.65,87.67,87.64,87.65,485.584
1774524840000,87.65,87.71,87.64,87.67,773.38
1774524900000,87.67,87.7,87.66,87.67,676.525
1774524960000,87.66,87.68,87.62,87.62,779.698
1774525020000,87.63,87.7,87.63,87.69,2227.521
1774525080000,87.69,87.74,87.68,87.73,981.882
1774525140000,87.72,87.75,87.72,87.74,337.472
1774525200000,87.74,87.76,87.71,87.75,484.59
1774525260000,87.75,87.77,87.74,87.77,1137.7
1774525320000,87.76,87.76,87.71,87.72,857.705
1774525380000,87.72,87.73,87.67,87.67,1391.111
1774525440000,87.68,87.69,87.58,87.65,6487.097
1774525500000,87.66,87.67,87.58,87.63,6853.379
1774525560000,87.62,87.65,87.62,87.63,797.858
1774525620000,87.63,87.67,87.62,87.67,313.304
1774525680000,87.67,87.69,87.66,87.67,765.27
1774525740000,87.66,87.66,87.61,87.62,8048.463
1774525800000,87.61,87.64,87.6,87.61,901.43
1774525860000,87.61,87.67,87.61,87.64,1233.415
1774525920000,87.63,87.69,87.63,87.68,424.584
1774525980000,87.69,87.72,87.67,87.72,549.241
1774526040000,87.72,87.74,87.69,87.7,1019.467
1774526100000,87.69,87.69,87.65,87.66,976.754
1774526160000,87.66,87.68,87.65,87.66,514.37
1774526220000,87.66,87.67,87.62,87.63,1010.75
1774526280000,87.63,87.63,87.58,87.59,1663.658
1774526340000,87.58,87.59,87.55,87.58,680.978
1774526400000,87.58,87.58,87.48,87.49,5855.889
1774526460000,87.49,87.6,87.48,87.53,2251.647
1774526520000,87.53,87.61,87.52,87.57,4843.666
1774526580000,87.57,87.57,87.52,87.57,2912.518
1774526640000,87.57,87.58,87.53,87.54,1055.116
1774526700000,87.54,87.57,87.41,87.42,4865.515
1774526760000,87.41,87.51,87.41,87.5,4571.094
1774526820000,87.5,87.54,87.49,87.52,916.273
1774526880000,87.51,87.58,87.5,87.53,1598.698
1774526940000,87.53,87.55,87.53,87.55,1219.221
1774527000000,87.55,87.62,87.54,87.62,1487.07
1774527060000,87.61,87.65,87.61,87.63,859.963
1774527120000,87.63,87.64,87.6,87.6,972.766
1774527180000,87.6,87.61,87.57,87.61,1184.737
1774527240000,87.61,87.63,87.59,87.6,2271.365
1774527300000,87.61,87.61,87.53,87.6,3478.437
1774527360000,87.6,87.63,87.6,87.61,749.008
1774527420000,87.6,87.68,87.6,87.67,1159.721
1774527480000,87.67,87.67,87.61,87.62,810.113
1774527540000,87.61,87.65,87.59,87.64,1895.327
1774527600000,87.64,87.67,87.61,87.67,1004.997
1774527660000,87.67,87.68,87.66,87.68,797.279
1774527720000,87.67,87.74,87.67,87.74,2431.545
1774527780000,87.74,87.76,87.71,87.76,510.65
1774527840000,87.76,87.77,87.7,87.71,3256.97
1774527900000,87.71,87.73,87.67,87.71,1287.953
1774527960000,87.72,87.77,87.69,87.7,1658.185
1774528020000,87.7,87.71,87.69,87.71,754.198
1774528080000,87.71,87.74,87.7,87.72,905.365
1774528140000,87.72,87.73,87.71,87.73,922.666
1774528200000,87.73,87.75,87.71,87.74,667.391
1774528260000,87.73,87.78,87.69,87.77,1617.287
1774528320000,87.78,87.81,87.71,87.73,1001.536
1774528380000,87.74,87.74,87.67,87.68,1447.085
1774528440000,87.69,87.7,87.61,87.62,1536.974
1774528500000,87.62,87.63,87.54,87.54,1191.814
1774528560000,87.55,87.56,87.48,87.49,3246.099
1774528620000,87.49,87.57,87.48,87.57,2762.638
1774528680000,87.56,87.59,87.52,87.56,1468.744
1774528740000,87.57,87.59,87.54,87.57,2831.8
1774528800000,87.57,87.57,87.46,87.46,781.361
1774528860000,87.47,87.54,87.45,87.47,2066.029
1774528920000,87.47,87.53,87.46,87.52,378.804
1774528980000,87.52,87.58,87.52,87.57,1045.838
1774529040000,87.56,87.57,87.54,87.56,2860.134
1774529100000,87.55,87.61,87.55,87.61,1043.298
1774529160000,87.6,87.68,87.6,87.61,2456.711
1774529220000,87.62,87.64,87.58,87.6,1595.842
1774529280000,87.59,87.62,87.52,87.53,1206.288
1774529340000,87.53,87.55,87.5,87.54,3845.442
1774529400000,87.54,87.57,87.51,87.56,1115.777
1774529460000,87.56,87.58,87.53,87.53,1162.613
1774529520000,87.54,87.54,87.52,87.52,779.807
1774529580000,87.52,87.53,87.48,87.48,2149.647
1774529640000,87.48,87.59,87.48,87.58,2982.217
1774529700000,87.58,87.63,87.58,87.61,2033.362
1774529760000,87.61,87.62,87.57,87.57,2185.442
1774529820000,87.57,87.62,87.56,87.61,2694.225
1774529880000,87.61,87.62,87.58,87.59,1678.15
1774529940000,87.58,87.59,87.56,87.56,2348.992
1774530000000,87.56,87.62,87.53,87.59,3011.627
1774530060000,87.6,87.67,87.58,87.58,3039.928
1774530120000,87.59,87.63,87.57,87.61,2197.979
1774530180000,87.61,87.63,87.59,87.63,2399.483
1774530240000,87.62,87.66,87.62,87.64,2029.948
1774530300000,87.65,87.72,87.62,87.72,2791.887
1774530360000,87.71,87.73,87.69,87.71,2672.251
1774530420000,87.7,87.76,87.7,87.75,2025.412
1774530480000,87.76,87.8,87.75,87.79,3995.038
1774530540000,87.78,87.79,87.74,87.74,2523.232
1774530600000,87.74,87.74,87.67,87.67,2132.134
1774530660000,87.67,87.73,87.67,87.72,1363.529
1774530720000,87.72,87.76,87.72,87.73,530.778
1774530780000,87.73,87.82,87.73,87.81,1035.718
1774530840000,87.8,87.81,87.76,87.77,2181.6
1774530900000,87.77,87.83,87.75,87.83,974.481
1774530960000,87.84,87.85,87.81,87.85,3822.681
1774531020000,87.84,87.89,87.84,87.89,1468.608
1774531080000,87.89,87.91,87.88,87.9,3307.068
1774531140000,87.9,87.9,87.82,87.83,2853.787
1774531200000,87.82,87.83,87.81,87.82,608.415
1774531260000,87.81,87.84,87.8,87.83,826.064
1774531320000,87.83,87.83,87.81,87.82,271.749
1774531380000,87.83,87.86,87.8,87.81,306.07
1774531440000,87.81,87.82,87.78,87.79,3488.734
1774531500000,87.79,87.81,87.76,87.8,557.338
1774531560000,87.8,87.81,87.75,87.76,388.606
1774531620000,87.76,87.78,87.75,87.75,405.162
1774531680000,87.76,87.76,87.73,87.74,1408.995
1774531740000,87.75,87.81,87.74,87.81,274.826
1774531800000,87.81,87.81,87.7,87.75,4937.449
1774531860000,87.76,87.8,87.72,87.74,1120.184
1774531920000,87.75,87.83,87.68,87.78,2572.084
1774531980000,87.77,87.78,87.64,87.65,2112.521
1774532040000,87.66,87.67,87.48,87.5,8049.737
1774532100000,87.5,87.55,87.35,87.42,13390.351
1774532160000,87.42,87.52,87.33,87.52,6702.448
1774532220000,87.53,87.69,87.51,87.55,4003.579
1774532280000,87.55,87.59,87.47,87.5,2065.655
1774532340000,87.5,87.55,87.38,87.42,2445.727
1774532400000,87.41,87.46,87.4,87.41,1131.369
1774532460000,87.4,87.4,87.33,87.38,1953.829
1774532520000,87.39,87.52,87.39,87.48,2232.78
1774532580000,87.48,87.57,87.46,87.54,1752.076
1774532640000,87.53,87.87,87.5,87.84,3634.978
1774532700000,87.84,88.24,87.83,88.14,17105.76
1774532760000,88.13,88.16,87.88,87.91,12228.968
1774532820000,87.9,87.97,87.8,87.95,3275.286
1774532880000,87.94,88.03,87.93,88.01,2759.527
1774532940000,88.01,88.01,87.84,87.89,3930.103
1774533000000,87.9,88.04,87.9,88.03,4819.278
1774533060000,88.02,88.13,87.97,88.08,3245.523
1774533120000,88.08,88.22,88.07,88.19,7353.294
1774533180000,88.19,88.22,88.06,88.2,8007.325
1774533240000,88.2,88.2,88.08,88.14,3122.515
1774533300000,88.14,88.15,88.02,88.04,3181.065
1774533360000,88.04,88.04,87.94,87.95,6102.432
1774533420000,87.96,87.97,87.76,87.83,2681.543
1774533480000,87.83,87.86,87.76,87.8,4187.846
1774533540000,87.8,87.92,87.74,87.92,3996.001
1774533600000,87.93,88.01,87.85,88.0,2173.816
1774533660000,88.0,88.03,87.97,88.03,2303.955
1774533720000,88.02,88.02,87.96,88.02,1429.557
1774533780000,88.02,88.02,87.89,87.99,1646.314
1774533840000,87.99,88.06,87.97,88.04,2142.879
1774533900000,88.04,88.04,87.95,88.04,1688.929
1774533960000,88.04,88.11,88.01,88.11,1353.33
1774534020000,88.12,88.19,88.01,88.01,2402.545
1774534080000,88.01,88.01,87.87,87.88,3905.182
1774534140000,87.88,87.9,87.8,87.84,1305.833
1774534200000,87.85,87.89,87.81,87.83,1394.307
1774534260000,87.83,87.83,87.63,87.64,2173.922
1774534320000,87.64,87.8,87.64,87.78,1606.247
1774534380000,87.77,87.77,87.65,87.74,2985.719
1774534440000,87.73,87.84,87.73,87.84,997.338
1774534500000,87.84,87.9,87.76,87.87,2565.534
1774534560000,87.86,87.89,87.83,87.86,1143.208
1774534620000,87.86,87.86,87.79,87.82,1395.839
1774534680000,87.81,87.84,87.75,87.76,1949.213
1774534740000,87.75,87.76,87.53,87.54,5445.228
1774534800000,87.54,87.54,87.45,87.51,6697.398
1774534860000,87.51,87.58,87.49,87.51,1101.007
1774534920000,87.51,87.62,87.51,87.61,629.748
1774534980000,87.6,87.63,87.52,87.61,1197.162
1774535040000,87.61,87.61,87.54,87.58,2008.397
1774535100000,87.58,87.59,87.48,87.59,2197.717
1774535160000,87.59,87.71,87.57,87.7,3531.587
1774535220000,87.69,87.81,87.69,87.74,988.711
1774535280000,87.74,87.75,87.68,87.69,1302.502
1774535340000,87.68,87.69,87.6,87.61,1205.728
1774535400000,87.6,87.75,87.6,87.75,1090.891
1774535460000,87.75,87.81,87.74,87.76,1850.006
1774535520000,87.76,87.78,87.72,87.73,490.885
1774535580000,87.74,87.78,87.69,87.75,943.399
1774535640000,87.75,87.92,87.74,87.9,1872.252
1774535700000,87.89,87.9,87.76,87.81,1089.186
1774535760000,87.81,87.84,87.71,87.76,743.253
1774535820000,87.75,87.75,87.69,87.71,816.021
1774535880000,87.72,87.74,87.68,87.72,1057.378
1774535940000,87.72,87.81,87.72,87.78,1462.047
1774536000000,87.79,88.01,87.77,87.77,2949.345
1774536060000,87.77,87.87,87.7,87.8,3567.652
1774536120000,87.81,87.81,87.68,87.71,2478.913
1774536180000,87.71,87.73,87.62,87.68,1140.336
1774536240000,87.68,87.7,87.62,87.66,940.379
1774536300000,87.65,87.68,87.63,87.65,603.629
1774536360000,87.65,87.66,87.53,87.53,906.421
1774536420000,87.54,87.7,87.52,87.62,2413.461
1774536480000,87.61,87.69,87.58,87.59,1121.341
1774536540000,87.58,87.59,87.52,87.58,891.526
1774536600000,87.58,87.63,87.55,87.61,3746.585
1774536660000,87.61,87.64,87.57,87.61,692.367
1774536720000,87.61,87.63,87.48,87.5,1416.46
1774536780000,87.51,87.55,87.34,87.36,3311.554
1774536840000,87.36,87.38,87.17,87.33,4542.958
1774536900000,87.32,87.5,87.24,87.47,2944.474
1774536960000,87.46,87.6,87.42,87.53,3013.111
1774537020000,87.54,87.54,87.45,87.51,3433.465
1774537080000,87.52,87.65,87.51,87.64,2689.801
1774537140000,87.64,87.64,87.5,87.54,1090.591
1774537200000,87.54,87.58,87.49,87.49,458.964
1774537260000,87.49,87.49,87.41,87.45,1104.464
1774537320000,87.46,87.49,87.42,87.46,737.471
1774537380000,87.46,87.5,87.39,87.49,673.45
1774537440000,87.49,87.49,87.37,87.37,671.506
1774537500000,87.37,87.48,87.35,87.46,1852.917
1774537560000,87.46,87.47,87.38,87.43,1176.28
1774537620000,87.43,87.43,87.24,87.28,7273.905
1774537680000,87.28,87.28,87.19,87.22,2268.173
1774537740000,87.22,87.24,86.93,87.15,22022.196
1774537800000,87.15,87.19,87.13,87.15,2552.569
1774537860000,87.15,87.2,87.08,87.13,2027.314
1774537920000,87.12,87.13,87.01,87.03,2225.242
1774537980000,87.03,87.11,87.01,87.04,1661.029
1774538040000,87.04,87.1,86.93,86.97,10167.114
1774538100000,86.97,87.12,86.73,87.12,25022.914
1774538160000,87.13,87.22,87.08,87.11,7809.097
1774538220000,87.11,87.16,87.07,87.08,5773.391
1774538280000,87.09,87.13,87.06,87.11,4906.313
1774538340000,87.11,87.21,87.11,87.17,1982.856
1774538400000,87.17,87.29,87.14,87.29,3584.139
1774538460000,87.28,87.3,87.24,87.26,1147.509
1774538520000,87.26,87.34,87.25,87.27,1983.403
1774538580000,87.26,87.4,87.26,87.4,4523.56
1774538640000,87.4,87.43,87.38,87.43,3695.33
1774538700000,87.43,87.46,87.4,87.42,1367.425
1774538760000,87.42,87.47,87.41,87.44,2114.211
1774538820000,87.43,87.5,87.43,87.5,1650.281
1774538880000,87.5,87.54,87.5,87.52,1994.138
1774538940000,87.53,87.54,87.46,87.47,3151.671
1774539000000,87.46,87.46,87.39,87.44,1437.392
1774539060000,87.44,87.48,87.38,87.38,1583.558
1774539120000,87.38,87.42,87.37,87.42,1263.451
1774539180000,87.42,87.43,87.31,87.36,4205.35
1774539240000,87.36,87.38,87.31,87.36,2344.554
1774539300000,87.36,87.4,87.32,87.38,2065.424
1774539360000,87.39,87.39,87.34,87.35,820.67
1774539420000,87.34,87.37,87.29,87.32,1453.42
1774539480000,87.33,87.37,87.3,87.35,2088.537
1774539540000,87.35,87.39,87.32,87.39,1001.94
1774539600000,87.39,87.5,87.37,87.45,1871.393
1774539660000,87.46,87.46,87.37,87.39,957.984
1774539720000,87.39,87.41,87.37,87.41,477.977
1774539780000,87.4,87.46,87.39,87.39,1821.331
1774539840000,87.39,87.44,87.39,87.42,2244.744
1774539900000,87.43,87.52,87.43,87.46,1973.989
1774539960000,87.45,87.63,87.41,87.58,2484.823
1774540020000,87.59,87.65,87.48,87.56,1679.472
1774540080000,87.56,87.63,87.56,87.62,2023.864
1774540140000,87.63,87.65,87.59,87.63,645.495
1774540200000,87.63,87.65,87.6,87.62,588.816
1774540260000,87.62,87.64,87.61,87.64,447.92
1774540320000,87.64,87.81,87.64,87.8,4349.473
1774540380000,87.8,87.8,87.7,87.74,2977.739
1774540440000,87.74,87.75,87.66,87.67,1351.909
1774540500000,87.67,87.68,87.6,87.63,2296.645
1774540560000,87.64,87.64,87.59,87.61,586.448
1774540620000,87.61,87.62,87.55,87.56,536.468
1774540680000,87.56,87.61,87.49,87.5,2441.915
1774540740000,87.51,87.55,87.51,87.54,520.963
1774540800000,87.53,87.54,87.48,87.51,941.331
1774540860000,87.51,87.59,87.5,87.55,1470.114
1774540920000,87.55,87.61,87.52,87.56,1029.214
1774540980000,87.55,87.56,87.49,87.52,2571.654
1774541040000,87.51,87.61,87.51,87.57,818.678
1774541100000,87.58,87.58,87.51,87.53,424.755
1774541160000,87.53,87.58,87.52,87.56,1314.32
1774541220000,87.57,87.6,87.55,87.57,3447.959
1774541280000,87.57,87.61,87.55,87.56,449.948
1774541340000,87.56,87.58,87.53,87.54,901.969
1774541400000,87.54,87.55,87.43,87.47,3363.968
1774541460000,87.47,87.48,87.4,87.4,672.5
1774541520000,87.41,87.52,87.4,87.51,1063.562
1774541580000,87.52,87.52,87.45,87.46,683.175
1774541640000,87.45,87.53,87.43,87.5,1194.227
1774541700000,87.5,87.5,87.44,87.44,598.904
1774541760000,87.45,87.45,87.31,87.33,2091.255
1774541820000,87.33,87.48,87.33,87.48,7097.425
1774541880000,87.48,87.67,87.47,87.61,2424.757
1774541940000,87.62,87.68,87.62,87.66,2424.704
1774542000000,87.66,87.66,87.63,87.66,544.831
1774542060000,87.66,87.71,87.64,87.66,717.556
1774542120000,87.66,87.66,87.54,87.56,1909.228
1774542180000,87.55,87.71,87.55,87.7,580.66
1774542240000,87.71,87.73,87.69,87.73,2065.751
1774542300000,87.73,87.73,87.65,87.66,2211.268
1774542360000,87.66,87.66,87.56,87.58,1263.972
1774542420000,87.58,87.59,87.48,87.58,2045.211
1774542480000,87.58,87.58,87.45,87.47,692.61
1774542540000,87.46,87.49,87.45,87.46,784.797
1774542600000,87.45,87.5,87.44,87.46,1114.48
1774542660000,87.46,87.47,87.4,87.42,682.28
1774542720000,87.43,87.44,87.34,87.44,1710.567
1774542780000,87.44,87.48,87.42,87.45,863.183
1774542840000,87.46,87.52,87.43,87.51,673.071
1774542900000,87.51,87.55,87.48,87.51,498.429
1774542960000,87.51,87.51,87.43,87.48,1077.689
1774543020000,87.48,87.48,87.42,87.44,200.565
1774543080000,87.43,87.43,87.38,87.39,1041.918
1774543140000,87.39,87.39,87.17,87.27,11184.498
1774543200000,87.27,87.29,87.18,87.19,2548.193
1774543260000,87.2,87.27,87.18,87.24,1637.442
1774543320000,87.24,87.24,87.2,87.21,392.236
1774543380000,87.2,87.23,87.2,87.21,1063.164
1774543440000,87.2,87.3,87.2,87.29,683.734
1774543500000,87.3,87.32,87.24,87.27,569.35
1774543560000,87.26,87.27,87.14,87.16,483.866
1774543620000,87.15,87.26,87.15,87.26,695.901
1774543680000,87.25,87.28,87.21,87.22,1051.536
1774543740000,87.22,87.23,87.19,87.22,559.604
1774543800000,87.22,87.22,87.15,87.15,292.015
1774543860000,87.15,87.23,87.15,87.17,729.373
1774543920000,87.17,87.18,87.15,87.15,409.989
1774543980000,87.15,87.24,87.15,87.2,1444.375
1774544040000,87.2,87.23,87.19,87.23,530.885
1774544100000,87.23,87.25,87.21,87.23,448.04
1774544160000,87.22,87.25,87.21,87.25,632.134
1774544220000,87.24,87.25,87.22,87.22,593.322
1774544280000,87.22,87.22,87.18,87.2,1440.896
1774544340000,87.19,87.2,87.18,87.2,962.664
1774544400000,87.2,87.21,87.13,87.21,1879.057
1774544460000,87.21,87.29,87.21,87.28,1347.978
1774544520000,87.28,87.28,87.23,87.27,1581.094
1774544580000,87.28,87.37,87.28,87.35,1467.357
1774544640000,87.34,87.4,87.34,87.37,2345.121
1774544700000,87.36,87.42,87.36,87.38,703.428
1774544760000,87.39,87.39,87.27,87.28,1473.478
1774544820000,87.27,87.3,87.23,87.24,1785.382
1774544880000,87.25,87.3,87.22,87.23,3349.64
1774544940000,87.23,87.24,87.21,87.22,2459.378
1774545000000,87.22,87.22,87.07,87.1,1524.382
1774545060000,87.1,87.11,87.07,87.09,948.037
1774545120000,87.1,87.16,87.09,87.11,861.078
1774545180000,87.11,87.13,87.1,87.1,819.173
1774545240000,87.11,87.15,87.08,87.08,510.84
1774545300000,87.08,87.15,87.08,87.15,728.545
1774545360000,87.15,87.2,87.14,87.2,819.941
1774545420000,87.2,87.22,87.18,87.21,345.294
1774545480000,87.21,87.23,87.17,87.19,1143.003
1774545540000,87.19,87.24,87.18,87.23,1458.01
1774545600000,87.23,87.23,87.15,87.16,1066.043
1774545660000,87.16,87.18,87.15,87.17,416.792
1774545720000,87.17,87.23,87.17,87.21,1329.932
1774545780000,87.2,87.26,87.19,87.21,1486.012
1774545840000,87.22,87.24,87.2,87.21,1893.354
1774545900000,87.21,87.21,87.17,87.2,1183.314
1774545960000,87.19,87.23,87.18,87.23,1273.395
1774546020000,87.22,87.23,87.2,87.21,724.749
1774546080000,87.21,87.27,87.21,87.27,698.204
1774546140000,87.27,87.34,87.27,87.34,823.761
1774546200000,87.34,87.43,87.34,87.4,2262.665
1774546260000,87.4,87.4,87.34,87.35,753.856
1774546320000,87.34,87.41,87.33,87.39,756.44
1774546380000,87.4,87.45,87.37,87.44,617.213
1774546440000,87.44,87.47,87.44,87.47,208.55
1774546500000,87.46,87.49,87.38,87.4,1999.209
1774546560000,87.4,87.42,87.33,87.34,338.229
1774546620000,87.34,87.34,87.3,87.32,516.935
1774546680000,87.31,87.35,87.29,87.3,398.518
1774546740000,87.3,87.3,87.25,87.26,388.312
1774546800000,87.26,87.26,87.19,87.2,1211.443
1774546860000,87.2,87.22,87.19,87.21,1356.921
1774546920000,87.2,87.24,87.18,87.19,446.773
1774546980000,87.18,87.21,87.18,87.19,305.174
1774547040000,87.19,87.21,87.18,87.19,709.755
1774547100000,87.19,87.21,87.18,87.19,584.416
1774547160000,87.18,87.19,87.16,87.16,429.772
1774547220000,87.15,87.15,86.96,87.0,29508.687
1774547280000,87.0,87.07,86.96,87.0,45310.906
1774547340000,87.01,87.02,86.89,86.93,6246.753
1774547400000,86.94,86.94,86.85,86.86,2718.924
1774547460000,86.87,86.89,86.78,86.81,2106.294
1774547520000,86.81,86.96,86.81,86.96,3496.498
1774547580000,86.95,86.96,86.92,86.95,710.107
1774547640000,86.95,86.99,86.93,86.94,2228.834
1774547700000,86.95,86.95,86.87,86.87,1715.107
1774547760000,86.87,86.9,86.8,86.8,1332.621
1774547820000,86.8,86.8,86.51,86.71,12333.504
1774547880000,86.7,86.72,86.64,86.65,1596.96
1774547940000,86.65,86.65,86.56,86.63,2638.321
1774548000000,86.62,86.82,86.61,86.82,3239.904
1774548060000,86.82,86.82,86.73,86.73,1644.628
1774548120000,86.74,86.77,86.7,86.71,1096.245
1774548180000,86.72,86.76,86.56,86.56,3949.116
1774548240000,86.55,86.64,86.53,86.54,3982.987
1774548300000,86.55,86.6,86.42,86.59,7015.548
1774548360000,86.59,86.63,86.55,86.62,620.521
1774548420000,86.62,86.62,86.57,86.59,1436.716
1774548480000,86.59,86.62,86.58,86.59,1220.321
1774548540000,86.59,86.65,86.57,86.6,1536.216
1774548600000,86.61,86.63,86.44,86.44,3468.007
1774548660000,86.43,86.45,86.39,86.41,1355.606
1774548720000,86.42,86.52,86.42,86.52,1889.183
1774548780000,86.52,86.55,86.49,86.54,7507.394
1774548840000,86.54,86.55,86.53,86.55,245.994
1774548900000,86.54,86.54,86.44,86.46,808.459
1774548960000,86.45,86.48,86.41,86.48,4701.927
1774549020000,86.49,86.5,86.4,86.4,1638.836
1774549080000,86.4,86.43,86.02,86.08,25846.51
1774549140000,86.08,86.15,86.01,86.04,3310.272
1774549200000,86.05,86.06,85.89,85.94,23369.033
1774549260000,85.95,86.14,85.95,86.12,4353.526
1774549320000,86.13,86.14,86.07,86.11,1502.034
1774549380000,86.11,86.13,86.02,86.04,2506.238
1774549440000,86.04,86.06,86.0,86.04,625.582
1774549500000,86.04,86.05,85.94,85.94,3113.876
1774549560000,85.95,85.96,85.81,85.89,5775.366
1774549620000,85.89,85.9,85.84,85.87,2272.607
1774549680000,85.87,85.89,85.86,85.88,983.106
1774549740000,85.88,85.92,85.87,85.88,2543.897
1774549800000,85.88,85.96,85.83,85.84,8102.003
1774549860000,85.83,85.9,85.73,85.82,5995.889
1774549920000,85.82,85.83,85.78,85.81,3380.494
1774549980000,85.8,85.82,85.76,85.8,2743.599
1774550040000,85.8,85.81,85.76,85.81,2141.58
1774550100000,85.81,85.86,85.78,85.85,2056.782
1774550160000,85.84,85.94,85.84,85.89,1422.707
1774550220000,85.89,85.95,85.88,85.94,2451.563
1774550280000,85.94,85.99,85.93,85.97,2976.905
1774550340000,85.97,86.03,85.97,86.01,3501.433
1774550400000,86.01,86.05,85.95,85.96,3756.802
1774550460000,85.96,85.99,85.95,85.96,793.198
1774550520000,85.96,85.97,85.93,85.96,645.249
1774550580000,85.96,85.99,85.96,85.97,621.44
1774550640000,85.97,86.01,85.96,85.97,786.527
1774550700000,85.97,85.98,85.9,85.97,1080.999
1774550760000,85.97,86.04,85.95,85.97,3057.037
1774550820000,85.97,86.05,85.96,86.05,1231.102
1774550880000,86.05,86.1,86.0,86.01,1545.073
1774550940000,86.0,86.06,85.99,86.06,619.878
1774551000000,86.06,86.06,85.97,85.99,4647.16
1774551060000,86.0,86.04,85.98,85.99,2289.864
1774551120000,85.99,86.06,85.97,86.06,1610.563
1774551180000,86.05,86.13,86.05,86.11,5334.679
1774551240000,86.11,86.14,86.1,86.14,4517.26
1774551300000,86.13,86.13,86.05,86.1,2279.93
1774551360000,86.09,86.1,86.03,86.06,1273.745
1774551420000,86.07,86.09,86.04,86.05,760.71
1774551480000,86.06,86.08,86.03,86.04,444.153
1774551540000,86.04,86.06,86.02,86.06,1047.962
1774551600000,86.06,86.07,85.98,86.0,2678.914
1774551660000,86.01,86.04,86.0,86.02,827.668
1774551720000,86.02,86.02,85.97,85.99,858.294
1774551780000,85.98,85.99,85.92,85.96,2786.201
1774551840000,85.96,86.05,85.96,86.04,2717.001
1774551900000,86.04,86.04,86.0,86.01,607.632
1774551960000,86.01,86.01,85.96,85.98,571.283
1774552020000,85.98,86.01,85.95,85.96,633.36
1774552080000,85.96,85.96,85.85,85.91,3085.366
1774552140000,85.91,86.06,85.91,86.04,2157.467
1774552200000,86.05,86.06,86.02,86.03,3952.695
1774552260000,86.03,86.03,86.0,86.01,525.406
1774552320000,86.01,86.06,86.0,86.03,869.493
1774552380000,86.02,86.02,85.95,85.98,1481.979
1774552440000,85.98,86.02,85.97,85.98,621.623
1774552500000,85.98,86.07,85.96,86.02,845.55
1774552560000,86.02,86.05,85.98,85.99,1069.999
1774552620000,85.99,86.04,85.98,86.02,1106.733
1774552680000,86.02,86.05,86.0,86.04,1837.099
1774552740000,86.04,86.04,86.02,86.04,710.659
1774552800000,86.04,86.06,86.0,86.0,1257.752
1774552860000,86.01,86.03,86.0,86.03,888.234
1774552920000,86.03,86.07,86.0,86.06,1020.379
1774552980000,86.07,86.08,86.03,86.05,1808.749
1774553040000,86.05,86.05,85.92,85.93,5750.589
1774553100000,85.93,85.93,85.77,85.78,3431.203
1774553160000,85.78,85.81,85.73,85.75,4042.998
1774553220000,85.75,85.75,85.7,85.72,3134.516
1774553280000,85.72,85.72,85.59,85.61,8284.798
1774553340000,85.6,85.66,85.54,85.66,5358.809
1774553400000,85.66,85.71,85.57,85.57,3988.894
1774553460000,85.58,85.58,85.49,85.52,8107.573
1774553520000,85.53,85.6,85.52,85.6,2737.787
1774553580000,85.6,85.65,85.56,85.65,1723.773
1774553640000,85.65,85.67,85.65,85.66,1586.659
1774553700000,85.66,85.72,85.65,85.69,1067.55
