timestamp,open,high,low,close,volume
1774526400000,0.2331,0.2343,0.2328,0.2342,53226.6
1774530000000,0.2343,0.2355,0.2332,0.2346,185394.2
1774533600000,0.2347,0.2351,0.2331,0.2337,82234.7
1774537200000,0.2336,0.2337,0.2322,0.2328,183169.5
1774540800000,0.2326,0.2334,0.2325,0.2326,143163.0
1774544400000,0.2326,0.2337,0.2318,0.232,110794.9
1774548000000,0.2322,0.2324,0.2309,0.2323,257841.1
1774551600000,0.2324,0.2326,0.2314,0.2315,108556.1
1774555200000,0.2316,0.2352,0.2314,0.2337,245966.1
1774558800000,0.2335,0.2353,0.2333,0.2347,48438.3
1774562400000,0.2346,0.235,0.2336,0.2348,24195.6
1774566000000,0.2349,0.235,0.2336,0.2342,37835.5
1774569600000,0.2341,0.2352,0.234,0.2346,84636.1
1774573200000,0.2349,0.2359,0.2346,0.2358,65680.8
1774576800000,0.2358,0.2365,0.2354,0.2358,102026.9
1774580400000,0.2358,0.2358,0.235,0.235,102621.7
1774584000000,0.2351,0.2353,0.2335,0.2346,201330.5
1774587600000,0.2347,0.2357,0.2341,0.2343,32425.9
1774591200000,0.2344,0.2345,0.2332,0.234,133139.0
1774594800000,0.2339,0.2348,0.2336,0.2344,44288.3
1774598400000,0.2348,0.2351,0.2315,0.2329,165518.1
1774602000000,0.2329,0.2329,0.2303,0.2307,96306.7
1774605600000,0.2305,0.2317,0.2254,0.2258,374414.7
1774609200000,0.226,0.2261,0.2226,0.2255,462171.7
1774612800000,0.2254,0.2256,0.2245,0.2252,118337.8
1774616400000,0.2254,0.2258,0.2232,0.2239,135413.4
1774620000000,0.224,0.2252,0.2228,0.2241,110936.0
1774623600000,0.2243,0.2255,0.2233,0.2239,116556.3
1774627200000,0.224,0.2253,0.2236,0.2244,104237.5
1774630800000,0.2244,0.2259,0.2244,0.2249,167780.6
1774634400000,0.2248,0.2253,0.224,0.2246,80277.4
1774638000000,0.2245,0.225,0.2234,0.2248,57588.7
1774641600000,0.2246,0.225,0.2237,0.2247,47750.6
1774645200000,0.2246,0.2254,0.2241,0.2241,156020.3
1774648800000,0.2243,0.2244,0.2237,0.2244,9143.2
1774652400000,0.2242,0.2257,0.2235,0.2257,107883.8
1774656000000,0.2258,0.226,0.2245,0.2253,88342.4
1774659600000,0.225,0.2254,0.2218,0.2233,172244.5
1774663200000,0.2232,0.2239,0.2215,0.2219,110446.9
1774666800000,0.222,0.2224,0.2215,0.2223,90599.4
1774670400000,0.2221,0.2227,0.2219,0.2226,31777.2
1774674000000,0.2225,0.2233,0.2218,0.2225,120379.4
1774677600000,0.2225,0.2232,0.2223,0.2228,50905.6
1774681200000,0.223,0.2243,0.2229,0.2243,84992.6
1774684800000,0.2243,0.2249,0.224,0.2241,50206.5
1774688400000,0.2241,0.2248,0.2232,0.2233,117446.1
1774692000000,0.2236,0.2245,0.2229,0.2234,75797.6
1774695600000,0.2235,0.224,0.2232,0.2236,24084.2
1774699200000,0.2236,0.2243,0.2231,0.2238,89158.3
1774702800000,0.2237,0.2273,0.2236,0.2255,199080.1
1774706400000,0.2257,0.2257,0.2236,0.2243,334302.0
1774710000000,0.2245,0.2262,0.2242,0.2246,255819.3
1774713600000,0.2246,0.2255,0.2244,0.2255,152006.2
1774717200000,0.2256,0.2258,0.2245,0.2251,116493.0
1774720800000,0.225,0.226,0.2248,0.2257,68213.9
1774724400000,0.2255,0.2256,0.2249,0.2252,32952.3
1774728000000,0.2254,0.2257,0.2243,0.2243,156874.4
1774731600000,0.2242,0.2243,0.2222,0.2226,207522.2
1774735200000,0.2223,0.2232,0.2223,0.223,66474.3
1774738800000,0.2229,0.2232,0.2197,0.2205,449329.6
1774742400000,0.2205,0.2209,0.2184,0.2194,158412.3
1774746000000,0.2195,0.2209,0.2195,0.2204,179726.6
1774749600000,0.2204,0.2208,0.22,0.2202,19927.7
1774753200000,0.2202,0.2214,0.22,0.2208,88067.3
1774756800000,0.2209,0.221,0.2197,0.2202,67824.1
1774760400000,0.2202,0.2212,0.2186,0.2206,609020.4
1774764000000,0.2203,0.2204,0.2195,0.2202,118540.2
1774767600000,0.2202,0.2202,0.2187,0.2188,92078.2
1774771200000,0.2189,0.2192,0.218,0.2188,114142.3
1774774800000,0.2188,0.2189,0.218,0.2184,159229.8
1774778400000,0.218,0.2181,0.2163,0.2172,332947.5
1774782000000,0.2171,0.2191,0.2171,0.2183,73004.9
1774785600000,0.218,0.219,0.2173,0.2181,35862.1
1774789200000,0.2181,0.2182,0.2166,0.2171,53318.2
1774792800000,0.2172,0.2177,0.2161,0.2165,133993.3
1774796400000,0.2165,0.2173,0.216,0.2169,98724.5
1774800000000,0.217,0.2173,0.2159,0.2159,55020.1
1774803600000,0.2161,0.2163,0.2147,0.216,83930.3
1774807200000,0.216,0.2169,0.216,0.2165,17859.5
1774810800000,0.2165,0.2165,0.2156,0.2157,25407.2
1774814400000,0.2158,0.2174,0.2158,0.2165,67824.6
1774818000000,0.2165,0.2168,0.2162,0.2168,18504.1
1774821600000,0.217,0.217,0.211,0.2146,394018.3
1774825200000,0.2148,0.2162,0.2136,0.2142,187199.6
1774828800000,0.2146,0.2185,0.2146,0.2165,287247.9
1774832400000,0.2173,0.2188,0.217,0.2186,30364.6
1774836000000,0.2189,0.2223,0.2189,0.2215,271549.8
1774839600000,0.2215,0.2217,0.2208,0.2213,65525.9
1774843200000,0.2216,0.2225,0.2216,0.2221,112395.3
1774846800000,0.2221,0.2227,0.2215,0.2224,107846.6
1774850400000,0.2226,0.2227,0.2215,0.2218,53290.0
1774854000000,0.2218,0.2234,0.2215,0.2228,221072.1
1774857600000,0.223,0.2246,0.2229,0.2237,133640.3
1774861200000,0.2237,0.2238,0.2209,0.2213,102091.0
1774864800000,0.2212,0.2232,0.2211,0.223,124163.1
1774868400000,0.2231,0.2256,0.2229,0.2231,194876.9
1774872000000,0.2233,0.2241,0.223,0.2236,88077.4
1774875600000,0.2234,0.2243,0.2224,0.2227,97929.3
1774879200000,0.2227,0.2232,0.2211,0.2225,100802.4
1774882800000,0.2226,0.2255,0.2215,0.2238,261113.3
1774886400000,0.224,0.2252,0.2214,0.2223,176065.4
1774890000000,0.2222,0.223,0.2201,0.2212,389527.6
1774893600000,0.2212,0.2212,0.2183,0.2186,57652.2
1774897200000,0.2184,0.2188,0.2177,0.2186,57569.6
1774900800000,0.2186,0.2194,0.2186,0.2192,49079.7
1774904400000,0.2191,0.2211,0.2189,0.2203,49651.1
1774908000000,0.2202,0.2208,0.2196,0.2199,35530.0
1774911600000,0.2198,0.2198,0.2184,0.2192,49576.1
1774915200000,0.2194,0.2207,0.2187,0.2203,69717.6
1774918800000,0.2204,0.224,0.2199,0.2221,188557.3
1774922400000,0.222,0.2229,0.2216,0.222,32735.7
1774926000000,0.2217,0.2219,0.2201,0.2202,83744.0
1774929600000,0.2202,0.2205,0.2193,0.2193,55719.1
1774933200000,0.2193,0.2208,0.2189,0.2201,161552.8
1774936800000,0.2201,0.2207,0.2192,0.2205,65988.9
1774940400000,0.2205,0.2208,0.219,0.2205,81365.0
1774944000000,0.2203,0.2212,0.2183,0.2184,199073.2
1774947600000,0.2183,0.2187,0.2158,0.2162,215366.0
1774951200000,0.2168,0.2176,0.2165,0.2166,41032.4
1774954800000,0.2165,0.2183,0.2163,0.218,111821.5
1774958400000,0.218,0.2184,0.2172,0.2179,56106.8
1774962000000,0.2179,0.2211,0.2178,0.2204,81934.0
