timestamp,open,high,low,close,volume
1774526400000,1.29,1.293,1.287,1.293,171130.72
1774530000000,1.292,1.295,1.285,1.289,140153.15
1774533600000,1.29,1.292,1.286,1.29,174536.11
1774537200000,1.291,1.291,1.282,1.285,162705.17
1774540800000,1.285,1.288,1.283,1.286,106379.12
1774544400000,1.285,1.287,1.279,1.281,111164.58
1774548000000,1.281,1.282,1.277,1.278,94728.92
1774551600000,1.278,1.279,1.272,1.272,147210.99
1774555200000,1.272,1.286,1.271,1.273,318951.65
1774558800000,1.273,1.281,1.271,1.272,131163.36
1774562400000,1.272,1.278,1.268,1.271,220773.98
1774566000000,1.271,1.271,1.261,1.262,183927.76
1774569600000,1.261,1.262,1.247,1.252,326155.45
1774573200000,1.252,1.254,1.245,1.247,360932.27
1774576800000,1.248,1.251,1.246,1.248,435691.2
1774580400000,1.248,1.25,1.243,1.247,207338.97
1774584000000,1.247,1.248,1.244,1.246,113555.12
1774587600000,1.246,1.247,1.241,1.247,361196.43
1774591200000,1.247,1.248,1.234,1.247,292624.24
1774594800000,1.246,1.255,1.241,1.254,431660.51
1774598400000,1.254,1.259,1.251,1.258,207667.55
1774602000000,1.258,1.258,1.245,1.256,151696.58
1774605600000,1.256,1.256,1.23,1.232,409529.26
1774609200000,1.233,1.236,1.225,1.228,524223.6
1774612800000,1.229,1.229,1.223,1.227,351924.19
1774616400000,1.228,1.23,1.22,1.226,357117.56
1774620000000,1.226,1.235,1.219,1.228,698953.87
1774623600000,1.228,1.23,1.216,1.217,490743.19
1774627200000,1.217,1.221,1.21,1.219,263534.74
1774630800000,1.22,1.222,1.211,1.215,319592.55
1774634400000,1.215,1.218,1.211,1.216,224656.51
1774638000000,1.215,1.219,1.213,1.214,144664.35
1774641600000,1.214,1.223,1.213,1.22,185634.14
1774645200000,1.22,1.222,1.216,1.221,94321.01
1774648800000,1.221,1.221,1.215,1.218,123617.22
1774652400000,1.218,1.219,1.215,1.218,104970.1
1774656000000,1.218,1.225,1.213,1.214,244280.44
1774659600000,1.213,1.214,1.204,1.214,270171.87
1774663200000,1.214,1.218,1.211,1.217,172535.64
1774666800000,1.218,1.223,1.215,1.22,95660.18
1774670400000,1.221,1.227,1.219,1.224,208549.84
1774674000000,1.224,1.234,1.221,1.233,106898.91
1774677600000,1.234,1.244,1.233,1.241,111623.17
1774681200000,1.242,1.245,1.222,1.229,354492.33
1774684800000,1.229,1.242,1.228,1.24,197518.54
1774688400000,1.24,1.24,1.235,1.239,106706.19
1774692000000,1.24,1.242,1.236,1.24,73753.82
1774695600000,1.24,1.242,1.234,1.241,95911.59
1774699200000,1.24,1.248,1.238,1.243,125402.6
1774702800000,1.243,1.259,1.242,1.254,273882.66
1774706400000,1.254,1.255,1.243,1.244,135539.77
1774710000000,1.244,1.253,1.244,1.251,135611.07
1774713600000,1.25,1.261,1.25,1.255,353146.52
1774717200000,1.256,1.256,1.25,1.253,121280.66
1774720800000,1.252,1.257,1.251,1.255,40934.3
1774724400000,1.255,1.256,1.247,1.248,108945.38
1774728000000,1.249,1.254,1.249,1.251,80480.03
1774731600000,1.252,1.252,1.237,1.241,331203.45
1774735200000,1.241,1.246,1.239,1.244,67636.15
1774738800000,1.245,1.245,1.236,1.238,82717.56
1774742400000,1.238,1.24,1.231,1.233,113306.07
1774746000000,1.234,1.239,1.232,1.237,63464.55
1774749600000,1.237,1.241,1.235,1.236,90480.55
1774753200000,1.237,1.242,1.236,1.238,51377.35
1774756800000,1.238,1.241,1.236,1.239,77814.83
1774760400000,1.238,1.24,1.236,1.239,45289.12
1774764000000,1.239,1.242,1.238,1.241,38072.91
1774767600000,1.241,1.244,1.236,1.237,179243.26
1774771200000,1.236,1.245,1.235,1.244,217595.69
1774774800000,1.244,1.256,1.242,1.248,297106.95
1774778400000,1.249,1.249,1.239,1.243,89388.47
1774782000000,1.243,1.246,1.24,1.241,118107.41
1774785600000,1.242,1.242,1.238,1.24,83025.2
1774789200000,1.239,1.242,1.234,1.235,137258.79
1774792800000,1.236,1.237,1.232,1.235,145192.63
1774796400000,1.235,1.237,1.226,1.228,184084.15
1774800000000,1.228,1.228,1.215,1.226,413442.73
1774803600000,1.226,1.228,1.219,1.226,215590.07
1774807200000,1.226,1.226,1.221,1.221,47873.66
1774810800000,1.222,1.225,1.22,1.225,51997.22
1774814400000,1.225,1.228,1.224,1.227,80920.91
1774818000000,1.227,1.23,1.226,1.229,40492.82
1774821600000,1.229,1.231,1.209,1.222,264768.85
1774825200000,1.222,1.227,1.217,1.219,142101.51
1774828800000,1.219,1.234,1.216,1.224,205896.77
1774832400000,1.224,1.236,1.219,1.232,208353.97
1774836000000,1.233,1.24,1.23,1.234,129943.65
1774839600000,1.234,1.242,1.23,1.239,119647.95
1774843200000,1.239,1.248,1.234,1.242,607557.14
1774846800000,1.242,1.245,1.239,1.239,81058.58
1774850400000,1.239,1.244,1.239,1.241,72954.08
1774854000000,1.241,1.246,1.24,1.241,105871.24
1774857600000,1.242,1.247,1.235,1.236,267544.47
1774861200000,1.237,1.237,1.217,1.226,397941.41
1774864800000,1.225,1.226,1.22,1.222,138853.32
1774868400000,1.221,1.233,1.219,1.22,332080.79
1774872000000,1.22,1.228,1.22,1.227,218533.93
1774875600000,1.228,1.229,1.22,1.222,223147.62
1774879200000,1.221,1.228,1.215,1.226,288377.1
1774882800000,1.226,1.226,1.217,1.219,204075.9
1774886400000,1.219,1.222,1.216,1.219,241852.07
1774890000000,1.219,1.219,1.21,1.213,364221.92
1774893600000,1.213,1.213,1.199,1.206,300169.97
1774897200000,1.206,1.218,1.202,1.217,245432.47
1774900800000,1.217,1.223,1.214,1.219,233728.9
1774904400000,1.218,1.23,1.217,1.224,145710.97
1774908000000,1.224,1.228,1.223,1.225,198387.57
1774911600000,1.224,1.226,1.217,1.226,82799.45
1774915200000,1.226,1.234,1.225,1.234,222191.99
1774918800000,1.235,1.241,1.232,1.239,274714.58
1774922400000,1.238,1.239,1.232,1.232,145526.0
1774926000000,1.232,1.232,1.227,1.228,83448.62
1774929600000,1.229,1.234,1.228,1.23,113055.98
1774933200000,1.229,1.232,1.227,1.23,123955.94
1774936800000,1.23,1.233,1.227,1.231,89617.22
1774940400000,1.231,1.237,1.227,1.235,120016.04
1774944000000,1.235,1.237,1.223,1.227,103355.87
1774947600000,1.227,1.229,1.217,1.219,338208.62
1774951200000,1.219,1.224,1.216,1.217,161979.19
1774954800000,1.217,1.221,1.216,1.217,187424.82
1774958400000,1.218,1.222,1.213,1.216,106118.95
1774962000000,1.215,1.223,1.215,1.221,116275.82
1774965600000,1.221,1.226,1.216,1.219,178746.31
1774969200000,1.22,1.224,1.216,1.22,181793.51
1774972800000,1.219,1.23,1.218,1.227,238448.05
1774976400000,1.228,1.233,1.224,1.227,210758.82
1774980000000,1.227,1.229,1.223,1.225,153932.19
1774983600000,1.226,1.231,1.224,1.226,135410.18
1774987200000,1.226,1.229,1.222,1.227,186378.22
1774990800000,1.227,1.227,1.218,1.221,116923.7
1774994400000,1.222,1.222,1.216,1.217,104669.19
1774998000000,1.217,1.221,1.215,1.22,90054.95
1775001600000,1.22,1.228,1.219,1.225,158870.38
1775005200000,1.226,1.226,1.22,1.222,90081.62
1775008800000,1.221,1.222,1.215,1.217,125897.2
1775012400000,1.218,1.221,1.215,1.219,199857.32
1775016000000,1.219,1.225,1.218,1.221,624747.49
1775019600000,1.22,1.227,1.216,1.225,337585.06
1775023200000,1.225,1.231,1.224,1.227,133820.38
1775026800000,1.228,1.228,1.221,1.223,220892.57
1775030400000,1.223,1.232,1.219,1.221,507077.51
