timestamp,open,high,low,close,volume
1774526400000,3.135,3.152,3.123,3.13,64202.621
1774530000000,3.129,3.161,3.126,3.154,87949.302
1774533600000,3.155,3.162,3.139,3.144,95690.183
1774537200000,3.143,3.144,3.113,3.121,83756.392
1774540800000,3.121,3.128,3.098,3.101,94376.662
1774544400000,3.101,3.117,3.084,3.094,91019.531
1774548000000,3.095,3.096,3.077,3.087,55045.968
1774551600000,3.088,3.088,3.067,3.067,77199.596
1774555200000,3.067,3.129,3.067,3.108,162624.307
1774558800000,3.108,3.137,3.105,3.117,56939.594
1774562400000,3.118,3.138,3.116,3.135,51967.75
1774566000000,3.135,3.142,3.121,3.128,32914.426
1774569600000,3.128,3.142,3.118,3.127,30330.64
1774573200000,3.128,3.15,3.128,3.141,33438.31
1774576800000,3.142,3.15,3.13,3.131,56265.944
1774580400000,3.132,3.132,3.116,3.118,26859.667
1774584000000,3.119,3.122,3.099,3.12,31784.375
1774587600000,3.121,3.136,3.113,3.116,33946.096
1774591200000,3.116,3.116,3.103,3.111,22861.729
1774594800000,3.112,3.118,3.088,3.103,49143.405
1774598400000,3.103,3.109,3.06,3.086,264942.473
1774602000000,3.085,3.085,3.04,3.048,161027.604
1774605600000,3.047,3.058,2.992,2.998,338149.593
1774609200000,2.998,3.018,2.988,3.01,80539.122
1774612800000,3.01,3.011,2.992,3.004,103106.576
1774616400000,3.004,3.019,2.979,3.0,158178.944
1774620000000,2.999,3.007,2.988,2.996,427070.683
1774623600000,2.996,3.041,2.996,3.012,135743.778
1774627200000,3.012,3.02,2.991,2.997,320839.478
1774630800000,2.997,3.016,2.993,3.005,69521.17
1774634400000,3.005,3.007,2.974,2.988,62580.079
1774638000000,2.988,3.007,2.981,3.005,50307.856
1774641600000,3.004,3.011,2.984,2.997,24123.182
1774645200000,2.996,3.01,2.985,2.99,31342.46
1774648800000,2.99,2.995,2.984,2.993,19550.184
1774652400000,2.992,2.994,2.98,2.993,27729.126
1774656000000,2.993,3.001,2.987,2.987,39861.154
1774659600000,2.986,2.987,2.949,2.97,125333.465
1774663200000,2.971,2.985,2.96,2.961,75617.652
1774666800000,2.962,2.968,2.956,2.96,27544.758
1774670400000,2.961,2.97,2.956,2.966,41950.168
1774674000000,2.967,2.977,2.963,2.963,36474.935
1774677600000,2.963,2.979,2.961,2.974,58951.802
1774681200000,2.973,2.993,2.973,2.991,60211.979
1774684800000,2.991,2.996,2.977,2.979,50969.585
1774688400000,2.979,2.988,2.974,2.984,34799.138
1774692000000,2.983,2.995,2.966,2.972,34463.624
1774695600000,2.973,2.977,2.966,2.976,19227.489
1774699200000,2.976,2.988,2.972,2.984,34710.066
1774702800000,2.984,3.036,2.983,3.02,150802.67
1774706400000,3.02,3.021,2.994,3.0,87955.356
1774710000000,3.0,3.03,2.996,3.006,180108.062
1774713600000,3.007,3.017,3.002,3.015,71843.55
1774717200000,3.015,3.022,2.994,3.002,83478.008
1774720800000,3.002,3.003,2.983,2.992,61071.311
1774724400000,2.991,2.991,2.975,2.986,36768.959
1774728000000,2.987,2.997,2.987,2.99,53090.759
1774731600000,2.99,2.991,2.958,2.962,55917.394
1774735200000,2.962,2.967,2.956,2.963,18729.197
1774738800000,2.963,2.963,2.919,2.941,85442.123
1774742400000,2.941,2.947,2.923,2.939,61606.446
1774746000000,2.939,2.945,2.928,2.937,61122.924
1774749600000,2.936,2.945,2.934,2.942,31113.649
1774753200000,2.942,2.957,2.94,2.956,40621.512
1774756800000,2.956,2.966,2.952,2.961,38742.447
1774760400000,2.96,2.963,2.938,2.947,77852.88
1774764000000,2.947,2.957,2.939,2.945,43900.54
1774767600000,2.944,2.944,2.916,2.923,52704.457
1774771200000,2.923,2.926,2.891,2.91,96514.337
1774774800000,2.91,2.91,2.877,2.888,176247.594
1774778400000,2.887,2.887,2.852,2.869,84900.009
1774782000000,2.869,2.886,2.85,2.865,108972.259
1774785600000,2.865,2.87,2.831,2.855,122113.877
1774789200000,2.855,2.872,2.84,2.856,132810.239
1774792800000,2.856,2.888,2.851,2.864,112852.073
1774796400000,2.865,2.872,2.85,2.867,73921.793
1774800000000,2.867,2.886,2.865,2.875,67523.616
1774803600000,2.875,2.889,2.869,2.883,69247.981
1774807200000,2.884,2.892,2.872,2.881,63373.485
1774810800000,2.882,2.884,2.871,2.881,30716.428
1774814400000,2.88,2.903,2.88,2.898,31190.247
1774818000000,2.899,2.908,2.897,2.902,24826.152
1774821600000,2.901,2.901,2.806,2.857,256044.181
1774825200000,2.857,2.879,2.855,2.868,87147.49
1774828800000,2.868,2.909,2.861,2.889,122922.987
1774832400000,2.889,2.927,2.889,2.926,82338.266
1774836000000,2.925,2.983,2.925,2.947,228820.532
1774839600000,2.948,2.971,2.932,2.962,90414.802
1774843200000,2.963,2.968,2.947,2.957,52631.196
1774846800000,2.957,2.979,2.957,2.957,136203.209
1774850400000,2.958,2.999,2.958,2.989,144682.603
1774854000000,2.988,3.008,2.975,3.001,111397.883
1774857600000,3.0,3.011,2.99,2.991,82588.158
1774861200000,2.991,2.993,2.971,2.973,31637.257
1774864800000,2.973,2.973,2.952,2.962,54356.997
1774868400000,2.962,2.989,2.956,2.969,118691.888
1774872000000,2.969,2.99,2.965,2.99,60579.239
1774875600000,2.99,2.998,2.961,2.968,115296.524
1774879200000,2.969,2.99,2.952,2.987,64403.005
1774882800000,2.986,2.988,2.967,2.98,36840.936
1774886400000,2.981,2.995,2.974,2.985,42190.572
1774890000000,2.983,2.993,2.947,2.963,71916.769
1774893600000,2.963,2.963,2.926,2.932,38693.706
1774897200000,2.932,2.932,2.909,2.919,54584.711
1774900800000,2.919,2.938,2.918,2.926,30099.336
1774904400000,2.925,2.952,2.922,2.941,70278.834
1774908000000,2.941,2.95,2.935,2.939,29008.001
1774911600000,2.939,2.939,2.918,2.936,46843.741
1774915200000,2.937,2.952,2.924,2.946,70279.201
1774918800000,2.947,3.001,2.946,2.985,141170.213
1774922400000,2.985,2.999,2.98,2.986,45939.577
1774926000000,2.986,2.987,2.971,2.984,80627.22
1774929600000,2.984,3.022,2.981,3.018,445473.002
1774933200000,3.018,3.062,2.979,3.011,472526.701
1774936800000,3.012,3.039,3.003,3.037,129853.761
1774940400000,3.038,3.059,3.012,3.044,177922.7
1774944000000,3.045,3.088,2.99,2.995,474303.187
1774947600000,2.994,3.006,2.951,2.966,216609.053
1774951200000,2.967,2.99,2.96,2.977,87566.415
1774954800000,2.977,3.007,2.961,2.998,118240.993
1774958400000,2.999,3.012,2.98,2.986,117307.52
1774962000000,2.985,3.015,2.985,3.013,86668.708
1774965600000,3.013,3.028,2.976,2.982,179484.223
1774969200000,2.983,3.009,2.979,2.981,154032.131
1774972800000,2.982,3.033,2.982,3.029,103395.135
1774976400000,3.03,3.052,2.995,2.999,77388.256
1774980000000,3.0,3.016,2.996,3.004,55290.354
1774983600000,3.004,3.014,3.003,3.01,34400.051
1774987200000,3.01,3.021,3.006,3.015,33831.987
1774990800000,3.015,3.028,2.994,3.017,115904.345
1774994400000,3.018,3.023,3.005,3.008,60347.399
1774998000000,3.009,3.017,3.001,3.014,41856.846
1775001600000,3.013,3.016,2.992,3.01,120952.487
1775005200000,3.011,3.014,2.984,2.984,54391.682
1775008800000,2.984,2.993,2.972,2.981,130324.766
1775012400000,2.981,3.011,2.981,3.004,53093.994
1775016000000,3.004,3.018,2.999,3.011,48436.501
1775019600000,3.012,3.033,3.007,3.016,69700.44
