timestamp,open,high,low,close,volume
1774523220000,3.551,3.552,3.549,3.549,638.9
1774523280000,3.55,3.551,3.549,3.55,355.63
1774523340000,3.55,3.552,3.55,3.552,400.16
1774523400000,3.552,3.553,3.552,3.552,204.36
1774523460000,3.552,3.552,3.539,3.55,19402.89
1774523520000,3.549,3.55,3.547,3.547,1862.01
1774523580000,3.547,3.554,3.547,3.55,3611.07
1774523640000,3.551,3.553,3.549,3.549,2436.43
1774523700000,3.549,3.551,3.549,3.549,1585.43
1774523760000,3.549,3.549,3.545,3.545,1181.54
1774523820000,3.545,3.545,3.544,3.545,288.66
1774523880000,3.545,3.547,3.545,3.546,638.16
1774523940000,3.545,3.547,3.545,3.547,1742.66
1774524000000,3.546,3.548,3.543,3.543,803.75
1774524060000,3.544,3.546,3.543,3.543,778.01
1774524120000,3.543,3.546,3.542,3.544,2188.85
1774524180000,3.545,3.545,3.544,3.545,982.09
1774524240000,3.543,3.543,3.539,3.541,7139.05
1774524300000,3.54,3.542,3.536,3.537,6773.88
1774524360000,3.537,3.537,3.534,3.534,2559.92
1774524420000,3.533,3.534,3.53,3.534,2368.98
1774524480000,3.534,3.536,3.533,3.535,666.1
1774524540000,3.535,3.536,3.533,3.533,3095.99
1774524600000,3.532,3.537,3.532,3.536,10013.33
1774524660000,3.536,3.536,3.533,3.534,3026.7
1774524720000,3.534,3.534,3.531,3.531,2197.98
1774524780000,3.53,3.531,3.529,3.53,2452.75
1774524840000,3.53,3.532,3.529,3.529,10118.84
1774524900000,3.529,3.53,3.529,3.53,1029.1
1774524960000,3.53,3.531,3.528,3.53,763.88
1774525020000,3.531,3.535,3.531,3.534,1050.49
1774525080000,3.535,3.536,3.534,3.534,697.62
1774525140000,3.534,3.537,3.534,3.536,2806.33
1774525200000,3.536,3.536,3.534,3.535,1996.58
1774525260000,3.535,3.535,3.535,3.535,724.89
1774525320000,3.535,3.535,3.534,3.534,625.35
1774525380000,3.535,3.535,3.532,3.532,320.16
1774525440000,3.532,3.533,3.531,3.533,3021.57
1774525500000,3.532,3.533,3.532,3.533,242.1
1774525560000,3.534,3.534,3.533,3.534,399.61
1774525620000,3.533,3.535,3.533,3.534,321.37
1774525680000,3.533,3.534,3.533,3.533,268.79
1774525740000,3.533,3.533,3.531,3.531,2224.55
1774525800000,3.532,3.532,3.531,3.532,470.81
1774525860000,3.532,3.532,3.531,3.532,241.74
1774525920000,3.531,3.537,3.531,3.536,723.06
1774525980000,3.537,3.538,3.537,3.537,1828.67
1774526040000,3.537,3.538,3.535,3.535,618.9
1774526100000,3.535,3.535,3.532,3.532,686.86
1774526160000,3.532,3.532,3.531,3.532,358.37
1774526220000,3.532,3.532,3.527,3.528,2574.19
1774526280000,3.528,3.529,3.526,3.526,977.11
1774526340000,3.526,3.528,3.525,3.527,340.73
1774526400000,3.527,3.527,3.52,3.521,3971.89
1774526460000,3.52,3.523,3.518,3.522,8889.42
1774526520000,3.521,3.527,3.521,3.525,3125.94
1774526580000,3.524,3.527,3.524,3.527,2570.45
1774526640000,3.526,3.526,3.524,3.524,1098.08
1774526700000,3.523,3.525,3.518,3.518,2635.16
1774526760000,3.518,3.524,3.518,3.524,798.6
1774526820000,3.523,3.525,3.523,3.525,918.25
1774526880000,3.524,3.528,3.524,3.528,3095.54
1774526940000,3.527,3.527,3.525,3.525,867.51
1774527000000,3.525,3.528,3.525,3.527,1800.83
