timestamp,open,high,low,close,volume
1774526400000,0.1727,0.1738,0.1721,0.1735,1616978.0
1774530000000,0.1735,0.1765,0.1733,0.1756,2520813.0
1774533600000,0.1756,0.1764,0.174,0.1742,3199405.0
1774537200000,0.1741,0.1741,0.172,0.1724,2140309.0
1774540800000,0.1724,0.1731,0.172,0.1725,1283732.0
1774544400000,0.1725,0.1731,0.1717,0.1722,1166644.0
1774548000000,0.1723,0.1727,0.1712,0.1725,2064319.0
1774551600000,0.1725,0.1725,0.1712,0.1719,596975.0
1774555200000,0.1719,0.1744,0.1716,0.1731,4858723.0
1774558800000,0.173,0.174,0.1725,0.1734,2710953.0
1774562400000,0.1735,0.1748,0.1733,0.1742,2392894.0
1774566000000,0.1743,0.1746,0.1737,0.1738,1561793.0
1774569600000,0.1738,0.1746,0.1728,0.1734,1084198.0
1774573200000,0.1734,0.1747,0.173,0.1744,1040424.0
1774576800000,0.1745,0.1755,0.1742,0.1743,2235539.0
1774580400000,0.1743,0.1749,0.1736,0.1745,996505.0
1774584000000,0.1745,0.175,0.1732,0.1742,1406432.0
1774587600000,0.1742,0.1754,0.174,0.1741,805292.0
1774591200000,0.1741,0.1751,0.1737,0.1741,968136.0
1774594800000,0.1741,0.1752,0.1736,0.1743,1664393.0
1774598400000,0.1744,0.1747,0.1719,0.173,1743738.0
1774602000000,0.173,0.1731,0.1711,0.1718,2535038.0
1774605600000,0.1717,0.1719,0.1686,0.1689,4228590.0
1774609200000,0.1689,0.1694,0.1683,0.1688,2131949.0
1774612800000,0.1689,0.1696,0.1684,0.1695,2244715.0
1774616400000,0.1696,0.1704,0.1686,0.1692,1736368.0
1774620000000,0.1691,0.17,0.1679,0.1682,1985921.0
1774623600000,0.1683,0.1702,0.1677,0.1688,1575456.0
1774627200000,0.1688,0.1695,0.1684,0.1688,906602.0
1774630800000,0.1688,0.1698,0.168,0.1684,1014283.0
1774634400000,0.1684,0.1686,0.1673,0.1673,941006.0
1774638000000,0.1674,0.1685,0.1669,0.1683,1064494.0
1774641600000,0.1682,0.1684,0.1672,0.1679,994052.0
1774645200000,0.1678,0.1687,0.1674,0.1677,811667.0
1774648800000,0.1677,0.1678,0.1671,0.1673,428093.0
1774652400000,0.1673,0.1677,0.1667,0.1674,967985.0
1774656000000,0.1673,0.1674,0.1661,0.1661,1075428.0
1774659600000,0.1661,0.1664,0.1651,0.1658,1244823.0
1774663200000,0.1659,0.1666,0.1652,0.1656,873905.0
1774666800000,0.1656,0.1658,0.1651,0.1651,1642023.0
1774670400000,0.1652,0.1654,0.1647,0.1648,785127.0
1774674000000,0.1648,0.1659,0.1644,0.1658,1064003.0
1774677600000,0.1659,0.1662,0.1654,0.166,1315356.0
1774681200000,0.166,0.1666,0.165,0.1666,1132134.0
1774684800000,0.1666,0.1667,0.1661,0.1662,692338.0
1774688400000,0.1661,0.1665,0.1656,0.1664,487839.0
1774692000000,0.1663,0.1674,0.1654,0.1659,936481.0
1774695600000,0.1658,0.167,0.1658,0.1669,474397.0
1774699200000,0.1669,0.167,0.166,0.1664,1725143.0
1774702800000,0.1665,0.1691,0.166,0.1689,2313641.0
1774706400000,0.1688,0.1698,0.1684,0.1694,1763016.0
1774710000000,0.1694,0.1712,0.1693,0.17,2328886.0
1774713600000,0.1699,0.1717,0.1697,0.1712,1869416.0
1774717200000,0.1713,0.1719,0.1707,0.1711,1457760.0
1774720800000,0.171,0.1712,0.1704,0.1707,686184.0
1774724400000,0.1707,0.1709,0.1699,0.1706,693630.0
1774728000000,0.1706,0.1717,0.1705,0.1712,886525.0
1774731600000,0.1713,0.1716,0.1699,0.1699,940805.0
1774735200000,0.1699,0.17,0.1694,0.1699,697641.0
1774738800000,0.1699,0.1699,0.1677,0.168,1240977.0
1774742400000,0.168,0.1684,0.1674,0.1677,1077183.0
1774746000000,0.1678,0.1685,0.1674,0.1679,742468.0
1774749600000,0.1679,0.1683,0.1676,0.1681,1213951.0
1774753200000,0.1681,0.1692,0.168,0.1692,704677.0
1774756800000,0.1692,0.1692,0.1687,0.1689,1294621.0
1774760400000,0.1688,0.1688,0.1679,0.1682,3824680.0
1774764000000,0.1683,0.1692,0.1679,0.1688,580787.0
1774767600000,0.1688,0.1688,0.1678,0.1682,580877.0
1774771200000,0.1681,0.1686,0.1678,0.1684,239789.0
1774774800000,0.1683,0.1684,0.1676,0.1678,842316.0
1774778400000,0.1678,0.1678,0.1668,0.1669,523509.0
1774782000000,0.167,0.1683,0.1669,0.1672,698088.0
1774785600000,0.1672,0.1673,0.1666,0.167,542178.0
1774789200000,0.1671,0.1671,0.1655,0.1657,1332991.0
1774792800000,0.1657,0.1666,0.1653,0.1659,1622284.0
1774796400000,0.1659,0.1663,0.165,0.1655,1439521.0
1774800000000,0.1655,0.1657,0.1646,0.1647,1060924.0
1774803600000,0.1648,0.1652,0.164,0.1647,1423427.0
1774807200000,0.1647,0.1651,0.1642,0.1648,553734.0
1774810800000,0.1649,0.1649,0.1638,0.1641,1435275.0
1774814400000,0.1642,0.1654,0.1641,0.1647,837775.0
1774818000000,0.1647,0.1655,0.1645,0.1651,732949.0
1774821600000,0.1651,0.1652,0.161,0.1637,5222118.0
1774825200000,0.1637,0.1652,0.1636,0.1645,1816704.0
1774828800000,0.1645,0.1676,0.1644,0.166,2340986.0
1774832400000,0.166,0.1673,0.1658,0.167,1009865.0
1774836000000,0.1671,0.1694,0.167,0.1685,2045614.0
1774839600000,0.1686,0.1689,0.1679,0.1688,844210.0
1774843200000,0.1688,0.1697,0.1687,0.1688,1017526.0
1774846800000,0.1688,0.1694,0.1684,0.1689,825121.0
1774850400000,0.1688,0.1694,0.1685,0.1688,746987.0
1774854000000,0.1688,0.1713,0.1687,0.1709,1405370.0
1774857600000,0.171,0.1738,0.171,0.1729,3719000.0
1774861200000,0.1729,0.173,0.1704,0.1704,1403350.0
1774864800000,0.1704,0.1715,0.1701,0.1714,1568111.0
1774868400000,0.1714,0.1737,0.1714,0.1722,2024187.0
1774872000000,0.1722,0.174,0.1721,0.173,1364282.0
1774875600000,0.1731,0.1735,0.1713,0.1714,1700059.0
1774879200000,0.1715,0.1722,0.1698,0.1712,1833538.0
1774882800000,0.1712,0.1722,0.1701,0.1708,1454240.0
1774886400000,0.1708,0.1715,0.1703,0.1709,1225976.0
1774890000000,0.1709,0.1713,0.1691,0.1695,1662782.0
1774893600000,0.1694,0.1697,0.1677,0.1679,960684.0
1774897200000,0.168,0.1684,0.1673,0.1683,1036058.0
1774900800000,0.1682,0.1685,0.1674,0.1682,626998.0
1774904400000,0.1682,0.1703,0.168,0.1693,1193173.0
1774908000000,0.1692,0.1696,0.1687,0.1688,768441.0
1774911600000,0.1687,0.1687,0.1672,0.1674,862180.0
1774915200000,0.1675,0.1684,0.1669,0.1676,1512078.0
1774918800000,0.1676,0.1706,0.1673,0.1702,1837775.0
1774922400000,0.1702,0.1709,0.1697,0.1701,1202897.0
1774926000000,0.1701,0.1703,0.1692,0.1697,679674.0
1774929600000,0.1696,0.1698,0.1677,0.1678,1809967.0
1774933200000,0.1677,0.1684,0.1673,0.168,1083198.0
1774936800000,0.168,0.1681,0.1672,0.1678,1207356.0
1774940400000,0.1677,0.1678,0.1666,0.1672,1513022.0
1774944000000,0.1672,0.1673,0.1656,0.1657,1639424.0
1774947600000,0.1658,0.1665,0.1645,0.1651,2362500.0
1774951200000,0.1651,0.1652,0.1642,0.1642,1255986.0
1774954800000,0.1642,0.1657,0.1641,0.1651,1788631.0
1774958400000,0.1651,0.1653,0.1638,0.1643,1533384.0
1774962000000,0.1643,0.1667,0.1642,0.1663,2076863.0
1774965600000,0.1663,0.1672,0.1641,0.1647,3399770.0
1774969200000,0.1647,0.1664,0.1638,0.1638,1326720.0
1774972800000,0.1639,0.1667,0.1636,0.1663,1866738.0
1774976400000,0.1664,0.1681,0.1655,0.1661,2931135.0
1774980000000,0.1662,0.168,0.1662,0.168,1737813.0
1774983600000,0.168,0.1686,0.1671,0.1685,1905516.0
1774987200000,0.1685,0.1694,0.1684,0.169,1121618.0
1774990800000,0.1691,0.1691,0.1673,0.1674,1500305.0
1774994400000,0.1675,0.1677,0.1664,0.1671,816702.0
1774998000000,0.1672,0.1677,0.1668,0.1673,866402.0
1775001600000,0.1672,0.1689,0.1668,0.1689,756599.0
1775005200000,0.1689,0.1691,0.1677,0.1677,805524.0
1775008800000,0.1678,0.1681,0.1673,0.1675,2141722.0
1775012400000,0.1675,0.1698,0.1675,0.1698,789981.0
1775016000000,0.1697,0.1702,0.169,0.1697,979706.0
1775019600000,0.1697,0.1706,0.1686,0.1702,2389859.0
1775023200000,0.1701,0.1723,0.1701,0.1717,3419869.0
1775026800000,0.1718,0.1725,0.1714,0.1716,1335099.0
1775030400000,0.1716,0.1726,0.1713,0.1717,2316250.0
1775034000000,0.1718,0.1724,0.1711,0.172,1773116.0
1775037600000,0.172,0.1732,0.1717,0.1729,1964320.0
1775041200000,0.1728,0.1731,0.1723,0.1728,1573592.0
1775044800000,0.1729,0.1748,0.1725,0.1731,4198557.0
1775048400000,0.1731,0.1738,0.1714,0.172,2546698.0
1775052000000,0.172,0.1732,0.1719,0.1724,1757145.0
1775055600000,0.1724,0.1726,0.1718,0.1719,1399394.0
1775059200000,0.172,0.1731,0.1718,0.1722,1179053.0
