timestamp,open,high,low,close,volume
1722470400000,25.7,25.91,25.68,25.88,44177.71
1722474000000,25.88,25.92,25.56,25.76,33769.48
1722477600000,25.76,25.77,25.33,25.56,65613.61
1722481200000,25.55,25.56,25.35,25.42,25319.38
1722484800000,25.41,25.5,24.99,25.09,117252.76
1722488400000,25.09,25.45,24.92,25.43,68042.06
1722492000000,25.43,25.49,25.23,25.25,41837.23
1722495600000,25.25,25.44,25.24,25.34,34564.53
1722499200000,25.34,25.44,25.27,25.43,32219.54
1722502800000,25.43,25.52,25.34,25.35,24906.88
1722506400000,25.35,25.37,25.25,25.36,50600.6
1722510000000,25.35,25.4,25.23,25.39,56490.58
1722513600000,25.39,25.7,25.38,25.65,42913.96
1722517200000,25.65,25.69,25.35,25.5,55149.48
1722520800000,25.5,25.56,24.94,24.94,109392.63
1722524400000,24.95,24.96,24.46,24.6,308088.12
1722528000000,24.6,24.64,24.12,24.54,190772.55
1722531600000,24.53,24.62,24.36,24.61,103587.14
1722535200000,24.6,24.6,24.01,24.34,178111.68
1722538800000,24.35,24.9,24.33,24.82,65944.18
1722542400000,24.82,25.28,24.7,25.27,110254.75
1722546000000,25.27,25.67,25.27,25.48,116060.13
1722549600000,25.49,25.8,25.43,25.64,77275.76
1722553200000,25.64,25.76,25.54,25.71,26886.2
1722556800000,25.71,25.91,25.57,25.58,92694.58
1722560400000,25.58,25.61,25.38,25.48,40054.24
1722564000000,25.48,25.57,25.07,25.26,59247.94
1722567600000,25.27,25.42,25.19,25.33,41017.32
1722571200000,25.34,25.41,25.22,25.32,22973.54
1722574800000,25.33,25.33,24.95,24.99,50396.09
1722578400000,24.99,25.04,24.61,24.92,51718.62
1722582000000,24.91,25.1,24.73,25.0,48485.25
1722585600000,25.01,25.21,24.77,25.2,43868.15
1722589200000,25.21,25.29,25.05,25.1,85693.85
1722592800000,25.1,25.12,24.9,25.06,98635.79
1722596400000,25.05,25.13,24.94,24.98,100146.29
1722600000000,24.97,25.06,24.66,24.98,101944.14
1722603600000,24.98,25.33,24.79,25.18,88147.15
1722607200000,25.17,25.24,23.9,23.95,256283.47
1722610800000,23.95,24.21,23.45,24.13,355606.49
1722614400000,24.13,24.22,23.95,24.11,99887.1
1722618000000,24.1,24.28,24.02,24.07,68823.78
1722621600000,24.07,24.1,23.88,23.93,61158.9
1722625200000,23.94,24.03,23.74,23.84,73612.6
1722628800000,23.84,24.01,23.55,23.82,135726.96
1722632400000,23.81,23.81,23.35,23.73,121274.46
1722636000000,23.73,23.78,23.52,23.58,65407.09
1722639600000,23.58,23.73,23.43,23.6,72001.93
1722643200000,23.6,23.75,23.35,23.49,79611.67
1722646800000,23.5,23.64,23.0,23.56,203140.88
1722650400000,23.56,23.74,23.42,23.49,40117.37
1722654000000,23.49,23.73,23.44,23.73,55659.87
1722657600000,23.72,23.73,23.62,23.7,27609.77
1722661200000,23.7,23.78,23.63,23.74,21719.72
1722664800000,23.73,23.86,23.7,23.78,87342.8
1722668400000,23.78,23.84,23.69,23.73,31388.47
1722672000000,23.73,23.73,23.51,23.62,40907.38
1722675600000,23.61,23.7,23.48,23.68,33069.86
1722679200000,23.69,24.14,23.6,23.89,124143.6
1722682800000,23.89,24.0,23.88,23.94,33132.98
1722686400000,23.94,24.07,23.86,23.93,42226.96
1722690000000,23.93,24.15,23.85,23.99,67745.94
1722693600000,23.98,24.11,23.84,23.87,28052.65
1722697200000,23.86,23.9,23.35,23.35,97620.56
1722700800000,23.35,23.4,22.86,23.05,166407.68
