timestamp,open,high,low,close,volume
1730419200000,25.03,25.03,24.99,24.99,1011.24
1730419260000,25.0,25.02,24.99,25.01,1572.6
1730419320000,25.02,25.05,25.0,25.05,981.83
1730419380000,25.04,25.05,25.03,25.05,81.4
1730419440000,25.05,25.05,25.03,25.04,75.0
1730419500000,25.04,25.08,25.03,25.07,433.84
1730419560000,25.06,25.06,25.05,25.05,297.89
1730419620000,25.06,25.08,25.05,25.05,339.01
1730419680000,25.05,25.06,25.04,25.05,486.59
1730419740000,25.05,25.05,25.04,25.04,127.64
1730419800000,25.04,25.04,25.02,25.04,34.23
1730419860000,25.04,25.06,25.03,25.05,94.97
1730419920000,25.05,25.05,25.02,25.03,145.2
1730419980000,25.04,25.06,25.04,25.04,123.87
1730420040000,25.05,25.05,25.04,25.05,367.6
1730420100000,25.05,25.05,25.02,25.04,89.47
1730420160000,25.04,25.04,25.03,25.03,162.56
1730420220000,25.03,25.04,25.03,25.04,19.09
1730420280000,25.03,25.04,25.03,25.04,77.38
1730420340000,25.03,25.03,25.03,25.03,272.97
1730420400000,25.04,25.04,25.02,25.03,102.1
1730420460000,25.03,25.04,25.02,25.03,520.26
1730420520000,25.03,25.03,25.0,25.0,189.61
1730420580000,24.99,25.01,24.99,25.0,751.06
1730420640000,25.0,25.01,25.0,25.01,131.76
1730420700000,25.02,25.03,25.02,25.03,75.72
1730420760000,25.02,25.02,25.0,25.01,426.73
1730420820000,25.01,25.04,25.01,25.04,281.35
1730420880000,25.04,25.05,25.02,25.02,297.07
1730420940000,25.02,25.03,25.02,25.02,9.29
1730421000000,25.02,25.03,25.01,25.02,259.61
1730421060000,25.01,25.01,25.0,25.0,185.44
1730421120000,24.99,25.0,24.97,24.98,159.31
1730421180000,24.97,24.97,24.94,24.94,1668.54
1730421240000,24.94,24.94,24.92,24.93,138.21
1730421300000,24.93,24.93,24.92,24.93,194.9
1730421360000,24.93,24.93,24.91,24.92,605.17
1730421420000,24.93,24.93,24.92,24.92,76.7
1730421480000,24.91,24.92,24.9,24.91,152.51
1730421540000,24.9,24.92,24.9,24.92,228.71
1730421600000,24.92,24.94,24.92,24.94,97.16
1730421660000,24.94,24.96,24.94,24.94,1568.62
1730421720000,24.95,24.99,24.95,24.98,187.48
1730421780000,24.98,24.98,24.96,24.97,314.76
1730421840000,24.96,24.97,24.95,24.95,66.35
1730421900000,24.95,24.95,24.92,24.93,464.25
1730421960000,24.93,24.94,24.91,24.94,566.27
1730422020000,24.94,24.97,24.94,24.96,106.25
1730422080000,24.97,24.98,24.97,24.98,115.92
1730422140000,24.98,25.0,24.98,24.99,324.48
1730422200000,25.0,25.0,24.98,24.98,258.94
1730422260000,24.98,25.0,24.98,24.99,148.53
1730422320000,24.99,25.01,24.99,25.0,1004.76
1730422380000,25.0,25.0,24.98,24.98,106.92
1730422440000,24.98,24.99,24.97,24.99,170.16
1730422500000,24.98,24.98,24.94,24.94,169.84
1730422560000,24.95,24.96,24.95,24.96,80.63
1730422620000,24.96,24.97,24.95,24.95,85.51
1730422680000,24.95,24.95,24.92,24.93,358.26
1730422740000,24.93,24.93,24.91,24.92,444.28
1730422800000,24.92,24.92,24.9,24.91,438.49
1730422860000,24.91,24.91,24.89,24.9,601.69
1730422920000,24.9,24.9,24.88,24.88,467.8
1730422980000,24.89,24.91,24.89,24.9,372.39
1730423040000,24.91,24.94,24.91,24.91,203.85
1730423100000,24.91,24.94,24.9,24.93,388.91
1730423160000,24.93,24.96,24.93,24.95,556.96
1730423220000,24.95,24.96,24.94,24.96,223.15
1730423280000,24.95,24.96,24.94,24.95,640.94
1730423340000,24.95,24.95,24.92,24.93,108.72
1730423400000,24.93,24.93,24.92,24.93,117.8
1730423460000,24.93,24.97,24.93,24.96,54.33
1730423520000,24.97,24.97,24.96,24.96,172.04
1730423580000,24.95,24.98,24.95,24.98,270.58
1730423640000,24.98,24.98,24.96,24.97,280.2
1730423700000,24.97,24.97,24.94,24.96,1596.57
1730423760000,24.97,24.98,24.96,24.96,628.24
1730423820000,24.97,24.97,24.93,24.94,158.29
1730423880000,24.94,24.94,24.92,24.94,146.56
1730423940000,24.93,24.93,24.9,24.92,348.01
1730424000000,24.91,24.92,24.89,24.89,328.13
1730424060000,24.89,24.89,24.85,24.87,1845.81
1730424120000,24.87,24.87,24.84,24.84,1716.65
1730424180000,24.85,24.86,24.83,24.86,763.36
1730424240000,24.86,24.87,24.84,24.85,55.6
1730424300000,24.86,24.86,24.82,24.82,702.79
1730424360000,24.82,24.82,24.8,24.81,1501.65
1730424420000,24.81,24.83,24.81,24.82,518.89
1730424480000,24.82,24.84,24.82,24.84,436.29
1730424540000,24.83,24.84,24.82,24.84,451.06
1730424600000,24.83,24.85,24.82,24.84,365.64
1730424660000,24.83,24.83,24.8,24.8,1801.46
1730424720000,24.8,24.84,24.77,24.78,2728.89
1730424780000,24.78,24.82,24.69,24.82,4290.62
1730424840000,24.82,24.85,24.81,24.82,1001.81
1730424900000,24.82,24.9,24.82,24.9,829.9
1730424960000,24.91,24.94,24.88,24.93,971.6
1730425020000,24.92,24.93,24.89,24.89,590.55
1730425080000,24.89,24.93,24.88,24.93,823.31
1730425140000,24.92,24.92,24.89,24.9,189.55
1730425200000,24.89,24.93,24.86,24.87,136.6
1730425260000,24.87,24.92,24.87,24.91,1388.0
1730425320000,24.92,24.96,24.9,24.95,424.71
1730425380000,24.95,24.96,24.94,24.96,113.67
1730425440000,24.94,24.94,24.92,24.94,730.6
1730425500000,24.93,24.95,24.91,24.93,666.63
1730425560000,24.95,24.99,24.95,24.96,490.01
1730425620000,24.95,24.96,24.91,24.93,232.75
1730425680000,24.91,24.93,24.9,24.9,434.29
1730425740000,24.9,24.91,24.88,24.89,403.2
1730425800000,24.88,24.89,24.8,24.82,1523.39
1730425860000,24.82,24.88,24.82,24.87,1057.56
1730425920000,24.88,24.89,24.85,24.88,630.01
