timestamp,open,high,low,close,volume
1750377600000,13.07,13.12,13.04,13.08,33940.74
1750381200000,13.09,13.11,12.99,13.11,79721.46
1750384800000,13.1,13.12,13.0,13.03,47221.73
1750388400000,13.02,13.05,12.99,13.0,22447.58
1750392000000,13.0,13.02,12.89,12.91,61043.98
1750395600000,12.91,12.96,12.89,12.94,55013.59
1750399200000,12.94,13.0,12.94,12.96,23198.88
1750402800000,12.97,13.19,12.94,13.18,139419.05
1750406400000,13.18,13.29,13.12,13.17,175851.73
1750410000000,13.17,13.21,13.08,13.12,93325.4
1750413600000,13.12,13.16,13.07,13.12,70166.22
1750417200000,13.11,13.16,13.08,13.13,30490.44
1750420800000,13.14,13.23,13.13,13.2,65850.08
1750424400000,13.2,13.25,13.06,13.1,115801.43
1750428000000,13.1,13.13,12.83,12.85,179591.67
1750431600000,12.84,12.98,12.84,12.9,97303.61
1750435200000,12.9,12.92,12.7,12.77,130470.23
1750438800000,12.77,12.8,12.3,12.55,715692.9
1750442400000,12.54,12.65,12.52,12.6,142220.93
1750446000000,12.59,12.61,12.49,12.58,81207.4
1750449600000,12.57,12.73,12.56,12.66,67526.62
1750453200000,12.66,12.66,12.52,12.54,59569.11
1750456800000,12.54,12.55,12.37,12.42,117616.31
1750460400000,12.42,12.53,12.37,12.51,133904.96
1750464000000,12.51,12.6,12.49,12.57,37061.66
1750467600000,12.57,12.69,12.56,12.66,38377.5
1750471200000,12.65,12.67,12.61,12.64,24795.67
1750474800000,12.64,12.73,12.64,12.69,29766.21
1750478400000,12.69,12.71,12.64,12.65,43150.51
1750482000000,12.66,12.7,12.63,12.68,57374.79
1750485600000,12.68,12.7,12.62,12.63,47261.62
1750489200000,12.63,12.65,12.58,12.63,38008.73
1750492800000,12.64,12.75,12.63,12.74,40687.65
1750496400000,12.73,12.74,12.64,12.69,42563.08
1750500000000,12.69,12.73,12.67,12.7,44794.39
1750503600000,12.7,12.72,12.66,12.68,27205.46
1750507200000,12.67,12.7,12.59,12.61,29688.88
1750510800000,12.6,12.65,12.45,12.48,81392.4
1750514400000,12.47,12.58,12.44,12.47,87836.14
1750518000000,12.47,12.51,12.39,12.5,55475.0
1750521600000,12.49,12.56,12.44,12.49,49320.26
1750525200000,12.49,12.56,12.36,12.4,62803.93
1750528800000,12.41,12.48,12.26,12.29,105964.29
1750532400000,12.29,12.34,12.18,12.2,137179.33
1750536000000,12.19,12.33,12.16,12.3,160550.91
1750539600000,12.29,12.31,11.69,11.85,628392.83
1750543200000,11.85,11.98,11.82,11.93,181815.75
1750546800000,11.94,12.05,11.72,12.03,554313.16
1750550400000,12.03,12.2,11.92,12.12,278148.06
1750554000000,12.13,12.17,11.95,11.96,102655.36
1750557600000,11.96,12.06,11.83,11.93,172476.73
1750561200000,11.94,12.01,11.83,11.91,99617.37
1750564800000,11.91,12.05,11.87,11.99,131563.88
1750568400000,12.0,12.08,11.93,12.02,70106.39
1750572000000,12.02,12.1,11.97,12.08,56624.58
1750575600000,12.09,12.1,11.94,11.97,52124.03
1750579200000,11.96,12.0,11.9,11.97,66161.44
1750582800000,11.96,12.01,11.78,11.8,210770.19
1750586400000,11.81,11.92,11.79,11.85,141458.94
1750590000000,11.85,11.95,11.83,11.89,102790.36
1750593600000,11.9,11.97,11.8,11.93,95125.51
1750597200000,11.93,11.97,11.36,11.53,1459339.63
1750600800000,11.54,11.62,11.29,11.61,705592.12
1750604400000,11.61,11.65,11.42,11.45,195839.25
1750608000000,11.44,11.5,11.34,11.46,207100.48
1750611600000,11.45,11.58,11.36,11.48,140349.74
1750615200000,11.49,11.54,11.36,11.37,60538.0
1750618800000,11.37,11.42,11.2,11.22,186798.99
1750622400000,11.22,11.39,10.94,11.31,750292.24
1750626000000,11.32,11.41,11.19,11.25,203111.38
1750629600000,11.25,11.64,11.25,11.63,294496.21
1750633200000,11.64,11.67,11.55,11.65,135708.72
1750636800000,11.65,11.77,11.62,11.63,144907.98
1750640400000,11.63,11.7,11.55,11.69,111218.23
1750644000000,11.69,11.71,11.64,11.69,54218.25
1750647600000,11.68,11.74,11.62,11.64,158501.75
1750651200000,11.63,11.76,11.62,11.7,55629.16
1750654800000,11.7,11.85,11.69,11.83,81261.84
1750658400000,11.83,11.88,11.76,11.85,95388.09
1750662000000,11.85,11.92,11.81,11.85,78767.69
1750665600000,11.85,11.91,11.81,11.9,105156.62
1750669200000,11.89,11.89,11.79,11.84,49775.42
1750672800000,11.84,11.86,11.75,11.8,88904.86
1750676400000,11.81,11.88,11.78,11.85,53225.79
1750680000000,11.85,11.97,11.8,11.97,103337.94
1750683600000,11.96,12.08,11.68,12.02,484148.76
1750687200000,12.02,12.1,11.86,11.89,238664.44
1750690800000,11.89,11.94,11.74,11.76,83871.78
1750694400000,11.76,11.78,11.39,11.52,455303.1
1750698000000,11.52,11.94,11.49,11.89,432822.31
1750701600000,11.89,12.13,11.88,12.09,209421.94
1750705200000,12.08,12.18,12.04,12.15,183160.97
1750708800000,12.14,12.47,12.12,12.38,266308.96
1750712400000,12.39,12.5,12.35,12.38,134578.28
1750716000000,12.38,12.97,12.37,12.85,531413.42
1750719600000,12.86,12.94,12.81,12.82,211346.93
1750723200000,12.83,12.9,12.78,12.84,149153.19
1750726800000,12.84,12.97,12.81,12.96,129838.06
1750730400000,12.95,13.06,12.86,12.87,216881.25
1750734000000,12.87,13.0,12.87,12.95,75385.46
1750737600000,12.95,13.03,12.92,13.03,74227.87
1750741200000,13.03,13.26,13.0,13.24,162777.46
1750744800000,13.23,13.33,13.13,13.28,173773.89
1750748400000,13.28,13.29,13.02,13.03,204227.46
1750752000000,13.03,13.14,12.93,13.04,240407.07
1750755600000,13.04,13.27,13.01,13.11,237714.49
1750759200000,13.1,13.18,13.09,13.15,51739.77
1750762800000,13.14,13.2,13.06,13.16,96018.24
1750766400000,13.16,13.21,13.08,13.13,110909.48
1750770000000,13.12,13.2,13.06,13.13,196152.66
1750773600000,13.13,13.43,13.13,13.29,874298.0
1750777200000,13.29,13.42,13.22,13.35,212154.2
1750780800000,13.36,13.73,13.35,13.73,271067.5
1750784400000,13.73,13.73,13.46,13.51,258209.31
1750788000000,13.51,13.54,13.35,13.4,110081.02
1750791600000,13.4,13.42,13.27,13.35,88155.62
1750795200000,13.35,13.42,13.28,13.42,75086.86
1750798800000,13.41,13.41,13.31,13.39,59503.79
1750802400000,13.38,13.39,13.32,13.38,54335.39
1750806000000,13.37,13.42,13.3,13.42,66268.42
1750809600000,13.42,13.49,13.29,13.48,115660.57
1750813200000,13.47,13.48,13.33,13.43,109819.04
1750816800000,13.43,13.51,13.36,13.39,67178.2
1750820400000,13.39,13.44,13.32,13.36,75455.34
1750824000000,13.36,13.37,13.3,13.31,70246.16
1750827600000,13.31,13.34,13.25,13.27,56603.73
1750831200000,13.27,13.41,13.25,13.39,108016.26
1750834800000,13.39,13.47,13.35,13.46,105823.37
1750838400000,13.46,13.48,13.31,13.4,82018.28
1750842000000,13.39,13.46,13.27,13.29,105005.3
1750845600000,13.29,13.31,13.23,13.28,104018.83
1750849200000,13.27,13.29,13.19,13.28,127834.19
1750852800000,13.28,13.29,13.13,13.19,139623.95
1750856400000,13.19,13.33,13.14,13.28,225919.77
1750860000000,13.28,13.3,13.02,13.2,306829.19
1750863600000,13.2,13.21,13.02,13.05,134824.06
1750867200000,13.06,13.11,12.99,13.03,107541.24
1750870800000,13.04,13.22,13.03,13.12,81030.6
1750874400000,13.13,13.14,13.07,13.14,53189.83
1750878000000,13.14,13.25,13.13,13.23,112165.58
1750881600000,13.23,13.27,13.18,13.25,51228.83
1750885200000,13.25,13.31,13.14,13.17,60211.16
1750888800000,13.17,13.17,13.06,13.08,36699.27
1750892400000,13.09,13.15,13.04,13.13,34828.28
1750896000000,13.14,13.2,13.1,13.11,44673.12
1750899600000,13.12,13.34,13.06,13.25,96736.64
1750903200000,13.25,13.44,13.24,13.42,131533.38
1750906800000,13.43,13.57,13.31,13.34,137105.38
1750910400000,13.35,13.36,13.25,13.32,51720.54
1750914000000,13.33,13.33,13.2,13.26,44572.64
1750917600000,13.26,13.36,13.25,13.35,42162.39
