timestamp,open,high,low,close,volume
1711065600000,0.6403,0.6454,0.629,0.6324,45101771.0
1711069200000,0.6323,0.6332,0.6193,0.6247,28438745.0
1711072800000,0.6247,0.631,0.6234,0.6305,16360072.0
1711076400000,0.6304,0.6363,0.6295,0.6363,13773183.0
1711080000000,0.6363,0.6379,0.633,0.637,14324831.0
1711083600000,0.6369,0.6386,0.6339,0.6342,13148187.0
1711087200000,0.6342,0.6365,0.63,0.6311,28020003.0
1711090800000,0.6311,0.6351,0.6293,0.6351,32541705.0
1711094400000,0.635,0.6382,0.6279,0.6285,29299794.0
1711098000000,0.6285,0.6344,0.6285,0.6309,19169714.0
1711101600000,0.6309,0.631,0.6209,0.6219,35726429.0
1711105200000,0.6218,0.624,0.614,0.616,36254388.0
1711108800000,0.616,0.6216,0.6127,0.6207,16984516.0
1711112400000,0.6207,0.6222,0.6028,0.6057,42256343.0
1711116000000,0.6056,0.6075,0.5985,0.605,64136088.0
1711119600000,0.605,0.6154,0.6045,0.6107,36583084.0
1711123200000,0.6107,0.6107,0.6038,0.6079,22767339.0
1711126800000,0.6079,0.6129,0.6068,0.6113,19916559.0
1711130400000,0.6113,0.6134,0.6092,0.6121,10025480.0
1711134000000,0.612,0.6144,0.6101,0.6124,9456078.0
1711137600000,0.6124,0.6149,0.6097,0.6146,8725057.0
1711141200000,0.6146,0.6147,0.6043,0.6101,13094407.0
1711144800000,0.61,0.6107,0.6042,0.6085,12680922.0
1711148400000,0.6084,0.6117,0.6076,0.6115,11244409.0
1711152000000,0.6115,0.613,0.6091,0.6107,8448339.0
1711155600000,0.6108,0.617,0.6106,0.6151,11244984.0
1711159200000,0.615,0.617,0.6106,0.613,11312568.0
1711162800000,0.6129,0.613,0.6032,0.6087,14077554.0
1711166400000,0.6086,0.6133,0.6084,0.6117,7310750.0
1711170000000,0.6117,0.6134,0.6105,0.6129,5018690.0
1711173600000,0.613,0.6147,0.6115,0.6137,6685309.0
1711177200000,0.6137,0.6184,0.6136,0.6158,19611949.0
1711180800000,0.6159,0.6174,0.6149,0.6173,8130864.0
1711184400000,0.6174,0.6192,0.616,0.6191,7431146.0
1711188000000,0.6191,0.6214,0.6173,0.6182,9245346.0
1711191600000,0.6182,0.6197,0.6169,0.6192,8925361.0
1711195200000,0.6191,0.6233,0.6187,0.6216,11258268.0
1711198800000,0.6216,0.6274,0.6202,0.6248,18469512.0
1711202400000,0.6248,0.6329,0.624,0.63,41106538.0
1711206000000,0.6299,0.6316,0.626,0.6278,14272154.0
1711209600000,0.6278,0.6287,0.6244,0.6255,14369659.0
1711213200000,0.6255,0.6315,0.6252,0.6283,12367807.0
1711216800000,0.6283,0.6301,0.6278,0.6289,6248972.0
1711220400000,0.6289,0.6302,0.6241,0.6244,12587588.0
1711224000000,0.6243,0.6254,0.6234,0.6238,7244501.0
1711227600000,0.6237,0.6248,0.6216,0.624,6349060.0
1711231200000,0.6239,0.6246,0.6218,0.6224,5143127.0
