timestamp,open,high,low,close,volume
1714089600000,35.59,35.61,35.58,35.59,481.57
1714089660000,35.59,35.6,35.57,35.6,469.47
1714089720000,35.6,35.62,35.58,35.58,313.01
1714089780000,35.59,35.6,35.56,35.6,292.74
1714089840000,35.6,35.67,35.6,35.66,965.74
1714089900000,35.66,35.68,35.65,35.67,232.83
1714089960000,35.68,35.68,35.65,35.67,171.62
1714090020000,35.67,35.67,35.65,35.66,3808.09
1714090080000,35.66,35.68,35.66,35.68,391.0
1714090140000,35.67,35.68,35.67,35.67,149.66
1714090200000,35.67,35.67,35.64,35.66,216.85
1714090260000,35.66,35.68,35.65,35.68,430.22
1714090320000,35.68,35.69,35.68,35.68,346.33
1714090380000,35.67,35.67,35.57,35.57,3108.25
1714090440000,35.58,35.58,35.47,35.49,2188.24
1714090500000,35.48,35.5,35.46,35.5,1229.4
1714090560000,35.49,35.49,35.44,35.46,859.31
1714090620000,35.45,35.45,35.36,35.4,3259.72
1714090680000,35.39,35.49,35.39,35.49,1514.95
1714090740000,35.5,35.58,35.5,35.56,1343.08
1714090800000,35.56,35.61,35.56,35.6,1175.27
1714090860000,35.59,35.6,35.57,35.59,108.49
1714090920000,35.6,35.61,35.54,35.54,173.96
1714090980000,35.54,35.54,35.42,35.43,551.01
1714091040000,35.42,35.42,35.34,35.35,1394.28
1714091100000,35.36,35.37,35.31,35.35,3962.69
1714091160000,35.34,35.41,35.33,35.41,1434.55
1714091220000,35.4,35.45,35.39,35.43,1406.86
1714091280000,35.43,35.49,35.43,35.49,619.47
1714091340000,35.48,35.54,35.48,35.52,896.47
1714091400000,35.51,35.52,35.47,35.48,1820.0
1714091460000,35.48,35.48,35.4,35.41,985.31
1714091520000,35.4,35.4,35.32,35.34,1088.49
1714091580000,35.33,35.33,35.25,35.31,3377.23
1714091640000,35.31,35.38,35.27,35.37,4114.04
1714091700000,35.37,35.42,35.32,35.41,1398.73
1714091760000,35.4,35.41,35.35,35.39,938.72
1714091820000,35.39,35.42,35.38,35.38,1256.24
1714091880000,35.37,35.37,35.29,35.34,1053.41
1714091940000,35.34,35.34,35.29,35.33,887.26
1714092000000,35.32,35.33,35.24,35.27,1410.46
1714092060000,35.27,35.27,35.19,35.24,2674.53
1714092120000,35.24,35.27,35.22,35.22,646.26
1714092180000,35.21,35.21,35.14,35.19,4126.72
1714092240000,35.19,35.21,35.15,35.18,953.18
1714092300000,35.18,35.2,35.08,35.08,1752.4
1714092360000,35.08,35.17,35.07,35.17,1907.05
1714092420000,35.17,35.2,35.15,35.19,1907.38
1714092480000,35.18,35.21,35.16,35.17,847.91
1714092540000,35.17,35.21,35.14,35.21,794.93
1714092600000,35.2,35.24,35.2,35.24,212.76
1714092660000,35.24,35.31,35.24,35.27,1091.39
1714092720000,35.26,35.31,35.26,35.31,798.96
1714092780000,35.31,35.33,35.29,35.32,150.49
1714092840000,35.31,35.32,35.29,35.29,429.38
1714092900000,35.29,35.29,35.27,35.29,208.45
1714092960000,35.28,35.3,35.26,35.3,587.61
