timestamp,open,high,low,close,volume
1751328000000,0.5722,0.5765,0.5698,0.5728,2764012.4
1751331600000,0.5728,0.5765,0.5716,0.572,3950970.0
1751335200000,0.572,0.5738,0.5648,0.5662,4270872.7
1751338800000,0.5663,0.5695,0.5656,0.569,1678344.5
1751342400000,0.569,0.569,0.5646,0.565,1894741.0
1751346000000,0.565,0.566,0.5608,0.5632,4179938.8
1751349600000,0.5631,0.5634,0.5612,0.5627,1883003.9
1751353200000,0.5627,0.5679,0.5586,0.5672,10406027.6
1751356800000,0.5671,0.5671,0.5616,0.5621,4697625.9
1751360400000,0.562,0.5641,0.5613,0.5618,3066783.3
1751364000000,0.5619,0.5639,0.5608,0.5626,1993152.4
1751367600000,0.5627,0.5633,0.5581,0.5603,3655129.7
1751371200000,0.5602,0.5608,0.551,0.5528,10908128.6
1751374800000,0.5528,0.5539,0.5475,0.5504,7860568.0
1751378400000,0.5504,0.5545,0.5433,0.5472,8644986.6
1751382000000,0.5471,0.5494,0.545,0.5469,5017212.6
1751385600000,0.547,0.5547,0.5443,0.5507,11233078.7
1751389200000,0.5507,0.5525,0.5428,0.5458,8995742.3
1751392800000,0.5458,0.5459,0.5394,0.5407,7456841.7
1751396400000,0.5407,0.5433,0.5384,0.5392,6340040.9
1751400000000,0.5392,0.543,0.5366,0.5417,4398277.7
1751403600000,0.5416,0.5451,0.5399,0.5423,2963920.9
1751407200000,0.5422,0.543,0.5398,0.5406,2270283.1
1751410800000,0.5406,0.5424,0.5386,0.542,2052899.8
1751414400000,0.542,0.5452,0.5412,0.5416,3820832.7
1751418000000,0.5416,0.5451,0.5387,0.5451,3538705.7
1751421600000,0.5452,0.5462,0.5426,0.5453,2197599.2
1751425200000,0.5454,0.5492,0.5449,0.5484,3661895.1
1751428800000,0.5485,0.554,0.5484,0.5537,7492552.3
1751432400000,0.5537,0.555,0.5527,0.5545,3922166.5
1751436000000,0.5545,0.5577,0.5538,0.5576,2662932.2
1751439600000,0.5576,0.5584,0.5546,0.5567,4674647.4
1751443200000,0.5566,0.5605,0.5566,0.5582,3460119.8
1751446800000,0.5583,0.5591,0.5565,0.5574,2923470.3
1751450400000,0.5574,0.5602,0.5564,0.5599,2708386.6
1751454000000,0.5599,0.5649,0.5595,0.561,4079538.6
1751457600000,0.5611,0.5612,0.5568,0.5592,4259479.6
1751461200000,0.5593,0.5634,0.5588,0.5612,4292718.1
1751464800000,0.5612,0.5692,0.5607,0.5691,8062108.4
1751468400000,0.5691,0.5788,0.569,0.5778,15115965.0
1751472000000,0.5778,0.5998,0.5778,0.595,43714579.5
1751475600000,0.595,0.5985,0.589,0.5936,20201219.4
1751479200000,0.5937,0.5969,0.5936,0.5948,9347302.4
1751482800000,0.5949,0.5976,0.5921,0.5956,9284472.3
1751486400000,0.5957,0.5993,0.5938,0.596,8320274.2
1751490000000,0.596,0.5981,0.5928,0.5953,4983855.7
1751493600000,0.5953,0.5972,0.5923,0.5923,4035072.1
1751497200000,0.5922,0.5927,0.5831,0.584,8621315.2
1751500800000,0.584,0.5883,0.5832,0.5869,3800158.0
1751504400000,0.587,0.5895,0.585,0.5892,2970211.3
1751508000000,0.5893,0.5895,0.5827,0.5862,2655097.9
1751511600000,0.5863,0.5886,0.5851,0.5867,2499191.0
1751515200000,0.5867,0.592,0.5864,0.5901,2831948.4
1751518800000,0.5902,0.6025,0.5902,0.6017,6220660.1
1751522400000,0.6017,0.6078,0.5994,0.6053,6928782.5
1751526000000,0.6052,0.6093,0.6017,0.6084,8563031.1
1751529600000,0.6085,0.6108,0.6051,0.6052,6519166.1
1751533200000,0.6053,0.6088,0.604,0.6068,4444947.3
1751536800000,0.6069,0.6074,0.6013,0.6035,3793032.8
1751540400000,0.6035,0.6049,0.6007,0.6037,3442821.6
1751544000000,0.6037,0.6119,0.5935,0.5991,12555747.0
1751547600000,0.5991,0.607,0.5964,0.6048,10535503.5
1751551200000,0.6047,0.6074,0.5966,0.5978,8680206.3
1751554800000,0.5979,0.5991,0.5866,0.5877,9365112.4
1751558400000,0.5877,0.5933,0.5874,0.5919,4585043.0
1751562000000,0.5919,0.5946,0.5917,0.5935,1324652.3
1751565600000,0.5936,0.5972,0.5936,0.5966,2326177.0
