timestamp,open,high,low,close,volume
1751328000000,17.97,17.98,17.96,17.96,835.83
1751328060000,17.96,17.97,17.96,17.97,938.43
1751328120000,17.97,17.97,17.96,17.97,509.48
1751328180000,17.96,17.98,17.96,17.98,65.6
1751328240000,17.97,17.98,17.95,17.97,1187.42
1751328300000,17.97,17.97,17.95,17.97,935.18
1751328360000,17.97,17.99,17.96,17.99,487.22
1751328420000,17.98,17.99,17.97,17.99,297.69
1751328480000,17.99,18.01,17.99,17.99,1119.49
1751328540000,18.0,18.02,17.99,18.02,231.65
1751328600000,18.03,18.03,17.99,18.01,1035.31
1751328660000,18.01,18.01,18.0,18.01,138.09
1751328720000,18.01,18.02,18.01,18.02,152.66
1751328780000,18.01,18.02,18.0,18.0,753.12
1751328840000,18.01,18.01,18.0,18.0,933.82
1751328900000,18.01,18.03,18.01,18.01,325.98
1751328960000,18.01,18.04,18.01,18.04,705.39
1751329020000,18.04,18.05,18.02,18.03,885.47
1751329080000,18.04,18.05,18.03,18.05,916.87
1751329140000,18.05,18.05,18.04,18.05,780.23
1751329200000,18.05,18.06,18.04,18.04,774.74
1751329260000,18.05,18.05,18.04,18.04,164.01
1751329320000,18.05,18.05,18.02,18.02,1059.9
1751329380000,18.02,18.02,18.0,18.01,512.04
1751329440000,18.01,18.01,17.97,17.97,518.21
1751329500000,17.97,17.97,17.94,17.97,1948.53
1751329560000,17.97,17.97,17.96,17.96,464.6
1751329620000,17.95,17.96,17.94,17.96,341.15
1751329680000,17.95,17.96,17.94,17.95,689.55
1751329740000,17.94,17.95,17.92,17.92,627.35
1751329800000,17.93,17.93,17.88,17.89,5895.48
1751329860000,17.88,17.9,17.88,17.89,522.91
1751329920000,17.89,17.9,17.89,17.9,843.12
1751329980000,17.89,17.89,17.86,17.86,1973.11
1751330040000,17.87,17.9,17.87,17.9,682.93
1751330100000,17.9,17.93,17.9,17.93,283.74
1751330160000,17.93,17.93,17.9,17.91,1307.21
1751330220000,17.91,17.91,17.89,17.91,306.0
1751330280000,17.92,17.92,17.91,17.91,766.32
1751330340000,17.91,17.93,17.9,17.9,408.16
1751330400000,17.91,17.92,17.9,17.9,641.37
1751330460000,17.89,17.92,17.89,17.9,580.61
1751330520000,17.91,17.93,17.91,17.93,308.56
1751330580000,17.92,17.93,17.91,17.92,583.35
1751330640000,17.92,17.93,17.91,17.93,833.19
1751330700000,17.94,17.96,17.93,17.94,1020.09
1751330760000,17.94,17.95,17.93,17.93,609.91
1751330820000,17.93,17.95,17.93,17.94,715.38
1751330880000,17.94,17.94,17.93,17.93,372.86
1751330940000,17.92,17.93,17.91,17.92,435.88
1751331000000,17.91,17.92,17.91,17.91,152.96
1751331060000,17.92,17.94,17.92,17.92,307.67
1751331120000,17.93,17.95,17.93,17.95,1036.33
1751331180000,17.95,17.96,17.93,17.93,567.89
1751331240000,17.93,17.95,17.93,17.94,154.65
1751331300000,17.95,17.95,17.93,17.93,646.78
1751331360000,17.94,17.94,17.93,17.93,211.09
1751331420000,17.93,17.93,17.92,17.92,205.48
1751331480000,17.92,17.93,17.92,17.93,194.01
1751331540000,17.93,17.95,17.93,17.93,282.62
1751331600000,17.94,17.94,17.93,17.94,661.87
1751331660000,17.94,17.95,17.93,17.95,382.32
1751331720000,17.95,17.96,17.94,17.94,702.71
1751331780000,17.95,17.96,17.94,17.96,353.49
1751331840000,17.95,17.95,17.91,17.93,780.02
1751331900000,17.93,17.93,17.91,17.92,301.97
1751331960000,17.91,17.94,17.91,17.94,1358.16
1751332020000,17.94,17.95,17.93,17.93,194.43
1751332080000,17.93,17.94,17.92,17.93,182.29
1751332140000,17.93,17.94,17.93,17.93,1373.26
1751332200000,17.93,17.94,17.93,17.93,662.78
1751332260000,17.94,17.95,17.92,17.92,138.47
1751332320000,17.93,17.94,17.93,17.93,126.26
1751332380000,17.93,17.95,17.92,17.94,645.89
1751332440000,17.95,17.98,17.95,17.97,472.48
1751332500000,17.98,17.98,17.96,17.96,138.73
1751332560000,17.97,17.99,17.96,17.99,871.67
1751332620000,17.98,17.99,17.97,17.97,264.77
1751332680000,17.98,17.98,17.97,17.98,337.5
1751332740000,17.97,17.98,17.96,17.98,137.73
1751332800000,17.99,17.99,17.96,17.96,97.64
1751332860000,17.97,17.98,17.97,17.98,246.55
1751332920000,17.98,17.99,17.97,17.98,147.21
1751332980000,17.99,18.0,17.98,17.99,737.28
1751333040000,18.0,18.0,17.98,18.0,770.57
1751333100000,18.0,18.0,17.99,17.99,319.05
1751333160000,17.99,17.99,17.97,17.97,518.93
1751333220000,17.98,18.0,17.98,17.99,139.12
1751333280000,18.0,18.0,17.97,17.98,768.66
1751333340000,17.97,17.98,17.97,17.98,179.73
1751333400000,17.98,17.99,17.97,17.98,614.5
1751333460000,17.97,17.97,17.95,17.95,604.8
1751333520000,17.95,17.97,17.95,17.97,735.59
1751333580000,17.96,17.99,17.95,17.99,1757.69
1751333640000,18.0,18.02,18.0,18.02,676.72
1751333700000,18.03,18.04,18.02,18.02,429.71
1751333760000,18.03,18.03,18.0,18.01,941.49
1751333820000,18.01,18.01,17.99,17.99,503.95
1751333880000,18.0,18.0,17.98,17.99,459.37
1751333940000,17.98,17.99,17.97,17.99,645.21
1751334000000,17.98,17.99,17.97,17.97,137.95
1751334060000,17.97,17.98,17.96,17.96,1202.77
1751334120000,17.96,17.96,17.95,17.95,453.23
1751334180000,17.95,17.95,17.94,17.94,234.24
1751334240000,17.95,17.95,17.93,17.94,330.26
1751334300000,17.94,17.94,17.93,17.94,164.53
1751334360000,17.95,17.96,17.94,17.94,1340.78
1751334420000,17.93,17.96,17.93,17.95,837.4
1751334480000,17.95,17.95,17.94,17.95,81.28
1751334540000,17.95,17.96,17.95,17.96,814.52
1751334600000,17.96,17.97,17.96,17.97,635.88
1751334660000,17.96,17.96,17.93,17.93,867.05
1751334720000,17.93,17.93,17.9,17.9,1875.48
1751334780000,17.91,17.92,17.9,17.92,157.67
1751334840000,17.91,17.91,17.9,17.9,1554.75
1751334900000,17.9,17.92,17.89,17.91,688.79
1751334960000,17.91,17.92,17.9,17.92,228.75
1751335020000,17.91,17.92,17.91,17.91,109.13
1751335080000,17.91,17.91,17.9,17.91,539.01
1751335140000,17.91,17.91,17.89,17.89,92.54
1751335200000,17.9,17.9,17.87,17.88,846.8
1751335260000,17.88,17.88,17.87,17.88,248.85
1751335320000,17.88,17.88,17.86,17.87,1986.13
1751335380000,17.87,17.87,17.85,17.85,2785.53
1751335440000,17.86,17.88,17.86,17.88,908.99
1751335500000,17.87,17.89,17.87,17.88,1976.93
1751335560000,17.88,17.89,17.88,17.88,357.73
1751335620000,17.88,17.89,17.86,17.86,622.73
1751335680000,17.87,17.88,17.86,17.87,81.31
1751335740000,17.87,17.88,17.86,17.87,459.18
1751335800000,17.87,17.88,17.86,17.88,695.77
1751335860000,17.88,17.89,17.88,17.89,38.5
1751335920000,17.88,17.89,17.87,17.87,166.79
1751335980000,17.88,17.88,17.86,17.86,461.06
1751336040000,17.85,17.87,17.85,17.86,354.62
1751336100000,17.86,17.86,17.84,17.86,314.49
1751336160000,17.85,17.86,17.85,17.86,118.29
1751336220000,17.86,17.88,17.86,17.86,1199.08
