timestamp,open,high,low,close,volume
1759276800000,30.02,30.1,29.79,30.0,110176.07
1759280400000,30.0,30.24,29.94,30.19,139857.36
1759284000000,30.2,30.21,29.89,29.93,82730.88
1759287600000,29.94,29.97,29.62,29.65,107482.6
1759291200000,29.64,30.04,29.61,29.9,123016.65
1759294800000,29.9,30.04,29.87,29.9,64675.87
1759298400000,29.89,29.97,29.68,29.69,99162.88
1759302000000,29.68,30.1,29.67,30.01,148461.53
1759305600000,30.01,30.93,30.0,30.88,461484.69
1759309200000,30.88,31.09,30.81,31.08,348274.62
1759312800000,31.08,31.1,30.6,30.73,168455.31
1759316400000,30.74,30.87,30.71,30.8,107301.91
1759320000000,30.8,30.84,30.52,30.55,179886.88
1759323600000,30.54,30.7,30.36,30.53,176745.43
1759327200000,30.52,30.78,30.43,30.45,258404.8
1759330800000,30.45,30.67,30.43,30.59,256862.55
1759334400000,30.58,30.64,30.46,30.55,167781.44
1759338000000,30.54,30.59,30.48,30.52,107506.76
1759341600000,30.52,30.63,30.51,30.53,113737.71
1759345200000,30.53,30.73,30.52,30.61,162571.98
1759348800000,30.6,30.65,30.52,30.57,111711.42
1759352400000,30.57,30.61,30.44,30.56,106154.25
1759356000000,30.57,30.61,30.49,30.57,138037.23
1759359600000,30.57,30.74,30.52,30.73,142711.11
1759363200000,30.74,31.35,30.52,30.55,331368.07
1759366800000,30.56,31.01,30.45,30.95,279758.0
1759370400000,30.94,31.38,30.75,31.31,204615.71
1759374000000,31.3,31.33,30.77,30.86,353551.83
1759377600000,30.86,30.91,30.59,30.9,213398.51
1759381200000,30.89,30.96,30.73,30.75,198385.61
1759384800000,30.75,30.94,30.58,30.76,278145.77
1759388400000,30.76,30.76,30.58,30.59,191857.37
1759392000000,30.59,30.65,30.49,30.53,216801.06
1759395600000,30.52,30.63,30.42,30.53,223805.92
1759399200000,30.53,30.64,30.49,30.58,178222.76
1759402800000,30.57,30.66,30.5,30.52,138113.96
1759406400000,30.52,30.75,30.51,30.61,200190.14
1759410000000,30.62,30.67,29.48,30.28,1262674.54
1759413600000,30.28,30.42,29.66,29.77,585497.63
1759417200000,29.77,30.05,29.54,30.01,361231.22
1759420800000,30.02,30.3,29.94,30.23,421048.71
1759424400000,30.23,30.52,30.17,30.5,176846.31
1759428000000,30.5,30.76,30.49,30.69,163869.69
1759431600000,30.7,31.15,30.61,31.01,392908.32
1759435200000,31.02,31.25,30.81,30.92,276647.4
