week_start,pnl_usd,pnl_pct,win_rate,trades,profit_factor
2021-12-01,0,0,0,0,0
2021-12-08,0,0,0,0,0
2021-12-15,0,0,0,0,0
2021-12-22,0,0,0,0,0
2021-12-29,0,0,0,0,0
2022-01-05,0,0,0,0,0
2022-01-12,0,0,0,0,0
2022-01-19,0,0,0,0,0
2022-01-26,0,0,0,0,0
2022-02-02,0,0,0,0,0
2022-02-09,0,0,0,0,0
2022-02-16,0,0,0,0,0
2022-02-23,0,0,0,0,0
2022-03-02,0,0,0,0,0
2022-03-09,0,0,0,0,0
2022-03-16,0,0,0,0,0
2022-03-23,0,0,0,0,0
2022-03-30,0,0,0,0,0
2022-04-06,0,0,0,0,0
2022-04-13,0,0,0,0,0
2022-04-20,0,0,0,0,0
2022-04-27,0,0,0,0,0
2022-05-04,0,0,0,0,0
2022-05-11,0,0,0,0,0
2022-05-18,0,0,0,0,0
2022-05-25,0,0,0,0,0
2022-06-01,0,0,0,0,0
2022-06-08,0,0,0,0,0
2022-06-15,0,0,0,0,0
2022-06-22,0,0,0,0,0
2022-06-29,0,0,0,0,0
2022-07-06,0,0,0,0,0
2022-07-13,0,0,0,0,0
2022-07-20,0,0,0,0,0
2022-07-27,0,0,0,0,0
2022-08-03,0,0,0,0,0
2022-08-10,0,0,0,0,0
2022-08-17,0,0,0,0,0
2022-08-24,0,0,0,0,0
2022-08-31,0,0,0,0,0
2022-09-07,0,0,0,0,0
2022-09-14,0,0,0,0,0
2022-09-21,0,0,0,0,0
2022-09-28,0,0,0,0,0
2022-10-05,0,0,0,0,0
2022-10-12,0,0,0,0,0
2022-10-19,0,0,0,0,0
2022-10-26,0,0,0,0,0
2022-11-02,0,0,0,0,0
2022-11-09,0,0,0,0,0
2022-11-16,0,0,0,0,0
2022-11-23,0,0,0,0,0
2022-11-30,0,0,0,0,0
