timestamp,open,high,low,close,volume
1638921600000,39.13,39.14,39.11,39.13,880.15
1638921660000,39.14,39.15,39.05,39.06,3296.67
1638921720000,39.06,39.06,39.01,39.03,2342.1
1638921780000,39.04,39.04,38.96,38.96,1832.37
1638921840000,38.97,38.97,38.93,38.93,1670.35
1638921900000,38.93,38.95,38.91,38.92,1271.85
1638921960000,38.93,38.95,38.91,38.92,1400.59
1638922020000,38.9,38.9,38.8,38.89,3016.75
1638922080000,38.89,39.04,38.89,39.0,5272.05
1638922140000,39.0,39.03,38.89,39.03,4179.26
1638922200000,39.03,39.08,39.0,39.0,3995.46
1638922260000,38.99,38.99,38.88,38.92,2804.58
1638922320000,38.91,38.91,38.87,38.88,1908.41
1638922380000,38.88,38.93,38.86,38.93,2141.01
1638922440000,38.94,38.99,38.93,38.98,1529.54
1638922500000,38.99,38.99,38.9,38.98,2949.39
1638922560000,38.97,38.97,38.92,38.93,2675.77
1638922620000,38.92,38.92,38.88,38.91,2691.37
1638922680000,38.91,38.94,38.9,38.9,926.28
1638922740000,38.9,38.94,38.9,38.93,1549.56
1638922800000,38.93,38.97,38.92,38.94,694.55
1638922860000,38.94,38.94,38.88,38.88,1268.81
1638922920000,38.88,38.88,38.85,38.86,1973.61
1638922980000,38.85,38.87,38.85,38.87,2901.04
1638923040000,38.86,38.86,38.8,38.8,4102.66
1638923100000,38.8,38.83,38.8,38.81,960.28
1638923160000,38.81,38.88,38.81,38.88,1752.41
1638923220000,38.89,38.9,38.86,38.88,3578.42
1638923280000,38.89,39.01,38.89,39.0,3013.77
1638923340000,39.01,39.02,38.96,39.0,2819.49
1638923400000,38.99,39.06,38.99,39.04,2314.05
1638923460000,39.03,39.05,38.97,38.97,2011.57
1638923520000,38.98,38.99,38.94,38.98,2331.17
1638923580000,38.97,39.12,38.94,39.12,3649.39
1638923640000,39.12,39.14,39.08,39.14,1159.59
1638923700000,39.15,39.26,39.15,39.26,2200.99
1638923760000,39.26,39.29,39.19,39.27,5054.14
1638923820000,39.27,39.33,39.26,39.29,3788.78
1638923880000,39.3,39.41,39.29,39.38,2331.73
1638923940000,39.39,39.41,39.35,39.37,4341.22
1638924000000,39.38,39.39,39.29,39.29,2524.54
1638924060000,39.3,39.33,39.26,39.33,4616.01
1638924120000,39.33,39.33,39.28,39.31,2229.18
1638924180000,39.32,39.38,39.32,39.33,2721.04
1638924240000,39.33,39.37,39.31,39.37,1971.83
1638924300000,39.36,39.38,39.34,39.38,3074.52
1638924360000,39.38,39.38,39.29,39.3,1111.67
1638924420000,39.3,39.44,39.3,39.41,3814.11
1638924480000,39.41,39.41,39.33,39.35,1908.13
1638924540000,39.36,39.38,39.32,39.35,751.87
1638924600000,39.36,39.37,39.28,39.31,1840.91
1638924660000,39.3,39.31,39.25,39.26,2338.75
1638924720000,39.25,39.25,39.24,39.25,506.23
1638924780000,39.25,39.26,39.22,39.23,2013.88
1638924840000,39.23,39.26,39.23,39.25,1294.13
1638924900000,39.25,39.33,39.25,39.29,2171.54
1638924960000,39.29,39.3,39.26,39.28,1204.33
1638925020000,39.29,39.32,39.29,39.31,1400.04
1638925080000,39.31,39.36,39.31,39.32,2089.3
1638925140000,39.31,39.4,39.31,39.4,2112.46
1638925200000,39.39,39.43,39.35,39.41,1330.95
1638925260000,39.42,39.45,39.4,39.4,3987.32
1638925320000,39.39,39.44,39.36,39.44,1235.23
1638925380000,39.44,39.48,39.43,39.48,1213.79
1638925440000,39.49,39.59,39.49,39.58,2950.18
1638925500000,39.59,39.64,39.58,39.6,5523.82
1638925560000,39.6,39.63,39.58,39.58,1773.6
1638925620000,39.59,39.59,39.52,39.53,1613.17
1638925680000,39.52,39.6,39.52,39.58,1446.99
1638925740000,39.57,39.64,39.55,39.64,3228.16
1638925800000,39.64,39.64,39.57,39.59,2031.01
1638925860000,39.6,39.64,39.6,39.61,2377.15
1638925920000,39.6,39.62,39.58,39.61,819.31
1638925980000,39.61,39.63,39.59,39.61,1660.1
1638926040000,39.61,39.81,39.61,39.81,10373.96
1638926100000,39.8,40.13,39.78,40.12,23661.45
1638926160000,40.12,41.44,40.05,41.44,123722.04
1638926220000,41.43,41.88,41.17,41.44,72829.18
1638926280000,41.44,42.06,41.35,41.84,45209.78
1638926340000,41.83,42.07,41.61,41.74,39613.27
1638926400000,41.74,42.69,41.71,42.07,76180.19
1638926460000,42.08,42.6,42.08,42.45,40501.03
1638926520000,42.45,42.95,42.19,42.88,40029.17
1638926580000,42.87,43.1,42.56,42.97,50797.12
1638926640000,42.97,43.35,42.74,42.83,45814.62
1638926700000,42.82,42.98,42.51,42.82,53706.65
1638926760000,42.81,42.89,42.38,42.45,25043.69
1638926820000,42.45,42.72,42.38,42.42,22683.8
1638926880000,42.42,42.62,42.35,42.36,21267.19
1638926940000,42.36,42.43,42.24,42.31,15235.96
1638927000000,42.3,42.99,42.24,42.95,48470.48
1638927060000,42.95,42.96,42.53,42.93,28267.28
1638927120000,42.94,42.98,42.53,42.56,25881.77
1638927180000,42.57,43.07,42.53,43.07,29180.67
1638927240000,43.08,43.61,43.08,43.17,63888.48
1638927300000,43.18,43.55,42.97,43.37,62100.45
1638927360000,43.36,43.39,43.0,43.04,21602.49
1638927420000,43.05,43.35,42.93,43.33,30651.92
1638927480000,43.34,43.35,42.89,42.95,17916.87
1638927540000,42.95,43.16,42.94,43.05,11806.03
1638927600000,43.05,43.31,42.97,43.23,26581.09
