timestamp,open,high,low,close,volume
1640131200000,15.05,15.12,14.96,14.98,79371.31
1640134800000,14.97,15.28,14.96,15.28,70183.16
1640138400000,15.27,15.44,15.21,15.34,87096.76
1640142000000,15.34,15.4,15.32,15.38,32178.2
1640145600000,15.38,15.4,15.35,15.38,31918.85
1640149200000,15.38,15.38,15.25,15.28,32733.8
1640152800000,15.28,15.33,15.27,15.31,19845.49
1640156400000,15.3,15.43,15.3,15.38,19636.84
1640160000000,15.39,15.54,15.35,15.43,53653.79
1640163600000,15.43,15.49,15.08,15.18,104402.71
1640167200000,15.19,15.32,15.16,15.29,62873.3
1640170800000,15.29,15.41,15.28,15.41,32022.27
1640174400000,15.42,15.5,15.0,15.08,93480.16
1640178000000,15.08,15.96,15.06,15.23,463326.26
1640181600000,15.23,15.44,15.18,15.42,127585.43
1640185200000,15.41,15.62,15.39,15.61,73595.79
1640188800000,15.6,15.79,15.54,15.57,84195.26
1640192400000,15.58,15.61,15.39,15.47,54463.67
1640196000000,15.48,15.66,15.43,15.54,52981.97
1640199600000,15.53,15.64,15.48,15.63,26050.03
1640203200000,15.62,15.82,15.58,15.71,60394.63
1640206800000,15.72,15.89,15.66,15.87,81995.78
1640210400000,15.87,15.91,15.71,15.89,68535.06
1640214000000,15.89,18.0,15.79,16.23,660231.03
1640217600000,16.22,16.41,15.92,16.18,286487.72
1640221200000,16.18,16.54,16.1,16.47,231919.89
1640224800000,16.46,17.02,16.36,16.8,488252.43
1640228400000,16.81,17.15,16.68,17.05,235953.48
1640232000000,17.05,17.09,16.78,16.82,268822.1
1640235600000,16.82,16.91,16.67,16.7,120165.77
1640239200000,16.68,16.86,16.63,16.81,96405.46
1640242800000,16.81,16.83,16.35,16.43,134673.65
1640246400000,16.44,16.79,16.4,16.68,116885.34
1640250000000,16.66,16.67,16.42,16.52,136301.72
1640253600000,16.51,16.79,16.51,16.7,95821.38
1640257200000,16.71,16.92,16.63,16.68,170864.65
1640260800000,16.68,16.96,16.67,16.83,84581.64
1640264400000,16.83,17.0,16.79,16.83,83404.89
1640268000000,16.83,17.35,16.78,17.25,222515.41
1640271600000,17.25,17.52,17.24,17.49,209469.46
1640275200000,17.49,17.83,17.42,17.83,263020.19
1640278800000,17.83,18.01,17.66,17.78,275687.92
1640282400000,17.78,18.0,17.76,17.87,140334.13
1640286000000,17.87,18.0,17.78,17.94,121307.07
1640289600000,17.95,18.06,17.82,17.93,90868.78
1640293200000,17.94,18.1,17.84,17.87,96153.96
1640296800000,17.87,18.15,17.87,17.96,85827.13
1640300400000,17.95,18.26,17.95,18.17,80453.97
1640304000000,18.18,18.19,17.86,17.91,137777.06
1640307600000,17.91,18.27,17.89,17.9,149384.32
1640311200000,17.91,17.92,17.67,17.68,96350.0
1640314800000,17.7,17.73,17.53,17.6,101657.94
1640318400000,17.6,17.65,17.54,17.59,47027.35
1640322000000,17.59,17.65,17.39,17.64,70330.09
1640325600000,17.64,17.78,17.53,17.72,68994.4
1640329200000,17.73,17.93,17.69,17.76,73684.8
1640332800000,17.76,17.97,17.71,17.76,109757.37
1640336400000,17.76,17.85,17.65,17.82,95224.37
1640340000000,17.81,17.96,17.77,17.93,105782.45
1640343600000,17.92,18.0,17.71,17.77,92924.45
1640347200000,17.75,18.08,17.63,17.8,219143.21
1640350800000,17.79,17.88,17.69,17.76,56189.17
1640354400000,17.77,17.94,17.64,17.65,61159.71
1640358000000,17.64,18.02,17.4,17.99,190691.14
1640361600000,17.99,18.27,17.88,18.09,148288.63
1640365200000,18.1,18.16,17.88,18.0,46847.91
1640368800000,17.99,18.22,17.99,18.19,50511.9
1640372400000,18.19,18.29,17.88,17.92,100609.72
1640376000000,17.91,17.99,17.77,17.91,49405.31
1640379600000,17.9,17.97,17.83,17.85,22226.21
1640383200000,17.84,17.87,17.53,17.63,58116.81
1640386800000,17.63,17.64,17.23,17.49,144975.34
1640390400000,17.51,17.84,17.34,17.83,89131.39
1640394000000,17.82,17.84,17.53,17.67,49940.41
1640397600000,17.67,17.78,17.5,17.5,58321.45
1640401200000,17.49,17.63,17.48,17.52,34688.43
1640404800000,17.52,17.63,17.5,17.54,28371.55
1640408400000,17.54,17.66,17.53,17.56,24473.9
1640412000000,17.56,17.69,17.39,17.66,39733.28
1640415600000,17.66,17.67,17.48,17.53,34185.41
1640419200000,17.53,17.6,17.41,17.58,29071.25
1640422800000,17.58,17.64,17.46,17.46,29045.11
1640426400000,17.47,17.48,17.24,17.29,74700.38
1640430000000,17.29,17.45,17.26,17.39,28538.84
1640433600000,17.4,17.63,17.4,17.5,42652.98
1640437200000,17.5,17.68,17.46,17.67,79862.38
1640440800000,17.67,17.67,17.44,17.51,36515.0
1640444400000,17.51,17.56,17.39,17.47,65524.43
1640448000000,17.47,17.53,17.29,17.37,54232.18
1640451600000,17.38,17.4,17.07,17.32,110048.63
1640455200000,17.31,17.53,17.19,17.3,103055.23
1640458800000,17.3,17.38,17.27,17.38,24021.75
1640462400000,17.38,17.47,17.34,17.42,38377.37
1640466000000,17.43,17.51,17.36,17.4,50465.36
1640469600000,17.4,17.53,17.31,17.37,36777.28
1640473200000,17.36,17.59,17.31,17.46,55408.44
1640476800000,17.47,17.48,17.31,17.39,47056.67
1640480400000,17.38,17.59,17.38,17.53,33182.05
1640484000000,17.53,17.57,17.17,17.29,74989.48
1640487600000,17.28,17.28,16.71,16.83,180376.96
1640491200000,16.82,16.97,16.78,16.95,56582.65
1640494800000,16.95,16.98,16.71,16.76,74168.35
1640498400000,16.76,16.84,16.74,16.79,36852.24
1640502000000,16.79,16.96,16.73,16.92,36915.43
1640505600000,16.92,17.03,16.87,16.94,46564.16
1640509200000,16.93,17.09,16.91,17.05,41952.61
1640512800000,17.06,17.11,17.0,17.05,27994.51
1640516400000,17.05,17.07,16.73,16.91,69722.94
1640520000000,16.9,17.1,16.84,17.07,53318.81
1640523600000,17.08,17.14,17.04,17.13,48154.14
1640527200000,17.13,17.28,17.11,17.25,76416.78
1640530800000,17.25,17.41,17.24,17.33,52994.0
1640534400000,17.34,17.64,17.33,17.6,80802.99
1640538000000,17.6,17.75,17.56,17.74,71703.29
1640541600000,17.74,17.98,17.65,17.92,134611.65
1640545200000,17.91,18.39,17.9,18.32,174220.3
1640548800000,18.32,18.57,18.29,18.52,114740.9
1640552400000,18.52,18.65,18.22,18.54,110095.69
