timestamp,open,high,low,close,volume
1650412800000,1.223,1.223,1.204,1.209,129237.2
1650416400000,1.208,1.21,1.201,1.205,115349.1
1650420000000,1.205,1.206,1.201,1.205,63052.7
1650423600000,1.205,1.207,1.201,1.202,50914.5
1650427200000,1.202,1.209,1.195,1.204,230568.4
1650430800000,1.203,1.205,1.2,1.204,66914.4
1650434400000,1.205,1.208,1.203,1.207,47523.9
1650438000000,1.207,1.211,1.199,1.203,92213.0
1650441600000,1.204,1.207,1.202,1.206,45945.0
1650445200000,1.206,1.21,1.205,1.208,66803.0
1650448800000,1.207,1.213,1.204,1.212,124741.8
1650452400000,1.212,1.22,1.21,1.217,189284.4
1650456000000,1.217,1.219,1.209,1.214,110089.7
1650459600000,1.215,1.215,1.194,1.196,174169.1
1650463200000,1.196,1.199,1.191,1.193,138450.5
1650466800000,1.192,1.192,1.172,1.182,144586.3
1650470400000,1.182,1.187,1.173,1.186,57992.4
1650474000000,1.186,1.191,1.184,1.188,70841.1
1650477600000,1.187,1.187,1.167,1.168,67943.5
1650481200000,1.168,1.176,1.168,1.172,39954.2
1650484800000,1.171,1.179,1.17,1.178,36059.8
1650488400000,1.179,1.183,1.175,1.177,67823.9
1650492000000,1.177,1.186,1.177,1.183,43568.4
1650495600000,1.184,1.186,1.18,1.185,76437.6
1650499200000,1.184,1.187,1.181,1.183,48618.5
1650502800000,1.183,1.19,1.178,1.188,92955.4
1650506400000,1.188,1.191,1.185,1.187,28361.0
1650510000000,1.187,1.189,1.183,1.184,46818.5
1650513600000,1.184,1.186,1.178,1.181,41421.8
1650517200000,1.182,1.188,1.176,1.177,64689.9
1650520800000,1.176,1.185,1.174,1.177,52475.8
1650524400000,1.178,1.189,1.177,1.187,53207.1
1650528000000,1.187,1.189,1.182,1.186,47797.8
1650531600000,1.186,1.19,1.175,1.181,66456.0
1650535200000,1.181,1.203,1.18,1.2,182979.8
1650538800000,1.2,1.209,1.199,1.204,125536.8
1650542400000,1.204,1.207,1.2,1.202,72551.2
1650546000000,1.203,1.207,1.2,1.201,84163.2
1650549600000,1.202,1.218,1.197,1.201,544689.8
