timestamp,open,high,low,close,volume
1652832000000,0.574,0.574,0.573,0.573,342.6
1652832060000,0.573,0.573,0.573,0.573,3163.2
1652832120000,0.574,0.575,0.573,0.575,4981.6
1652832180000,0.576,0.576,0.574,0.574,5015.8
1652832240000,0.574,0.574,0.574,0.574,388.9
1652832300000,0.576,0.578,0.576,0.576,9058.9
1652832360000,0.577,0.577,0.577,0.577,600.9
1652832420000,0.577,0.577,0.577,0.577,917.6
1652832480000,0.577,0.581,0.577,0.58,4801.4
1652832540000,0.581,0.581,0.58,0.58,950.5
1652832600000,0.58,0.58,0.58,0.58,13171.0
1652832660000,0.58,0.58,0.58,0.58,368.3
1652832720000,0.58,0.58,0.578,0.578,14943.5
1652832780000,0.578,0.578,0.578,0.578,852.6
1652832840000,0.578,0.578,0.578,0.578,386.1
1652832900000,0.579,0.579,0.577,0.577,424.1
1652832960000,0.577,0.577,0.576,0.576,8173.8
1652833020000,0.576,0.576,0.576,0.576,390.3
1652833080000,0.577,0.578,0.576,0.576,1718.0
1652833140000,0.578,0.58,0.578,0.579,5294.6
1652833200000,0.579,0.579,0.579,0.579,722.2
1652833260000,0.579,0.579,0.579,0.579,5470.3
1652833320000,0.578,0.578,0.578,0.578,2993.3
1652833380000,0.578,0.578,0.576,0.578,6369.1
1652833440000,0.576,0.577,0.576,0.576,385.8
1652833500000,0.576,0.576,0.576,0.576,404.9
1652833560000,0.576,0.578,0.576,0.578,10259.2
1652833620000,0.576,0.576,0.576,0.576,376.0
1652833680000,0.577,0.577,0.577,0.577,369.4
1652833740000,0.577,0.577,0.577,0.577,380.8
1652833800000,0.577,0.577,0.577,0.577,509.0
1652833860000,0.577,0.577,0.577,0.577,383.5
1652833920000,0.577,0.577,0.577,0.577,370.6
1652833980000,0.577,0.577,0.577,0.577,406.9
1652834040000,0.579,0.579,0.577,0.577,1395.6
1652834100000,0.578,0.578,0.578,0.578,382.4
1652834160000,0.578,0.578,0.577,0.577,5181.3
1652834220000,0.577,0.577,0.577,0.577,408.1
1652834280000,0.577,0.577,0.577,0.577,372.0
1652834340000,0.577,0.577,0.576,0.576,3607.9
1652834400000,0.576,0.576,0.575,0.575,1621.6
1652834460000,0.575,0.575,0.574,0.574,9208.0
1652834520000,0.574,0.574,0.573,0.573,3926.9
1652834580000,0.575,0.575,0.573,0.573,394.6
1652834640000,0.574,0.574,0.573,0.573,365.0
1652834700000,0.574,0.574,0.574,0.574,399.2
1652834760000,0.573,0.573,0.573,0.573,396.1
1652834820000,0.573,0.573,0.573,0.573,403.4
1652834880000,0.573,0.573,0.573,0.573,376.6
1652834940000,0.573,0.573,0.573,0.573,388.9
1652835000000,0.573,0.573,0.573,0.573,374.4
1652835060000,0.573,0.573,0.573,0.573,10693.7
1652835120000,0.572,0.573,0.572,0.572,578.4
1652835180000,0.571,0.571,0.569,0.57,20267.3
1652835240000,0.57,0.57,0.57,0.57,402.3
1652835300000,0.57,0.57,0.57,0.57,388.2
1652835360000,0.57,0.57,0.57,0.57,389.4
1652835420000,0.571,0.571,0.57,0.57,388.1
1652835480000,0.572,0.572,0.571,0.571,2212.2
1652835540000,0.57,0.571,0.57,0.57,508.7
1652835600000,0.572,0.572,0.571,0.571,3467.7
1652835660000,0.571,0.573,0.571,0.571,1485.3
1652835720000,0.573,0.573,0.571,0.571,3629.0
1652835780000,0.571,0.571,0.571,0.571,269.0
1652835840000,0.571,0.571,0.571,0.571,487.5
1652835900000,0.571,0.571,0.571,0.571,368.9
1652835960000,0.571,0.571,0.571,0.571,411.2
1652836020000,0.571,0.571,0.571,0.571,269.0
1652836080000,0.572,0.572,0.57,0.571,528.1
1652836140000,0.571,0.571,0.571,0.571,269.0
1652836200000,0.571,0.572,0.571,0.571,1659.9
1652836260000,0.57,0.572,0.57,0.571,3308.8
1652836320000,0.572,0.572,0.571,0.571,1980.3
