timestamp,open,high,low,close,volume
1654646400000,24.6,24.62,24.53,24.55,3475.09
1654646460000,24.55,24.73,24.55,24.73,4894.42
1654646520000,24.73,24.74,24.55,24.55,6104.28
1654646580000,24.55,24.59,24.53,24.57,4170.3
1654646640000,24.57,24.6,24.52,24.57,1805.18
1654646700000,24.56,24.56,24.46,24.5,6603.48
1654646760000,24.5,24.52,24.4,24.42,3881.65
1654646820000,24.42,24.44,24.37,24.4,2244.97
1654646880000,24.41,24.47,24.4,24.42,4198.03
1654646940000,24.42,24.46,24.42,24.44,2024.59
1654647000000,24.43,24.5,24.42,24.49,2803.47
1654647060000,24.5,24.55,24.46,24.48,1865.44
1654647120000,24.48,24.52,24.47,24.47,776.94
1654647180000,24.48,24.55,24.48,24.55,1245.67
1654647240000,24.54,24.63,24.54,24.63,2003.92
1654647300000,24.63,24.66,24.58,24.59,4957.75
1654647360000,24.6,24.61,24.55,24.56,1229.3
1654647420000,24.57,24.6,24.51,24.51,986.27
1654647480000,24.52,24.54,24.5,24.51,1804.46
1654647540000,24.52,24.53,24.5,24.5,2368.94
1654647600000,24.5,24.51,24.47,24.49,1059.67
1654647660000,24.5,24.53,24.46,24.48,1502.58
1654647720000,24.5,24.62,24.5,24.59,1241.68
1654647780000,24.61,24.71,24.61,24.65,2774.3
1654647840000,24.66,24.68,24.61,24.62,1254.81
1654647900000,24.63,24.66,24.62,24.66,1244.71
1654647960000,24.66,24.7,24.66,24.69,2413.44
1654648020000,24.69,24.7,24.64,24.65,730.58
1654648080000,24.64,24.75,24.64,24.75,2632.16
1654648140000,24.75,24.79,24.72,24.77,1490.86
1654648200000,24.77,24.84,24.75,24.78,4289.94
1654648260000,24.78,24.8,24.75,24.75,761.11
1654648320000,24.75,24.79,24.75,24.77,926.67
1654648380000,24.78,24.81,24.73,24.74,3064.23
1654648440000,24.75,24.8,24.74,24.8,602.34
1654648500000,24.79,24.79,24.7,24.74,2587.83
1654648560000,24.74,24.83,24.71,24.82,4851.43
1654648620000,24.83,24.86,24.81,24.84,1424.67
1654648680000,24.85,24.89,24.81,24.83,3355.46
1654648740000,24.84,24.89,24.84,24.86,1507.04
1654648800000,24.86,24.86,24.8,24.83,1431.73
1654648860000,24.83,24.92,24.83,24.92,2095.34
1654648920000,24.91,24.92,24.86,24.91,1230.02
1654648980000,24.91,24.94,24.88,24.89,3082.16
1654649040000,24.88,24.88,24.77,24.8,3236.01
1654649100000,24.79,24.86,24.78,24.82,4673.18
1654649160000,24.81,24.83,24.78,24.82,1105.36
1654649220000,24.82,24.84,24.79,24.79,861.15
1654649280000,24.78,24.79,24.75,24.75,1080.02
1654649340000,24.75,24.78,24.72,24.75,1194.63
1654649400000,24.74,24.77,24.74,24.77,690.84
1654649460000,24.77,24.81,24.77,24.8,369.81
1654649520000,24.8,24.85,24.8,24.85,1156.83
1654649580000,24.84,24.84,24.81,24.83,298.6
1654649640000,24.84,24.87,24.84,24.86,346.86
1654649700000,24.86,24.88,24.86,24.86,305.45
1654649760000,24.85,24.86,24.8,24.8,1377.12
1654649820000,24.79,24.79,24.71,24.72,1551.38
1654649880000,24.72,24.74,24.68,24.73,2197.87
1654649940000,24.73,24.75,24.71,24.71,647.72
1654650000000,24.71,24.72,24.64,24.66,3085.72
1654650060000,24.67,24.71,24.63,24.63,690.71
1654650120000,24.63,24.66,24.57,24.57,2169.48
1654650180000,24.58,24.59,24.47,24.53,6143.39
1654650240000,24.53,24.6,24.48,24.48,3483.84
1654650300000,24.48,24.51,24.3,24.35,5932.47
1654650360000,24.35,24.37,24.26,24.32,4449.76
1654650420000,24.32,24.41,24.27,24.31,10755.87
1654650480000,24.3,24.32,24.21,24.28,7025.23
1654650540000,24.28,24.43,24.26,24.42,4275.01
1654650600000,24.41,24.52,24.36,24.36,5863.84
1654650660000,24.36,24.44,24.34,24.41,2446.07
1654650720000,24.43,24.45,24.39,24.39,1851.75
1654650780000,24.38,24.44,24.32,24.39,2807.46
1654650840000,24.39,24.46,24.39,24.45,3270.17
1654650900000,24.44,24.59,24.43,24.46,6482.39
1654650960000,24.47,24.56,24.44,24.45,3377.47
1654651020000,24.44,24.47,24.4,24.41,4562.63
1654651080000,24.4,24.47,24.4,24.45,2936.79
1654651140000,24.46,24.49,24.42,24.42,2688.72
1654651200000,24.41,24.43,24.38,24.38,1818.74
1654651260000,24.39,24.43,24.38,24.41,1134.66
1654651320000,24.42,24.5,24.4,24.49,903.45
1654651380000,24.48,24.53,24.47,24.5,2111.49
1654651440000,24.51,24.55,24.51,24.51,2474.79
1654651500000,24.5,24.57,24.5,24.53,2063.5
1654651560000,24.54,24.55,24.49,24.51,1971.7
1654651620000,24.52,24.54,24.52,24.52,713.54
1654651680000,24.52,24.55,24.51,24.54,556.02
1654651740000,24.53,24.56,24.5,24.51,3680.18
1654651800000,24.52,24.52,24.47,24.48,968.53
1654651860000,24.48,24.58,24.47,24.58,936.66
1654651920000,24.57,24.67,24.57,24.65,7248.91
1654651980000,24.64,24.69,24.61,24.61,4086.76
1654652040000,24.6,24.62,24.53,24.53,5102.03
1654652100000,24.55,24.58,24.54,24.54,6516.13
1654652160000,24.54,24.55,24.5,24.51,17536.28
1654652220000,24.51,24.52,24.5,24.51,1122.41
1654652280000,24.52,24.52,24.44,24.47,4279.67
1654652340000,24.47,24.53,24.45,24.46,2375.74
1654652400000,24.47,24.49,24.47,24.49,1717.28
1654652460000,24.48,24.48,24.4,24.4,1711.03
1654652520000,24.42,24.43,24.36,24.37,3270.14
1654652580000,24.38,24.43,24.36,24.42,989.14
1654652640000,24.41,24.51,24.41,24.49,1546.22
1654652700000,24.49,24.51,24.46,24.46,1130.32
1654652760000,24.46,24.49,24.43,24.45,427.61
1654652820000,24.45,24.46,24.4,24.4,1141.39
1654652880000,24.4,24.4,24.35,24.38,1600.48
1654652940000,24.38,24.42,24.37,24.38,1160.34
1654653000000,24.38,24.5,24.38,24.5,994.11
1654653060000,24.5,24.54,24.5,24.54,2804.13
1654653120000,24.52,24.58,24.52,24.53,3056.48
1654653180000,24.53,24.62,24.52,24.62,2175.92
1654653240000,24.61,24.69,24.61,24.68,2757.91
1654653300000,24.68,24.71,24.66,24.68,1512.16
1654653360000,24.68,24.73,24.68,24.71,1390.43
1654653420000,24.72,24.77,24.71,24.75,1452.12
1654653480000,24.75,24.78,24.74,24.74,967.18
1654653540000,24.75,24.78,24.74,24.77,972.64
1654653600000,24.77,24.79,24.75,24.78,1706.77
1654653660000,24.77,24.81,24.75,24.81,1436.83
1654653720000,24.81,24.82,24.77,24.78,1812.56
1654653780000,24.78,24.79,24.77,24.78,290.57
1654653840000,24.78,24.87,24.78,24.87,2555.23
1654653900000,24.86,24.95,24.86,24.93,3004.0
1654653960000,24.95,25.1,24.94,25.09,6817.76
1654654020000,25.08,25.34,25.04,25.3,18333.34
1654654080000,25.3,25.45,25.27,25.39,14234.85
1654654140000,25.39,25.41,25.32,25.32,3295.87
1654654200000,25.32,25.34,25.22,25.23,4380.16
1654654260000,25.22,25.28,25.2,25.22,6572.83
1654654320000,25.23,25.28,25.15,25.16,4230.93
1654654380000,25.16,25.18,25.06,25.08,10832.99
1654654440000,25.08,25.15,25.07,25.13,2588.56
1654654500000,25.13,25.26,25.13,25.21,3947.4
1654654560000,25.21,25.23,25.09,25.1,2420.78
1654654620000,25.09,25.09,25.05,25.08,1391.04
1654654680000,25.08,25.08,25.06,25.08,1709.53
1654654740000,25.08,25.09,25.04,25.05,1036.75
1654654800000,25.05,25.06,25.0,25.01,911.55
1654654860000,25.01,25.02,24.96,24.97,2853.01
1654654920000,24.97,24.98,24.93,24.96,3040.96
1654654980000,24.96,24.96,24.92,24.92,1071.05
1654655040000,24.92,24.93,24.86,24.91,9786.32
1654655100000,24.92,24.96,24.9,24.95,2537.74
1654655160000,24.95,24.95,24.9,24.9,904.41
1654655220000,24.91,24.92,24.84,24.85,2948.11
1654655280000,24.87,24.88,24.86,24.88,973.51
1654655340000,24.87,24.92,24.87,24.9,799.84
1654655400000,24.91,24.99,24.91,24.95,2767.71
1654655460000,24.95,24.98,24.94,24.94,1376.64
1654655520000,24.94,24.99,24.94,24.99,1343.74
1654655580000,25.0,25.04,25.0,25.04,2162.34
1654655640000,25.04,25.09,25.03,25.07,2422.49
1654655700000,25.07,25.08,25.05,25.07,1601.37
1654655760000,25.07,25.08,25.03,25.07,1474.4
1654655820000,25.07,25.1,25.06,25.09,1079.28
1654655880000,25.08,25.15,25.08,25.13,1202.39
1654655940000,25.12,25.13,25.08,25.09,3389.25
1654656000000,25.09,25.09,25.04,25.04,1183.86
1654656060000,25.04,25.04,24.95,24.95,1830.24
1654656120000,24.96,24.96,24.88,24.89,2235.47
1654656180000,24.9,24.9,24.82,24.83,1997.46
1654656240000,24.83,24.88,24.82,24.87,2016.53
1654656300000,24.87,24.87,24.82,24.82,922.74
1654656360000,24.81,24.83,24.8,24.81,972.6
1654656420000,24.8,24.81,24.78,24.8,929.5
1654656480000,24.8,24.8,24.78,24.78,304.41
1654656540000,24.78,24.85,24.76,24.85,2074.47
1654656600000,24.85,24.91,24.84,24.84,3024.82
1654656660000,24.83,24.83,24.78,24.78,1396.72
1654656720000,24.78,24.85,24.78,24.83,1264.57
1654656780000,24.82,24.83,24.81,24.83,1306.42
1654656840000,24.82,24.82,24.76,24.78,2865.13
1654656900000,24.78,24.81,24.75,24.81,2645.68
1654656960000,24.81,24.85,24.8,24.84,1702.83
1654657020000,24.85,24.87,24.81,24.82,2748.64
1654657080000,24.83,24.83,24.75,24.75,1928.15
1654657140000,24.76,24.76,24.71,24.74,2044.67
1654657200000,24.74,24.77,24.73,24.77,781.86
1654657260000,24.76,24.8,24.76,24.77,1687.88
1654657320000,24.77,24.77,24.75,24.76,3064.76
1654657380000,24.76,24.77,24.72,24.77,2976.65
1654657440000,24.76,24.79,24.74,24.78,590.17
1654657500000,24.78,24.8,24.78,24.79,398.12
1654657560000,24.79,24.79,24.74,24.74,805.96
1654657620000,24.73,24.77,24.66,24.66,2737.86
1654657680000,24.66,24.67,24.6,24.63,4116.69
1654657740000,24.63,24.66,24.6,24.6,1766.06
1654657800000,24.61,24.65,24.53,24.62,4048.57
1654657860000,24.61,24.62,24.56,24.57,4573.44
1654657920000,24.57,24.57,24.54,24.55,2380.74
1654657980000,24.55,24.62,24.55,24.6,4072.12
1654658040000,24.6,24.6,24.57,24.57,1339.16
1654658100000,24.56,24.56,24.44,24.48,6078.54
1654658160000,24.5,24.51,24.4,24.4,4021.42
1654658220000,24.4,24.4,24.3,24.3,7429.89
1654658280000,24.3,24.34,24.22,24.23,15327.26
1654658340000,24.22,24.25,24.11,24.21,19181.5
1654658400000,24.21,24.3,24.17,24.24,12140.16
1654658460000,24.26,24.39,24.23,24.3,14022.4
1654658520000,24.29,24.32,24.24,24.27,5649.74
1654658580000,24.27,24.29,24.18,24.2,5837.37
1654658640000,24.21,24.3,24.17,24.26,5145.32
1654658700000,24.26,24.26,24.13,24.15,13591.36
1654658760000,24.15,24.21,24.07,24.15,10357.69
1654658820000,24.14,24.17,24.01,24.15,10945.68
1654658880000,24.15,24.19,24.07,24.08,5143.9
1654658940000,24.07,24.09,24.03,24.07,6991.99
1654659000000,24.07,24.08,23.89,23.94,38952.47
1654659060000,23.93,23.94,23.8,23.84,18106.18
1654659120000,23.83,23.93,23.8,23.89,14236.7
1654659180000,23.9,23.92,23.8,23.84,9301.4
1654659240000,23.84,23.88,23.79,23.79,7648.78
1654659300000,23.8,23.85,23.79,23.8,4926.14
1654659360000,23.8,23.9,23.79,23.87,5113.82
1654659420000,23.87,23.99,23.85,23.92,8699.83
1654659480000,23.93,23.97,23.92,23.92,8199.17
1654659540000,23.93,23.94,23.88,23.9,3651.01
1654659600000,23.89,23.9,23.81,23.84,2389.47
1654659660000,23.84,23.87,23.83,23.84,2008.24
1654659720000,23.84,23.85,23.8,23.84,7297.31
1654659780000,23.85,23.86,23.82,23.82,1418.87
1654659840000,23.83,23.83,23.72,23.77,4632.44
1654659900000,23.78,23.84,23.73,23.83,5963.05
1654659960000,23.85,23.93,23.83,23.92,2506.24
1654660020000,23.92,23.98,23.91,23.98,2609.42
1654660080000,23.98,24.01,23.95,23.98,2308.79
1654660140000,23.97,24.14,23.97,24.1,7786.04
1654660200000,24.09,24.13,24.02,24.05,6336.16
1654660260000,24.06,24.08,24.01,24.01,4551.58
1654660320000,24.01,24.01,23.96,23.96,3210.84
1654660380000,23.95,23.95,23.87,23.93,4306.9
1654660440000,23.93,23.93,23.87,23.88,4154.41
1654660500000,23.88,23.89,23.86,23.89,2082.59
1654660560000,23.89,23.94,23.84,23.93,5423.2
1654660620000,23.94,24.0,23.88,23.92,5471.21
1654660680000,23.93,23.94,23.87,23.88,2377.99
1654660740000,23.9,23.95,23.9,23.95,3233.36
1654660800000,23.95,23.96,23.89,23.92,4648.92
1654660860000,23.9,23.92,23.86,23.92,6853.54
1654660920000,23.91,23.91,23.85,23.88,7964.04
1654660980000,23.88,23.88,23.83,23.85,4950.59
1654661040000,23.86,23.95,23.86,23.95,4834.93
1654661100000,23.95,23.97,23.92,23.97,3067.51
1654661160000,23.97,23.97,23.87,23.89,2083.1
1654661220000,23.89,23.9,23.84,23.9,6095.6
1654661280000,23.91,23.94,23.86,23.88,4590.45
1654661340000,23.88,24.02,23.88,23.96,7073.93
1654661400000,23.97,24.02,23.96,24.01,1778.99
1654661460000,24.01,24.07,24.01,24.03,5125.02
1654661520000,24.03,24.2,24.03,24.2,9316.1
1654661580000,24.19,24.26,24.18,24.18,7631.06
1654661640000,24.19,24.2,24.14,24.2,1819.92
1654661700000,24.2,24.23,24.17,24.21,1605.77
1654661760000,24.22,24.29,24.22,24.27,2061.23
1654661820000,24.27,24.28,24.19,24.2,2896.35
1654661880000,24.19,24.24,24.15,24.2,4777.79
1654661940000,24.2,24.21,24.19,24.2,1814.67
1654662000000,24.2,24.23,24.19,24.21,1056.88
1654662060000,24.21,24.3,24.19,24.3,3925.32
1654662120000,24.29,24.36,24.28,24.36,5373.19
1654662180000,24.36,24.36,24.29,24.3,1229.57
1654662240000,24.3,24.34,24.3,24.3,1144.03
1654662300000,24.3,24.31,24.28,24.3,1008.62
1654662360000,24.31,24.33,24.31,24.32,1686.01
1654662420000,24.32,24.34,24.29,24.29,1241.93
1654662480000,24.29,24.34,24.29,24.34,896.39
1654662540000,24.35,24.44,24.35,24.43,4388.36
1654662600000,24.43,24.46,24.39,24.4,3576.58
1654662660000,24.39,24.39,24.34,24.34,1591.76
1654662720000,24.34,24.35,24.33,24.34,892.69
1654662780000,24.34,24.34,24.28,24.28,1707.24
1654662840000,24.28,24.28,24.24,24.27,1153.86
1654662900000,24.27,24.29,24.24,24.26,721.89
1654662960000,24.26,24.31,24.26,24.28,4866.9
1654663020000,24.28,24.31,24.28,24.31,496.17
1654663080000,24.31,24.43,24.31,24.38,2998.31
1654663140000,24.39,24.39,24.36,24.36,949.81
1654663200000,24.36,24.4,24.35,24.39,1282.23
1654663260000,24.39,24.4,24.38,24.39,482.42
1654663320000,24.39,24.39,24.35,24.37,994.64
1654663380000,24.37,24.39,24.36,24.39,1532.72
1654663440000,24.39,24.41,24.37,24.39,3104.19
1654663500000,24.38,24.39,24.37,24.37,1138.32
1654663560000,24.38,24.41,24.38,24.41,2001.36
1654663620000,24.4,24.4,24.33,24.37,1702.18
1654663680000,24.37,24.39,24.33,24.38,1800.29
1654663740000,24.39,24.44,24.39,24.44,1886.15
1654663800000,24.45,24.48,24.42,24.43,1916.53
1654663860000,24.42,24.42,24.35,24.38,2945.23
1654663920000,24.37,24.37,24.3,24.3,2192.31
1654663980000,24.31,24.32,24.28,24.28,701.46
1654664040000,24.28,24.3,24.26,24.29,1095.55
1654664100000,24.29,24.34,24.28,24.34,664.81
1654664160000,24.33,24.37,24.33,24.37,697.27
1654664220000,24.36,24.37,24.32,24.32,1580.28
