timestamp,open,high,low,close,volume
1658275200000,6.05,6.06,5.9,5.92,350561.21
1658278800000,5.92,6.02,5.88,6.0,233124.5
1658282400000,6.0,6.07,5.98,6.02,260629.91
1658286000000,6.02,6.07,5.98,6.03,213260.1
1658289600000,6.04,6.13,6.03,6.11,184822.88
1658293200000,6.11,6.15,6.08,6.14,206672.8
1658296800000,6.15,6.18,6.13,6.15,292699.55
1658300400000,6.16,6.16,6.02,6.02,320108.88
1658304000000,6.02,6.06,5.9,5.93,312499.57
1658307600000,5.93,6.03,5.91,6.01,209706.1
1658311200000,6.0,6.11,6.0,6.05,328757.85
1658314800000,6.06,6.07,5.95,6.0,295297.68
1658318400000,6.01,6.06,5.94,6.01,321447.23
1658322000000,6.01,6.09,5.97,5.98,297557.9
1658325600000,5.98,6.1,5.96,6.08,203622.98
1658329200000,6.09,6.09,6.02,6.05,215234.99
1658332800000,6.04,6.06,5.84,5.89,443366.59
1658336400000,5.89,5.91,5.81,5.83,297334.13
1658340000000,5.83,5.9,5.82,5.88,155758.27
1658343600000,5.88,5.91,5.81,5.85,194961.41
1658347200000,5.85,5.87,5.47,5.61,1343688.12
1658350800000,5.61,5.69,5.59,5.69,283769.54
1658354400000,5.69,5.69,5.58,5.58,161496.79
1658358000000,5.59,5.63,5.52,5.59,320688.38
1658361600000,5.59,5.65,5.57,5.63,223080.48
1658365200000,5.63,5.66,5.58,5.6,176517.74
1658368800000,5.61,5.64,5.43,5.45,341372.79
1658372400000,5.46,5.53,5.43,5.45,640966.23
1658376000000,5.45,5.49,5.38,5.47,298096.72
1658379600000,5.47,5.51,5.46,5.49,138926.63
1658383200000,5.49,5.5,5.45,5.45,163940.43
1658386800000,5.45,5.54,5.45,5.51,164166.24
1658390400000,5.5,5.53,5.47,5.51,144245.88
1658394000000,5.51,5.55,5.51,5.54,149663.92
1658397600000,5.54,5.55,5.49,5.49,99818.81
1658401200000,5.49,5.52,5.45,5.49,197180.89
1658404800000,5.49,5.56,5.47,5.54,176465.81
1658408400000,5.53,5.54,5.48,5.52,209431.13
1658412000000,5.53,5.54,5.42,5.49,315175.24
1658415600000,5.5,5.52,5.48,5.51,101520.06
1658419200000,5.51,5.63,5.5,5.6,386098.64
1658422800000,5.61,5.62,5.52,5.53,145008.48
1658426400000,5.54,5.6,5.53,5.57,139121.5
1658430000000,5.58,5.75,5.57,5.68,686368.98
1658433600000,5.68,5.7,5.64,5.65,256417.9
1658437200000,5.64,5.66,5.63,5.64,69255.73
1658440800000,5.65,5.65,5.56,5.61,149992.37
1658444400000,5.61,5.67,5.6,5.63,118457.58
1658448000000,5.62,5.72,5.61,5.69,236363.37
1658451600000,5.69,5.71,5.64,5.65,135377.05
