timestamp,open,high,low,close,volume
1663718400000,3.82,3.862,3.802,3.856,368729.7
1663722000000,3.857,3.864,3.825,3.839,242823.4
1663725600000,3.838,3.872,3.836,3.868,248718.3
1663729200000,3.869,3.886,3.865,3.871,158254.5
1663732800000,3.87,3.895,3.864,3.892,122905.7
1663736400000,3.894,3.905,3.846,3.854,247777.8
1663740000000,3.853,3.872,3.733,3.789,1043464.8
1663743600000,3.789,3.805,3.755,3.8,285693.1
1663747200000,3.8,3.807,3.782,3.797,266237.1
1663750800000,3.796,3.817,3.751,3.805,467457.8
1663754400000,3.805,3.832,3.796,3.83,246993.9
1663758000000,3.832,3.848,3.821,3.843,166627.6
1663761600000,3.843,3.875,3.826,3.863,343544.5
1663765200000,3.862,3.866,3.826,3.85,353745.5
1663768800000,3.851,3.893,3.832,3.836,443323.9
1663772400000,3.838,3.84,3.795,3.809,582587.0
1663776000000,3.809,3.842,3.807,3.817,297369.2
1663779600000,3.816,3.909,3.814,3.904,779033.6
1663783200000,3.904,4.039,3.71,3.984,3622166.0
1663786800000,3.987,4.0,3.797,3.801,1421252.8
1663790400000,3.8,3.813,3.702,3.749,891732.8
1663794000000,3.749,3.749,3.589,3.598,1268011.9
1663797600000,3.599,3.62,3.546,3.613,886738.4
1663801200000,3.612,3.667,3.601,3.641,421552.4
1663804800000,3.641,3.675,3.621,3.626,420677.4
1663808400000,3.626,3.679,3.623,3.679,257423.8
1663812000000,3.679,3.712,3.674,3.711,293524.2
1663815600000,3.711,3.714,3.684,3.688,308488.0
1663819200000,3.689,3.723,3.689,3.72,274639.6
1663822800000,3.72,3.727,3.698,3.714,239917.4
1663826400000,3.713,3.749,3.713,3.734,404936.7
1663830000000,3.733,3.81,3.727,3.805,379590.5
1663833600000,3.804,3.874,3.797,3.858,640057.0
1663837200000,3.858,3.871,3.828,3.861,336504.2
1663840800000,3.861,3.87,3.847,3.859,321732.4
1663844400000,3.858,3.885,3.841,3.88,453353.9
1663848000000,3.882,3.899,3.861,3.874,499592.8
1663851600000,3.875,3.881,3.781,3.785,802504.8
1663855200000,3.785,3.819,3.748,3.754,561131.2
1663858800000,3.754,3.791,3.736,3.775,461711.3
1663862400000,3.774,3.82,3.737,3.809,413021.7
1663866000000,3.809,3.832,3.784,3.822,283425.6
1663869600000,3.822,3.841,3.804,3.819,353426.5
1663873200000,3.821,3.882,3.818,3.842,464951.4
1663876800000,3.844,3.857,3.823,3.825,201268.1
1663880400000,3.826,3.844,3.808,3.814,191543.6
1663884000000,3.815,3.897,3.815,3.858,468037.9
1663887600000,3.859,3.898,3.846,3.865,265720.9
1663891200000,3.866,3.919,3.832,3.834,523656.4
1663894800000,3.833,3.899,3.833,3.896,322082.3
1663898400000,3.895,3.896,3.861,3.87,166192.2
1663902000000,3.87,3.939,3.868,3.913,462514.5
1663905600000,3.914,3.95,3.896,3.919,346171.6
1663909200000,3.918,3.949,3.917,3.917,297515.1
1663912800000,3.916,3.939,3.9,3.911,262389.2
1663916400000,3.91,3.91,3.827,3.84,425907.3
1663920000000,3.84,3.863,3.757,3.775,595963.5
1663923600000,3.774,3.804,3.759,3.792,433269.8
1663927200000,3.791,3.809,3.752,3.766,306657.2
1663930800000,3.767,3.771,3.703,3.727,683896.3
1663934400000,3.728,3.765,3.722,3.737,403604.0
1663938000000,3.738,3.774,3.644,3.654,919993.3
1663941600000,3.653,3.698,3.612,3.673,814514.1
1663945200000,3.672,3.711,3.656,3.682,621871.0
1663948800000,3.682,3.69,3.642,3.673,558471.4
1663952400000,3.674,3.697,3.653,3.678,411619.0
1663956000000,3.678,3.694,3.622,3.633,574552.0
1663959600000,3.632,3.699,3.628,3.699,407805.1
1663963200000,3.698,3.773,3.695,3.72,1028311.2
1663966800000,3.722,3.772,3.712,3.77,225642.4
1663970400000,3.771,3.819,3.77,3.796,402798.6
1663974000000,3.796,3.825,3.776,3.792,316843.1
1663977600000,3.792,3.809,3.763,3.782,291657.7
1663981200000,3.783,3.81,3.772,3.797,264215.6
1663984800000,3.797,3.83,3.783,3.812,253871.0
1663988400000,3.811,3.82,3.787,3.808,254946.9
1663992000000,3.808,3.843,3.808,3.829,287232.2
1663995600000,3.83,3.841,3.81,3.832,185876.5
1663999200000,3.832,3.845,3.811,3.821,190597.4
1664002800000,3.821,3.822,3.776,3.78,313530.0
1664006400000,3.78,3.811,3.763,3.81,221519.4
1664010000000,3.81,3.812,3.767,3.794,175899.4
1664013600000,3.794,3.834,3.777,3.814,362564.9
1664017200000,3.816,3.843,3.803,3.805,230718.8
1664020800000,3.804,3.841,3.803,3.823,195702.0
1664024400000,3.823,3.872,3.82,3.843,359876.2
1664028000000,3.843,3.856,3.823,3.833,198378.9
1664031600000,3.833,3.836,3.809,3.834,138013.1
1664035200000,3.834,3.849,3.81,3.816,179379.7
1664038800000,3.816,3.839,3.785,3.79,385575.1
1664042400000,3.79,3.817,3.783,3.813,168930.8
1664046000000,3.812,3.815,3.756,3.773,254749.1
1664049600000,3.772,3.787,3.765,3.784,89128.6
1664053200000,3.783,3.792,3.728,3.742,296975.3
1664056800000,3.742,3.742,3.667,3.692,487051.3
1664060400000,3.691,3.713,3.681,3.699,301257.2
1664064000000,3.699,3.746,3.688,3.745,262324.5
1664067600000,3.746,3.749,3.719,3.74,162607.1
1664071200000,3.739,3.741,3.72,3.73,95175.5
1664074800000,3.731,3.763,3.723,3.761,140045.7
1664078400000,3.761,3.761,3.749,3.753,94399.2
1664082000000,3.752,3.758,3.727,3.744,116041.5
1664085600000,3.745,3.752,3.739,3.744,85715.3
1664089200000,3.744,3.758,3.726,3.753,192850.8
1664092800000,3.753,3.759,3.74,3.741,99985.6
1664096400000,3.741,3.747,3.729,3.747,131446.2
1664100000000,3.748,3.763,3.732,3.742,188457.2
1664103600000,3.742,3.76,3.742,3.755,125663.2
1664107200000,3.755,3.769,3.734,3.739,227842.7
1664110800000,3.739,3.741,3.677,3.703,391333.1
1664114400000,3.702,3.702,3.655,3.685,273249.3
1664118000000,3.685,3.715,3.682,3.709,178930.1
1664121600000,3.709,3.729,3.678,3.686,173644.7
1664125200000,3.687,3.706,3.649,3.702,596090.7
1664128800000,3.702,3.725,3.684,3.709,240405.9
1664132400000,3.708,3.715,3.692,3.702,173113.3
1664136000000,3.701,3.707,3.685,3.691,100156.8
1664139600000,3.69,3.692,3.627,3.636,226505.5
1664143200000,3.634,3.683,3.611,3.659,378595.2
1664146800000,3.659,3.674,3.633,3.649,270614.3
1664150400000,3.648,3.686,3.63,3.638,384750.9
