symbol,strategy,total_pnl,win_rate,trade_count,bull_wr,bear_wr
ADA/USDT,ICHIMOKU,-43285.0,29.376498800959233,9174,29.78293791014639,0
ADA/USDT,MACD,-80005.0,29.15542768087274,16683,27.87303386708233,0
ADA/USDT,RSI,-22054.999999999996,27.643650410429743,4142,25.683060109289617,0
ADA/USDT,BBANDS,-10090.0,27.51463544438531,1879,27.05202312138728,0
ADA/USDT,SUPERTREND,-5.0,40.0,5,50.0,0
ADA/USDT,ULTOSC,-1190.0,32.06349206349206,315,31.72043010752688,0
ADA/USDT,MDT,-37965.0,27.508136408659965,7067,28.434702068539675,0
AVAX/USDT,ICHIMOKU,-39455.0,31.010928961748636,9516,31.66467065868264,0
AVAX/USDT,MACD,-71170.0,30.86900129701686,16962,30.862370509888336,0
AVAX/USDT,RSI,-26009.999999999996,26.209677419354836,4464,26.57272269753397,0
AVAX/USDT,BBANDS,-11964.999999999996,25.37084398976982,1955,26.608505997818977,0
AVAX/USDT,SUPERTREND,5.0,50.0,2,0.0,0
AVAX/USDT,ULTOSC,-3255.0,21.768707482993197,441,22.596153846153847,0
AVAX/USDT,MDT,-37889.999999999985,29.047072330654423,7839,28.99943470887507,0
BTC/USDT,ICHIMOKU,-10295.0,38.45116836429,6676,24.651972157772622,0
BTC/USDT,MACD,-22245.0,37.635557016102524,12172,24.959340778488563,0
BTC/USDT,RSI,-10055.0,33.72536554354736,3146,25.528089887640448,0
BTC/USDT,BBANDS,-4190.0,35.138620245003224,1551,27.59259259259259,0
BTC/USDT,SUPERTREND,-5.0,40.0,5,0.0,0
BTC/USDT,ULTOSC,-715.0,35.76388888888889,288,26.637554585152838,0
BTC/USDT,MDT,-7220.0,34.74842767295597,2544,25.353925353925355,0
DOGE/USDT,ICHIMOKU,-40609.999999999985,30.4635761589404,9362,30.01893939393939,0
DOGE/USDT,MACD,-68244.99999999997,31.23770931410524,16781,30.831863210747727,0
DOGE/USDT,RSI,-22699.999999999996,28.05295594613102,4381,27.516778523489933,0
DOGE/USDT,BBANDS,-10820.0,26.839378238341972,1930,27.92494481236203,0
DOGE/USDT,SUPERTREND,25.0,66.66666666666666,3,0.0,0
DOGE/USDT,ULTOSC,-1090.0,28.82882882882883,222,35.77235772357724,0
DOGE/USDT,MDT,-41814.999999999985,26.16652696283878,7158,26.1021897810219,0
ETH/USDT,ICHIMOKU,-27594.999999999985,33.46437931856088,8394,31.64172630665799,0
ETH/USDT,MACD,-50300.0,33.582860092927206,15496,32.0779531324725,0
ETH/USDT,RSI,-17385.0,31.0418648905804,4204,30.65304309195913,0
ETH/USDT,BBANDS,-7790.0,31.16132422490804,1903,29.593810444874276,0
ETH/USDT,SUPERTREND,30.0,60.0,5,100.0,0
ETH/USDT,ULTOSC,-905.0,30.660377358490564,212,22.04724409448819,0
ETH/USDT,MDT,-21670.0,31.122062168309327,5276,29.593001141118297,0
LINK/USDT,ICHIMOKU,-41565.0,30.14768835616438,9344,31.17469879518072,0
LINK/USDT,MACD,-78770.0,29.43211643999046,16764,29.976551894360114,0
LINK/USDT,RSI,-23329.999999999996,27.16572504708098,4248,26.900296150049357,0
LINK/USDT,BBANDS,-10505.0,27.361899845121325,1937,25.71428571428571,0
LINK/USDT,SUPERTREND,-10.0,33.33333333333333,3,0.0,0
LINK/USDT,ULTOSC,-1949.9999999999986,28.78787878787879,396,30.09259259259259,0
LINK/USDT,MDT,-40640.0,27.21885521885522,7425,27.29528535980149,0
SHIB/USDT,ICHIMOKU,-37980.0,30.74346952444742,8958,30.473684210526315,0
SHIB/USDT,MACD,-63355.0,31.958576675296523,16609,30.64979873490512,0
SHIB/USDT,RSI,-19120.0,29.079445145018916,3965,28.676470588235293,0
SHIB/USDT,BBANDS,-9340.0,28.752642706131077,1892,27.549824150058615,0
SHIB/USDT,SUPERTREND,-15.0,0.0,1,0.0,0
SHIB/USDT,ULTOSC,-1729.9999999999995,23.3201581027668,253,18.705035971223023,0
SHIB/USDT,MDT,-37834.999999999985,25.71745679403837,6307,24.606017191977077,0
SOL/USDT,ICHIMOKU,-37534.999999999985,31.100635825476868,9122,31.229166666666668,0
SOL/USDT,MACD,-67435.0,31.260908817333732,16615,31.173608638898777,0
SOL/USDT,RSI,-22094.999999999993,27.81220209723546,4196,28.120584079133305,0
SOL/USDT,BBANDS,-10375.0,27.239199157007377,1898,27.76595744680851,0
SOL/USDT,SUPERTREND,-5.0,40.0,5,25.0,0
SOL/USDT,ULTOSC,-1450.0,29.13907284768212,302,29.310344827586203,0
SOL/USDT,MDT,-33985.0,29.068446464072707,7042,28.404224950042824,0
XRP/USDT,ICHIMOKU,-30705.0,32.67981438515081,8620,30.279059547352233,0
XRP/USDT,MACD,-47790.0,34.007388683647676,15429,31.057894087149734,0
XRP/USDT,RSI,-18495.0,28.644432490586336,3718,25.6423982869379,0
XRP/USDT,BBANDS,-8035.0,30.236393622869706,1819,27.02127659574468,0
XRP/USDT,SUPERTREND,-105.0,0.0,7,0.0,0
XRP/USDT,ULTOSC,-2070.0,22.105263157894736,285,18.867924528301888,0
XRP/USDT,MDT,-28269.999999999993,28.01763733235348,5443,28.84087791495199,0
